model,results,and,performances,have,n't,been,the,same,the,group,of,players,i,'ve,seen,today,are,more,than,capable,of,beating,teams,in,this,league,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-0.016358542283503086,-1,0.0710731080807615,-1,-1,-1,-1,0.16180374802766184,-1,-1,-1,0.17834899123470505,-1,-1,0.080663776533204,0.13995278037064218,-1,-1,-1,0.011670899094919251,-1,0.433997209304242,0.16024104452956323,-1,-1,0.4027397635053025,-1
manager,0.20344755877867182,-1,0.2496421825305899,-1,-1,-1,-1,0.28442917878537666,-1,-1,-1,0.5026968337535824,-1,-1,0.2374130946749442,0.30539557031065157,-1,-1,-1,0.20169138077656312,-1,0.42031405478810013,0.31236306061487706,-1,-1,0.5255629320322626,-1
craig,0.002914199004035223,-1,0.07942996456863027,-1,-1,-1,-1,0.13375558804533272,-1,-1,-1,0.23876256597614642,-1,-1,0.144007080425696,0.20100021826083492,-1,-1,-1,0.08094746585837687,-1,0.3624342080092635,0.1019748303014516,-1,-1,0.2425622048156335,-1
hignett,-0.3038223053501643,-1,-0.261422127099173,-1,-1,-1,-1,-0.3550361441519727,-1,-1,-1,-0.2832431976294454,-1,-1,-0.2294057236944136,-0.15306577293435097,-1,-1,-1,-0.2703394065386271,-1,-0.14432142906714085,-0.43947311110153064,-1,-1,-0.20864627082097287,-1
says,0.3616998067852353,-1,0.24761185104512662,-1,-1,-1,-1,0.440471732731032,-1,-1,-1,0.48520835479371005,-1,-1,0.3974951970391216,0.5189722670424686,-1,-1,-1,0.2637716328526527,-1,0.35336523697600497,0.4004310804003369,-1,-1,0.3543662416338813,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,0.3673569453529164,-1,0.35707542313356455,-1,-1,-1,-1,0.5953053699383497,-1,-1,-1,0.3058740606417705,-1,-1,0.4474281205863899,0.5267996608527256,-1,-1,-1,0.28646861247927924,-1,0.24634968158863835,0.35860160350115167,-1,-1,0.23778796948270842,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,0.16083311214562324,-1,0.1739322341717643,-1,-1,-1,-1,0.15526824072160084,-1,-1,-1,0.06745208448665752,-1,-1,0.14972757673728765,0.3408549120560408,-1,-1,-1,0.04218054528490478,-1,0.20606012371445315,0.2517625477590981,-1,-1,0.13619568023111284,-1
park,0.19695173663880472,-1,0.2553364773071487,-1,-1,-1,-1,0.4438974772645077,-1,-1,-1,0.27759255947828865,-1,-1,0.33280015751647296,0.3342415439291274,-1,-1,-1,0.0840968533135481,-1,0.39074450337387234,0.42247279483820077,-1,-1,0.40776339933844075,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,0.5796968258085566,-1,0.48379910379706903,-1,-1,-1,-1,0.39506308850780103,-1,-1,-1,0.41614857644809233,-1,-1,0.3894858749708403,0.4506071775695212,-1,-1,-1,0.3263440192405317,-1,0.206998842707514,0.387495680379351,-1,-1,0.2610279427706388,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,0.49680964246303794,-1,0.46603786525068336,-1,-1,-1,-1,0.4224033737935251,-1,-1,-1,0.4569869350926197,-1,-1,0.46833466529730305,0.463266230252242,-1,-1,-1,0.3097060278260213,-1,0.5370565439168411,0.4312718762702119,-1,-1,0.4615947036047955,-1
taking,0.37692380638907585,-1,0.3435332790247493,-1,-1,-1,-1,0.6020005886805196,-1,-1,-1,0.5292720706373573,-1,-1,0.47185221091216145,0.48217144555077973,-1,-1,-1,0.42549426552531777,-1,0.4550391029169336,0.5599695750906093,-1,-1,0.40794691449142917,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,0.30200786458191087,-1,0.4227417237672211,-1,-1,-1,-1,0.46275132557123766,-1,-1,-1,0.6114914107113056,-1,-1,0.34014169370510317,0.37125321897595087,-1,-1,-1,0.31896362911503906,-1,0.6691307920178095,0.6262456877393033,-1,-1,0.7771017580600159,-1
third,0.3887865739759937,-1,0.3725497019344326,-1,-1,-1,-1,0.6363164835031057,-1,-1,-1,0.4715009187364565,-1,-1,0.36586634842578025,0.39050475707687327,-1,-1,-1,0.31237750647850837,-1,0.6973806254126477,0.5422838262304882,-1,-1,0.6549929704555022,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,0.13502220568246193,-1,0.2759368192146845,-1,-1,-1,-1,0.3496936464721617,-1,-1,-1,0.4251522676041877,-1,-1,0.21699747549068504,0.17311784237493089,-1,-1,-1,0.2773231473501585,-1,0.5131343880451771,0.4969656268039404,-1,-1,0.575923905943834,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,0.356982739067473,-1,0.395584941261213,-1,-1,-1,-1,0.43252770125917217,-1,-1,-1,0.597601401103539,-1,-1,0.29975489744735573,0.3438576206526751,-1,-1,-1,0.29281171686239493,-1,0.7058320736983789,0.6699377593548467,-1,-1,1.0,-1
two,0.3766055549090793,-1,0.47108168184680466,-1,-1,-1,-1,0.5318391842755326,-1,-1,-1,0.6010254599830861,-1,-1,0.455798155022052,0.42438031914153584,-1,-1,-1,0.3612296193482072,-1,0.5410694369787422,0.750555276216698,-1,-1,0.6068201418522554,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
