model,``,i,'m,walking,into,a,positive,situation,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-1,-1,0.11648679403856443,-1,-1,0.017633156935292327,0.02449418776494261,-1
manager,-1,-1,-1,0.09463581833828805,-1,-1,0.22026167624704052,0.30842749824962634,-1
craig,-1,-1,-1,0.17542487442231414,-1,-1,0.05102635831987157,0.11540288152095479,-1
hignett,-1,-1,-1,-0.2580593651163958,-1,-1,-0.2250633771776238,-0.1563163196427455,-1
says,-1,-1,-1,0.20686929494384,-1,-1,0.2855836856931888,0.47506902982459964,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,-1,-1,0.2883789026707728,-1,-1,0.48959306237351896,1.0,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,-1,-1,0.28765733458219334,-1,-1,0.10452213337583771,0.14084980095485522,-1
park,-1,-1,-1,0.36428781138512434,-1,-1,0.06673823013647684,0.27937628453442676,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,-1,-1,0.21589553734292866,-1,-1,1.0,0.48959306237351896,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,-1,-1,0.26820338737824945,-1,-1,0.4015083394693155,0.38242586342936513,-1
taking,-1,-1,-1,0.45347456840166167,-1,-1,0.4645044879134592,0.41774358053414873,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,-1,-1,0.2521085985920126,-1,-1,0.30315552295638915,0.3588069910826711,-1
third,-1,-1,-1,0.3295215424290472,-1,-1,0.2731892206106713,0.30534651911705,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,-1,-1,0.35247995294804235,-1,-1,0.1787435922598366,0.27776222033491327,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,-1,0.1976035341214638,-1,-1,0.2610279427706388,0.23778796948270842,-1
two,-1,-1,-1,0.3949775253205332,-1,-1,0.2582534917577156,0.2882634280746188,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
