model,however,despite,a,run,of,four,straight,wins,at,the,start,of,the,campaign,form,tailed,off,and,hignett,will,go,into,saturday,'s,home,game,against,yeovil,looking,for,a,first,win,in,five,with,his,side,four,points,above,the,relegation,zone,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,0.08176649736999753,0.09902499639811735,-1,0.21172028091992,-1,0.2002729868141293,0.20160472068007007,0.7140933691897535,-1,-1,0.18838746680257223,-1,-1,0.029931532910972503,0.06703552268586133,-0.06514193432579041,0.22533527869076087,-1,0.3932575543175616,-1,0.176422557922858,-1,0.39628183253087124,-1,0.3208432837988785,0.29500764026474635,0.28996282518306127,0.49935762354405333,0.0930906682124295,-1,-1,-1,0.3713163419558798,-1,0.18629421691398673,-1,-1,0.5086039455713675,0.2002729868141293,0.2892558419192558,0.32872760135702694,-1,0.12279307910245474,0.2667275699312941,-1
manager,0.42419319862215454,0.2792676889384409,-1,0.3981781469949427,-1,0.3120956523965577,0.28146945848614136,0.4583229726943121,-1,-1,0.42264331114971887,-1,-1,0.35867777923378996,0.3937202896083858,-0.3018512207891222,0.20389620607767633,-1,0.23391987147613158,-1,0.37425257669908285,-1,0.41665306341591013,-1,0.39568984134899676,0.4620043009569521,0.3355350533352264,0.3926437793088138,0.40402490321708806,-1,-1,-1,0.44931844738452176,-1,0.3241154256302671,-1,-1,0.6090695494709629,0.3120956523965577,0.2751567411218603,0.1619718577335606,-1,0.0838825148034179,0.05102423763309227,-1
craig,0.27756152023431446,0.11481786617359602,-1,0.2040272802671651,-1,0.2255044251948788,0.23077629014264367,0.5045580353909919,-1,-1,0.18448022948978293,-1,-1,0.0882283327732869,0.09034871114025023,-0.03203345496655641,0.28695099414425407,-1,0.591586327761169,-1,0.20579556464334547,-1,0.2979824503374041,-1,0.29572408722015053,0.24964571255905588,0.25874476158978577,0.34344227406373373,0.20327568768020088,-1,-1,-1,0.2548834900139578,-1,0.21228030975563317,-1,-1,0.4560976674832353,0.2255044251948788,0.23293617948340373,0.17577638963982067,-1,-0.0020312409934144515,0.019914086609007953,-1
hignett,-0.19711307482970986,-0.25147965500793834,-1,-0.32153521089716586,-1,-0.28826704455578245,-0.22610913134965593,-0.015493648390239922,-1,-1,-0.329419769127584,-1,-1,-0.2498686640612393,-0.37488517497112483,0.05247622345817082,-0.22996951110699548,-1,1.0,-1,-0.36386152810406713,-1,-0.17452444439491677,-1,-0.13958011895357592,-0.21272667854290095,-0.17319024709758168,0.00863981722858509,-0.2941448862865965,-1,-1,-1,-0.21680080814220748,-1,-0.3005370007608956,-1,-1,-0.11217112517448391,-0.28826704455578245,-0.2971665876916316,-0.3419439957073902,-1,-0.2877551069338993,-0.34913943248746193,-1
says,0.6989292516759961,0.473308130627458,-1,0.4308264872925667,-1,0.424795278581126,0.24648244522528384,0.2679645378807589,-1,-1,0.4102958510405419,-1,-1,0.48217098052100227,0.46403891551720144,-0.2494826095495315,0.2768047810648555,-1,0.07913437265688628,-1,0.4969840889012187,-1,0.380128355094038,-1,0.3778523345109236,0.36687786359235675,0.37959393057087143,0.23652202905267417,0.49700731273295284,-1,-1,-1,0.32923671733212445,-1,0.4367159966052995,-1,-1,0.4378125565955281,0.424795278581126,0.28251982083094274,0.28703286363782277,-1,0.146617911793407,0.1606743314276038,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,0.5263161499916383,0.38242586342936513,-1,0.44604233003102256,-1,0.23451344033880217,0.1953785588462692,0.09979724993812455,-1,-1,0.5267286999136495,-1,-1,0.46596980439145397,0.5324466681489962,-0.09488069712999758,0.2610942107722659,-1,-0.1563163196427455,-1,0.5102061959257503,-1,0.3110516450688252,-1,0.3179542622797146,0.38737596841351873,0.24498613832673088,0.022936484313552663,0.5470229214989965,-1,-1,-1,0.2798678916607369,-1,0.24934212831032043,-1,-1,0.3588069910826711,0.23451344033880217,0.14221833134755213,0.35983111985946503,-1,0.28570512333366027,0.3275125577425315,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,0.12809074425027778,0.04440076644671931,-1,0.2329108290561719,-1,0.2561560177432616,0.23567589962327729,0.13504977015557118,-1,-1,0.1820904679698384,-1,-1,0.06094088308225998,0.12816234398251858,0.013198898007571569,0.2683546164008974,-1,0.12561128964136592,-1,0.26763312659308824,-1,0.42449415683462766,-1,0.3462141610476145,0.21196998357849206,0.12023436855492053,0.24725527327944274,0.12871444042218894,-1,-1,-1,0.15052479412268827,-1,0.2146260853557238,-1,-1,0.2586841349128177,0.2561560177432616,0.1450442459806467,0.15271788286245225,-1,0.08144622504934207,0.10858275777942927,-1
park,0.3237904911892422,0.20760896259680983,-1,0.48193069845445957,-1,0.4146890538930823,0.2861355428319601,0.38399895792683747,-1,-1,0.41040931830603067,-1,-1,0.2830978240128399,0.27532485161425835,-0.0897272863274503,0.39136740498797684,-1,0.019943370596002152,-1,0.49745248045783286,-1,0.5744373177131975,-1,0.42967627549501375,0.4021817603593655,0.34058903757554637,0.26417651406330567,0.38308933105991794,-1,-1,-1,0.4175587022653817,-1,0.40892743599767756,-1,-1,0.5181491424164177,0.4146890538930823,0.3455264023685318,0.3859710495466423,-1,0.14638014134847588,0.21418257545124508,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,0.41725186576085904,0.4015083394693155,-1,0.3361851751407945,-1,0.22050605610040486,0.16082810345531484,0.1055858373407581,-1,-1,0.5454029369034477,-1,-1,0.4276918789050619,0.5151564191712737,-0.039324166327710186,0.30339818273060626,-1,-0.2250633771776238,-1,0.3852218132297347,-1,0.2651939271388334,-1,0.20686760350145172,0.39927273016529763,0.2748293602554305,0.04037773983251369,0.47885599050046057,-1,-1,-1,0.2264056236873193,-1,0.25670300969449245,-1,-1,0.30315552295638915,0.22050605610040486,0.2167179517095662,0.22225655257609944,-1,0.07312035010436879,0.17395282509962917,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,0.6649178692324827,1.0,-1,0.5290758038955296,-1,0.4726498530935723,0.4008232103725543,0.25946465165155275,-1,-1,0.5837037531823848,-1,-1,0.5458481054693014,0.5749373860168996,-0.08176001671432953,0.42711870487549375,-1,-0.25147965500793834,-1,0.4595818302288506,-1,0.43834198999034957,-1,0.36047878461817695,0.40979790366070623,0.4202678702877274,0.04595400753887979,0.4721190256034785,-1,-1,-1,0.4581834935980932,-1,0.47807651110666294,-1,-1,0.4811304510942378,0.4726498530935723,0.47951798874736107,0.48905990197901206,-1,0.3423871885294314,0.3531478676767197,-1
