model,moore,parted,company,with,pools,after,tuesday,'s,2-1,home,defeat,by,stevenage,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,0.6010179953813154,-0.043632819018401436,0.07252985249560773,-1,0.22006968238412994,-1,0.2826159591030044,-1,0.4038397619300642,0.3208432837988785,0.38422589083283265,-1,0.4759859386915002,-1
manager,0.5236438157209213,0.1286969498189524,0.29562821798175376,-1,0.17727823590459368,-1,0.3416742219731349,-1,0.3616639818354659,0.39568984134899676,0.38259737068477073,-1,0.33010224775427865,-1
craig,0.9078844926879472,0.004263879878022125,0.2084410788870541,-1,0.2443079711982744,-1,0.26366860197580655,-1,0.29395024395373626,0.29572408722015053,0.25345214515601366,-1,0.4183027735885012,-1
hignett,0.5706408204826927,-0.11761006333455604,-0.1303817155471405,-1,0.057234246753001816,-1,-0.1348987383310547,-1,-0.11279884566899079,-0.13958011895357592,-0.2273837487997341,-1,-0.02082570475845391,-1
says,0.4918341931006218,0.16221536307775453,0.5260601567473479,-1,0.08305062063079116,-1,0.43380902776835883,-1,0.22501315686792145,0.3778523345109236,0.2896452727815024,-1,0.22839845612287146,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,0.16544156936694931,0.031013543620931117,0.2669963751553597,-1,0.10639875127275167,-1,0.33203146935299377,-1,0.12137969951210648,0.3179542622797146,0.28725985371716334,-1,0.02210725569156946,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,0.3286950604908696,-0.13902286915747064,0.1147813633495256,-1,0.11350487910187634,-1,0.40569614799221676,-1,0.23768906231308096,0.3462141610476145,0.1945672872828963,-1,0.22228691675356937,-1
park,0.462881041590294,0.10546461880574187,0.36457326100421095,-1,0.29340480809902236,-1,0.5364656572391526,-1,0.3795829152532928,0.42967627549501375,0.4438647546015304,-1,0.27666320007924317,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,0.08903895091553993,0.07870308129558401,0.22357181161731143,-1,0.07582364886352644,-1,0.29486090639331775,-1,0.07406954527911103,0.20686760350145172,0.2027189371823377,-1,0.034641407427954074,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,0.17590410417060154,0.0633630041766362,0.34044469338468264,-1,0.19171177231011471,-1,0.45141597471685113,-1,0.398924161519831,0.36047878461817695,0.537588818452734,-1,0.08350201753303765,-1
taking,0.23831730125288997,0.07805934584864227,0.4450394062274261,-1,0.23354868665516637,-1,0.4949412357660573,-1,0.33788470014096283,0.5072310917637345,0.4421321543636658,-1,0.09121460201361242,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,0.35532783013180747,0.044907524311248226,0.2667529344242269,-1,0.25579673153584137,-1,0.47710222356710186,-1,0.5585901699006043,0.5834180572854469,0.6763215176220914,-1,0.39797583248206014,-1
third,0.3019439243397519,-0.0067699812833965645,0.39180419164403735,-1,0.26386593187980667,-1,0.4825322007274231,-1,0.5152176148959887,0.4537375379819196,0.7076482875556777,-1,0.2200531651361466,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,0.1946610547121702,-0.01105776455713503,0.14389937732281233,-1,0.252499337510937,-1,0.29177894228154133,-1,0.3473281963858458,0.41588723404160044,0.4816594572479719,-1,0.2982636429807135,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,0.20949274043903543,0.06630846332509388,0.25974686991922225,-1,0.3141622460858755,-1,0.4939054262770949,-1,0.5584174839363845,0.4868056328769712,0.703097419137605,-1,0.3138937030484068,-1
two,0.29401139967748935,0.2155204995255583,0.40147683855163496,-1,0.386636162575267,-1,0.518828468153766,-1,0.36901541589338527,0.4212760583414561,0.4887501322548675,-1,0.23132499347025048,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
