model,``,tell,jurgen,klopp,that,-lsb-,you,have,to,be,serious,-rsb-,there,'s,a,time,to,be,serious,and,a,time,where,you,do,n't,have,to,be,'',he,added,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-0.02089872892668887,0.1674292431588561,0.17502533953833221,-1,-1,-1,-1,-1,-1,-0.00906604865272298,-1,-1,-1,-1,-1,-1,-1,-0.00906604865272298,-1,-1,-1,-1,-1,0.06658425348528707,-1,-1,-1,-1,-1,-1,0.17675489293805646,-1
manager,-1,0.25837919113410557,0.615136646340507,0.6651537902629814,-1,-1,-1,-1,-1,-1,0.18536802625043647,-1,-1,-1,-1,-1,-1,-1,0.18536802625043647,-1,-1,-1,-1,-1,0.3535926302329022,-1,-1,-1,-1,-1,-1,0.5890091334788248,-1
craig,-1,0.14357756282508072,0.3209439320559674,0.38449636055519654,-1,-1,-1,-1,-1,-1,0.0500516104552291,-1,-1,-1,-1,-1,-1,-1,0.0500516104552291,-1,-1,-1,-1,-1,0.16974415021395406,-1,-1,-1,-1,-1,-1,0.4889043960567787,-1
hignett,-1,-0.2489707441515039,0.23776135888480532,0.20274121236521425,-1,-1,-1,-1,-1,-1,-0.23446993738669186,-1,-1,-1,-1,-1,-1,-1,-0.23446993738669186,-1,-1,-1,-1,-1,-0.3363153803000345,-1,-1,-1,-1,-1,-1,0.07499213400709093,-1
says,-1,0.45051224180683513,0.18253421115912738,0.3749512564189248,-1,-1,-1,-1,-1,-1,0.36147168425782294,-1,-1,-1,-1,-1,-1,-1,0.36147168425782294,-1,-1,-1,-1,-1,0.5450985755587435,-1,-1,-1,-1,-1,-1,0.7623620526196315,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,0.39829099898092746,0.008444011042811672,0.17689468472531,-1,-1,-1,-1,-1,-1,0.5654495474403828,-1,-1,-1,-1,-1,-1,-1,0.5654495474403828,-1,-1,-1,-1,-1,0.5655259816217192,-1,-1,-1,-1,-1,-1,0.4952205740296056,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,0.2619749801487977,0.07085708956856962,0.11754429595034577,-1,-1,-1,-1,-1,-1,0.19767049978680318,-1,-1,-1,-1,-1,-1,-1,0.19767049978680318,-1,-1,-1,-1,-1,0.1232408401977726,-1,-1,-1,-1,-1,-1,0.26724102487803325,-1
park,-1,0.2567378281773033,0.0401363158838578,0.13885558760562322,-1,-1,-1,-1,-1,-1,0.1891929601055009,-1,-1,-1,-1,-1,-1,-1,0.1891929601055009,-1,-1,-1,-1,-1,0.32746472905383417,-1,-1,-1,-1,-1,-1,0.3529326074131247,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,0.3286797563781996,-0.02153276999657905,0.12885731379713095,-1,-1,-1,-1,-1,-1,0.4424601618087862,-1,-1,-1,-1,-1,-1,-1,0.4424601618087862,-1,-1,-1,-1,-1,0.37872348101081954,-1,-1,-1,-1,-1,-1,0.3688021749485957,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,0.24252364723784214,-0.012665731300094407,0.14684964288523983,-1,-1,-1,-1,-1,-1,0.39849840762903677,-1,-1,-1,-1,-1,-1,-1,0.39849840762903677,-1,-1,-1,-1,-1,0.367406807783333,-1,-1,-1,-1,-1,-1,0.49055761875642667,-1
taking,-1,0.4053190530495562,-0.06154439101019182,0.12240620264492763,-1,-1,-1,-1,-1,-1,0.41527100749006296,-1,-1,-1,-1,-1,-1,-1,0.41527100749006296,-1,-1,-1,-1,-1,0.5643684548628877,-1,-1,-1,-1,-1,-1,0.5411544755559136,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,0.3318152229461728,0.2953229388928942,0.4255224465726827,-1,-1,-1,-1,-1,-1,0.3303173890471762,-1,-1,-1,-1,-1,-1,-1,0.3303173890471762,-1,-1,-1,-1,-1,0.437474887754564,-1,-1,-1,-1,-1,-1,0.4996150195027118,-1
third,-1,0.249285727467628,-0.02016006156638661,0.13310315447248577,-1,-1,-1,-1,-1,-1,0.3098401841280103,-1,-1,-1,-1,-1,-1,-1,0.3098401841280103,-1,-1,-1,-1,-1,0.39766044072813167,-1,-1,-1,-1,-1,-1,0.5037627312591018,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,0.19310293909759146,0.11022662736768618,0.15735848910022887,-1,-1,-1,-1,-1,-1,0.2597029284480985,-1,-1,-1,-1,-1,-1,-1,0.2597029284480985,-1,-1,-1,-1,-1,0.2902181837423854,-1,-1,-1,-1,-1,-1,0.27941734457759826,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
