model,the,ex-middlesbrough,assistant,who,held,the,same,post,at,hartlepool,under,colin,cooper,from,2013,to,2014,succeeded,ronnie,moore,on,wednesday,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-0.4027204854405477,0.2084855506558736,-1,0.20298492478787322,-1,0.16180374802766184,0.2134829001816685,-1,1.0,0.0809114985381324,0.41876524195612785,0.5817292099525991,-1,0.316499824941473,-1,0.2952661018203768,0.15902036946536968,0.2747345183393669,0.6010179953813154,-1,0.37588286741045973,-1
manager,-1,-0.24239901635605188,0.8090005985943577,-1,0.23214243807566204,-1,0.28442917878537666,0.29251282696208636,-1,0.44351957201849834,0.39569724504101034,0.561671751905077,0.4772911848331176,-1,0.39511268801737853,-1,0.3528703079693133,0.39875764134783565,0.4916932683378046,0.5236438157209213,-1,0.41372430209273336,-1
craig,-1,-0.45697424659355335,0.48864879422556406,-1,0.15810128437629345,-1,0.13375558804533272,0.27009357863421735,-1,0.7538602131140378,0.18327899126826885,0.7818762604876457,0.8399887659774051,-1,0.28495964520396333,-1,0.2494671323398825,0.398388366102314,0.5520965845329615,0.9078844926879472,-1,0.3503730626915442,-1
hignett,-1,0.06286644352220783,0.1827194406269661,-1,-0.25144519866650783,-1,-0.3550361441519727,-0.03639396310850973,-1,0.3932575543175616,-0.20955814958189434,0.48727500471365204,0.646677630369345,-1,-0.13997260245321952,-1,-0.14470205488593368,0.1556731296327909,0.4020913872913823,0.5706408204826927,-1,-0.10102900067060006,-1
says,-1,-0.4645681415564338,0.5233734040618396,-1,0.27062477795638595,-1,0.440471732731032,0.3605754466205138,-1,0.17851021652622345,0.4249630234214171,0.4834470739266178,0.4770944620754791,-1,0.4717592192792375,-1,0.44761730073004635,0.3147737536253896,0.30494103171542275,0.4918341931006218,-1,0.44139918403489053,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,-0.4678304503182886,0.23974837175707875,-1,0.280807205481859,-1,0.5953053699383497,0.3487258134331772,-1,0.02449418776494261,0.3812737586767093,0.1129372587288251,0.15299278582294873,-1,0.3008873557367544,-1,0.29008193684814887,0.26586784286199083,0.01577029938919461,0.16544156936694931,-1,0.3516165546520801,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,-0.3752640064106041,0.3233466255844377,-1,0.2611576928173507,-1,0.15526824072160084,0.4021127994240099,-1,0.2590693061573581,0.14216067423300172,0.35567883645518106,0.33505179743081337,-1,0.27453599075806023,-1,0.21038355169420075,0.05042204081584545,0.2565193891576232,0.3286950604908696,-1,0.4169642926968974,-1
park,-1,-0.547648839107953,0.3104586732712842,-1,0.4356433850130047,-1,0.4438974772645077,0.24759790619032007,-1,0.45181026864076956,0.2652071314861364,0.25946818990622766,0.488871796329855,-1,0.4279364995771,-1,0.3919169336167092,0.10140132314856232,0.14697086472358345,0.462881041590294,-1,0.5857364613112339,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,-0.38076009542469036,0.17906555043189665,-1,0.2577734663493928,-1,0.39506308850780103,0.3075494522181459,-1,0.017633156935292327,0.3005313355345822,0.02104170688317253,0.07218706543540088,-1,0.2704734468226797,-1,0.2657644151350069,0.12091205232644342,0.008478373834624131,0.08903895091553993,-1,0.28861278307657434,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,-0.34785269236426575,0.2235592984189103,-1,0.3665926099493749,-1,0.4224033737935251,0.3115517653410813,-1,0.09902499639811735,0.36665149253292517,0.06990160296755488,0.14217291471874005,-1,0.4903706872258715,-1,0.4792138969943571,0.19074460648227454,-0.021773271309931008,0.17590410417060154,-1,0.46451182752155695,-1
taking,-1,-0.5553415097185441,0.34318643861587683,-1,0.6129460215658799,-1,0.6020005886805196,0.3927699978173166,-1,0.1546712720911929,0.5116254843046131,0.0841814115093058,0.1804736671623427,-1,0.5478452286176827,-1,0.5250294720710161,0.20161581179368537,0.008216877487340124,0.23831730125288997,-1,0.5209125310043361,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,-0.42645581851484593,0.4043845302444866,-1,0.38238380248248616,-1,0.46275132557123766,0.36906546428200593,-1,0.5086039455713675,0.3816787206742488,0.2719487060561061,0.3221631974613779,-1,0.43373149771557085,-1,0.3892335306531196,0.3117350033133326,0.22520955938536735,0.35532783013180747,-1,0.527735397292083,-1
third,-1,-0.44611855799951017,0.27494401977085303,-1,0.5029396948831072,-1,0.6363164835031057,0.28722059581035864,-1,0.2797882299751733,0.3992282008645418,0.16167080688400137,0.21196349704197082,-1,0.5851946999809986,-1,0.5345490636862917,0.2622684241134917,0.10852621796630701,0.3019439243397519,-1,0.5314405632883027,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,-0.35570928704162963,0.1312827661096423,-1,0.2713206428828938,-1,0.3496936464721617,0.3336259941045856,-1,0.43946851351232563,0.24773863856985234,0.0947353476025401,0.17513454176766252,-1,0.24726751058448282,-1,0.20350520961130358,0.18440911450621045,0.13830580182163132,0.1946610547121702,-1,0.3508235130802835,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-0.3543228367979514,0.3054784538492292,-1,0.3448149232235387,-1,0.43252770125917217,0.22039816879419283,-1,0.4027397635053025,0.31004404790154394,0.12313866601309287,0.17555072291032592,-1,0.5247033601797972,-1,0.4858568512727355,0.21720935656654006,0.13321608962388276,0.20949274043903543,-1,0.5214893024620577,-1
two,-1,-0.5425827431093304,0.27533238434197893,-1,0.5105942427917651,-1,0.5318391842755326,0.3286794321147718,-1,0.19249065138548394,0.4315651668514553,0.17032129229748572,0.22134932216106507,-1,0.5378038214269488,-1,0.46129400932840947,0.262630339710181,0.10840745271779229,0.29401139967748935,-1,0.5444955564609097,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
