model,``,training,we,have,to,be,serious,match-day,ultra,serious,but,after,the,game,-,win,lose,or,draw,-,i,'ll,be,me,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,0.11533447772769534,-1,-1,-1,-1,-0.00906604865272298,-0.19045614588463278,0.04131310256520482,-0.00906604865272298,-1,-1,-1,0.29500764026474635,-1,0.3713163419558798,0.15829614784356372,-1,0.35060012041334365,-1,-1,-1,-1,0.05193988162096774,-1
manager,-1,0.3196146394523438,-1,-1,-1,-1,0.18536802625043647,0.02949114414590248,-0.12958346700711276,0.18536802625043647,-1,-1,-1,0.4620043009569521,-1,0.44931844738452176,0.3088799881896971,-1,0.299879943823969,-1,-1,-1,-1,0.33646060278918477,-1
craig,-1,0.07552197106281544,-1,-1,-1,-1,0.0500516104552291,-0.3165254856487545,-0.06406161983871783,0.0500516104552291,-1,-1,-1,0.24964571255905588,-1,0.2548834900139578,0.18347858235804082,-1,0.1885479383926092,-1,-1,-1,-1,0.23236687820556112,-1
hignett,-1,-0.3536100799235311,-1,-1,-1,-1,-0.23446993738669186,-0.335451297649326,0.06449127922416409,-0.23446993738669186,-1,-1,-1,-0.21272667854290095,-1,-0.21680080814220748,-0.2709243132238537,-1,-0.2594659633086074,-1,-1,-1,-1,-0.19757445117278327,-1
says,-1,0.41362630756762053,-1,-1,-1,-1,0.36147168425782294,-0.13606625556577834,-0.16921451256304976,0.36147168425782294,-1,-1,-1,0.36687786359235675,-1,0.32923671733212445,0.3948589162268423,-1,0.20490112258673943,-1,-1,-1,-1,0.49942306259663694,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,0.48596163667180003,-1,-1,-1,-1,0.5654495474403828,-0.08817846509523819,0.049083885070298705,0.5654495474403828,-1,-1,-1,0.38737596841351873,-1,0.2798678916607369,0.3503179897045787,-1,0.209060439675971,-1,-1,-1,-1,0.443040247563682,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,0.3663095013973605,-1,-1,-1,-1,0.19767049978680318,0.0061309197859039655,-0.006956329860502208,0.19767049978680318,-1,-1,-1,0.21196998357849206,-1,0.15052479412268827,0.048947677896806985,-1,0.23804291191205706,-1,-1,-1,-1,0.23224028899589733,-1
