model,``,first,and,foremost,we,need,to,get,away,from,where,we,are,'',he,added,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-1,-1,-0.053045547045852404,-1,0.09007838595263218,-1,0.0953136539076983,0.31281421864538395,-1,-1,-1,-1,-1,-1,0.17675489293805646,-1
manager,-1,-1,-1,0.03604631197736685,-1,0.341989374431121,-1,0.31543752151964854,0.2572191363371563,-1,-1,-1,-1,-1,-1,0.5890091334788248,-1
craig,-1,-1,-1,-0.031914920094940236,-1,0.1328842914092312,-1,0.1644865506974469,0.26878774320636256,-1,-1,-1,-1,-1,-1,0.4889043960567787,-1
hignett,-1,-1,-1,-0.12543950662608094,-1,-0.3545772476511877,-1,-0.2961656156840049,-0.2525472843288574,-1,-1,-1,-1,-1,-1,0.07499213400709093,-1
says,-1,-1,-1,-0.026707918237426354,-1,0.5231237717548743,-1,0.4377491337401499,0.31555437464214087,-1,-1,-1,-1,-1,-1,0.7623620526196315,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,-1,-1,0.13207500721070264,-1,0.5498102874000352,-1,0.4803411997053868,0.32445214520401633,-1,-1,-1,-1,-1,-1,0.4952205740296056,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,-1,-1,0.10055382220118125,-1,0.07884213359748338,-1,0.22591500672541398,0.22188075688388653,-1,-1,-1,-1,-1,-1,0.26724102487803325,-1
park,-1,-1,-1,-0.008928461114565245,-1,0.2946341469213096,-1,0.2752222399489861,0.34005204237663944,-1,-1,-1,-1,-1,-1,0.3529326074131247,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,-1,-1,0.2831763904310114,-1,0.4191336040478414,-1,0.464409742612957,0.30958637412298395,-1,-1,-1,-1,-1,-1,0.3688021749485957,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,-1,-1,0.0013802761423313825,-1,0.3875205225541801,-1,0.3303510038073072,0.4514377938370884,-1,-1,-1,-1,-1,-1,0.49055761875642667,-1
taking,-1,-1,-1,0.19443201106868546,-1,0.5631818312701274,-1,0.5366681768324573,0.6169901623944558,-1,-1,-1,-1,-1,-1,0.5411544755559136,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,-1,-1,0.026270965013775238,-1,0.4256826430783155,-1,0.4461471044760701,0.5319211383244491,-1,-1,-1,-1,-1,-1,0.4996150195027118,-1
third,-1,-1,-1,0.24432201427979694,-1,0.36940874682697056,-1,0.43446928187162936,0.4815150858972189,-1,-1,-1,-1,-1,-1,0.5037627312591018,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,-1,-1,0.06535210446549689,-1,0.3227705734661436,-1,0.3917823598682274,0.4549483657037765,-1,-1,-1,-1,-1,-1,0.27941734457759826,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,-1,0.1639721551478973,-1,0.3799328418624289,-1,0.408039872351311,0.511349307708266,-1,-1,-1,-1,-1,-1,0.3617739187880509,-1
two,-1,-1,-1,0.16024458028534427,-1,0.43558580983947137,-1,0.4691905860189971,0.507513055914023,-1,-1,-1,-1,-1,-1,0.481376656761459,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
