model,the,austrian,team,accuse,the,french,manufacturer,of,failing,to,build,a,competitive,version,of,the,new,turbo,hybrid,engines,that,f1,adopted,last,year,.
renault,-1,0.17566778433344754,0.3911104769991173,-0.12370459028726177,-1,0.2163050799458941,0.5432202680423991,-1,0.05803327101058986,-1,0.2668615815476796,-1,0.13937822867591387,0.2628059856412073,-1,-1,-1,0.37071374365489296,0.4785924603394396,0.4946610398061678,-1,0.6504585370636248,0.21602962168222883,-1,0.16513529166424945,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.1248940932264807,0.3443351205957468,0.3708575512506298,-1,0.3564411767202562,0.23936512736478943,-1,0.6604071647686607,-1,0.43970960955513305,-1,0.3041543840485079,0.2673752572757222,-1,-1,-1,0.02300348428292509,0.21376438497766537,0.4189436332574312,-1,0.1948485856174087,0.5089630250710857,-1,0.39817814524868034,-1
supplying,-1,0.08833233257346662,0.09732825029638692,0.2902285859484979,-1,0.17219732667022147,0.3507655626747128,-1,0.4893767414546686,-1,0.2525544769747693,-1,0.22531805448876474,0.19312474361185528,-1,-1,-1,0.2879033326240089,0.42028373563661137,0.3803501811786347,-1,0.11458230698448346,0.33525465452053016,-1,0.14404990454878208,-1
engines,-1,0.13243849727235668,0.24002361535405203,0.016931546385430263,-1,0.2296720428752318,0.4152675767464722,-1,0.28105654725036056,-1,0.28520572911390507,-1,0.20868766089925017,0.32230573340059465,-1,-1,-1,0.49348495101189194,0.6475522437953749,1.0,-1,0.4141810846511085,0.37116417181332007,-1,0.2565098898592939,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,0.18884626976818186,0.39821798758294813,-0.1300226309188286,-1,0.41737145112647556,0.3194437300058641,-1,0.19015636702805483,-1,0.32798823124643517,-1,0.21644559834069133,0.4528469568671998,-1,-1,-1,0.26571354827381444,0.3899712051082066,0.3244342070973376,-1,0.507611509950645,0.23837722215460122,-1,0.5029826824401561,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,0.19957529412162656,0.6699037714563402,0.2648682576302075,-1,0.5287943270661111,0.16545937691712032,-1,0.44142067303079013,-1,0.39813523158843367,-1,0.46945952370444943,0.3071289004790233,-1,-1,-1,-0.009101371540176872,0.12588268573875272,0.4927170251220785,-1,0.39477663403920515,0.42603416885184664,-1,0.4845718227905068,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,0.07026026786814898,0.3406965261265973,0.2452399607655531,-1,0.30100201976677976,0.07512315675292525,-1,0.3484394971584739,-1,0.37347086291642917,-1,0.3655403374911399,0.3140380547740269,-1,-1,-1,-0.031710254341299704,0.05339124646510507,0.2704144250861127,-1,0.1480706410024375,0.4566981531612241,-1,0.39429704180949376,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,0.06934732162764046,0.29472379318891717,0.18683062557166497,-1,0.25960301091096394,0.0867373935000153,-1,0.42533707373879015,-1,0.3852066752498049,-1,0.3131532821379066,0.29613049120346835,-1,-1,-1,-0.03657752356870336,0.09976406730960063,0.21290526606363402,-1,0.08518095871446396,0.46467369182538487,-1,0.3907762038269047,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
