model,','',renault,is,in,the,process,of,trying,to,negotiate,a,takeover,of,the,cash-strapped,lotus,team,.
renault,-1,-1,1.0,-1,-1,-1,0.09219978597902767,-1,0.04507552629411249,-1,0.134261621964744,-1,0.20183940028929515,-1,-1,-0.03185204822199239,0.6708289625680992,0.3911104769991173,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,-1,0.0993069955852599,-1,-1,-1,0.43019529435840664,-1,0.7306868798488015,-1,0.4359262205952412,-1,0.220177883856723,-1,-1,0.07711463195616097,0.02515290897788336,0.3443351205957468,-1
supplying,-1,-1,0.18585261238087847,-1,-1,-1,0.270770467983803,-1,0.37175430881872884,-1,0.3703038819673188,-1,0.1842654080816747,-1,-1,0.06050764357509153,0.16821137421693677,0.09732825029638692,-1
engines,-1,-1,0.4946610398061678,-1,-1,-1,0.21944766513025327,-1,0.2582939020765501,-1,0.19761481645443513,-1,0.10973192576626944,-1,-1,0.034913322806255476,0.3632877039887864,0.24002361535405203,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,-1,0.46668079398383266,-1,-1,-1,0.3021720092832635,-1,0.1352153231535843,-1,0.2545856382097621,-1,0.3523627465247219,-1,-1,0.1491177676754437,0.3882518093646099,0.39821798758294813,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,-1,0.21174416755666414,-1,-1,-1,0.3196583602997587,-1,0.5010788434040699,-1,0.3352268174121703,-1,0.14281506201793015,-1,-1,0.21903680266453895,0.29133378313801317,0.6699037714563402,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,-1,0.07079672329328246,-1,-1,-1,0.4282890937580166,-1,0.46092218717100264,-1,0.4300539908515326,-1,0.2941767038267953,-1,-1,-0.07062179363979215,0.012507879981228265,0.3406965261265973,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,-1,-0.05108921530781485,-1,-1,-1,0.4446660625260499,-1,0.4772322989518003,-1,0.46134332616608664,-1,0.40479265842031653,-1,-1,0.057692060159126535,-0.04314710383608178,0.29472379318891717,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
