model,but,ghosn,said,there,was,still,a,possibility,the,company,could,walk,away,from,f1,.
renault,-1,0.04242778962714244,-1,-1,-1,0.09913437714739659,-1,0.11602664257178119,-1,0.24290098585272524,-1,0.11290213963486206,0.015719403545279564,-1,0.6504585370636248,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,-0.21279473261115234,-1,-1,-1,0.4850690995385567,-1,0.40757226298784466,-1,0.43418920368847624,-1,0.6438886240943649,0.5284953047148112,-1,0.1948485856174087,-1
supplying,-1,-0.25548794859021173,-1,-1,-1,0.257374236434908,-1,0.29036941073139877,-1,0.4017779079662587,-1,0.23645754167179267,0.11224076836442565,-1,0.11458230698448346,-1
engines,-1,-0.2473232485664103,-1,-1,-1,0.2564320371575741,-1,0.1813545190816448,-1,0.3291352773375489,-1,0.31294872080471714,0.2312346077839469,-1,0.4141810846511085,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,-0.13845337466459418,-1,-1,-1,0.25365009499903257,-1,0.26373683752303045,-1,0.2578017594933646,-1,0.36012599946345747,0.2699145419206157,-1,0.507611509950645,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,-0.43906726153767783,-1,-1,-1,0.5386959001422927,-1,0.36665253024551603,-1,0.3695311817077518,-1,0.5049585723980399,0.4885865524326669,-1,0.39477663403920515,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,-0.09871675763728094,-1,-1,-1,0.521113085120943,-1,0.43424584439539893,-1,0.27323054038757966,-1,0.5188363285068662,0.41552260960220133,-1,0.1480706410024375,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,-0.24690527302499077,-1,-1,-1,0.5299132945919643,-1,0.5655212899633383,-1,0.31301371195837135,-1,0.40209712490450933,0.34544185570880614,-1,0.08518095871446396,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
