model,we,do,n't,have,a,clear,decision,yet,.
renault,-1,0.10699797406735723,-1,-1,-1,0.0871684174756524,0.03638071537668508,0.18011965226090554,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.6541234443349898,-1,-1,-1,0.43750401015689366,0.5224988388261255,0.43916798112960453,-1
supplying,-1,0.15695984723497625,-1,-1,-1,0.10170639444498031,0.05693940603054515,0.11986185746306921,-1
engines,-1,0.21063753094592508,-1,-1,-1,0.1900027876789654,0.053019943353786125,0.1938703547454277,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,0.2858531708968831,-1,-1,-1,0.30429022649131743,0.23655269282245195,0.2706093105648799,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,0.6100673956714994,-1,-1,-1,0.4652552197260027,0.32232560752606876,0.4465787245313084,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,0.4859866158179842,-1,-1,-1,0.48143978209903615,0.4543113867326496,0.505737544167915,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,0.5669954375458242,-1,-1,-1,0.5398345583919513,0.47984960240268704,0.5036122878044231,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
