model,ghosn,said,:,``,we,have,already,alerted,the,f1,authorities,and,told,them,:,`,do,n't,count,on,us,as,a,provider,of,an,engine,-,it,'s,over,.
renault,0.04242778962714244,-1,-1,-1,-1,-1,0.08506146509395629,0.07263614962414933,-1,0.6504585370636248,-0.04174268184049024,-1,-1,-1,-1,-1,0.10699797406735723,-1,0.044788422946104745,-1,0.1165290938989173,-1,-1,0.2716109377061017,-1,-1,0.6234884267656846,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-0.21279473261115234,-1,-1,-1,-1,-1,0.4328966823144611,0.3912799637239146,-1,0.1948485856174087,0.5145509193175221,-1,-1,-1,-1,-1,0.6541234443349898,-1,0.3912589733087546,-1,0.5639467324733719,-1,-1,0.2902151569485698,-1,-1,0.3919910121858661,-1,-1,-1,-1,-1
supplying,-0.25548794859021173,-1,-1,-1,-1,-1,0.3347291727448616,0.18365456890153253,-1,0.11458230698448346,0.2641306325462157,-1,-1,-1,-1,-1,0.15695984723497625,-1,0.28160423037715643,-1,0.26301221507524786,-1,-1,0.26050133164466094,-1,-1,0.36509355353880646,-1,-1,-1,-1,-1
engines,-0.2473232485664103,-1,-1,-1,-1,-1,0.26828195274750755,0.3687277054999082,-1,0.4141810846511085,0.23868890419675792,-1,-1,-1,-1,-1,0.21063753094592508,-1,0.12732537453846215,-1,0.20304752733988574,-1,-1,0.37573964618054223,-1,-1,0.7164598254536695,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-0.13845337466459418,-1,-1,-1,-1,-1,0.25153118755111215,-0.017063306840007453,-1,0.507611509950645,0.17989143427661847,-1,-1,-1,-1,-1,0.2858531708968831,-1,0.20696604451725542,-1,0.2676032158757855,-1,-1,0.2899466781396436,-1,-1,0.4319650865696998,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-0.43906726153767783,-1,-1,-1,-1,-1,0.5291494936660782,0.2435566602144359,-1,0.39477663403920515,0.48898098061266415,-1,-1,-1,-1,-1,0.6100673956714994,-1,0.2996178208255601,-1,0.5162277661836786,-1,-1,0.20285664712989993,-1,-1,0.3781446606001053,-1,-1,-1,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-0.09871675763728094,-1,-1,-1,-1,-1,0.3723727881826482,0.359495087300028,-1,0.1480706410024375,0.37156506979569104,-1,-1,-1,-1,-1,0.4859866158179842,-1,0.28807120607829817,-1,0.41699436454363115,-1,-1,0.24260603771108935,-1,-1,0.3120150702098512,-1,-1,-1,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-0.24690527302499077,-1,-1,-1,-1,-1,0.4091653136864204,0.21699678790935883,-1,0.08518095871446396,0.4379712412183496,-1,-1,-1,-1,-1,0.5669954375458242,-1,0.424121583867915,-1,0.45213174994329763,-1,-1,0.222165485578256,-1,-1,0.2559368931611683,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
