model,but,red,bull,are,doing,``,necessary,due,diligence,'',in,talking,to,other,engine,suppliers,with,the,team,expected,to,use,ferrari,power,next,year,after,failing,to,come,to,an,agreement,with,mercedes,.
renault,-1,0.3916529901379201,0.4657768094525925,-1,0.11270189246941331,-1,0.0224956801416889,-1,0.033718463812173916,-1,-1,0.05795493174733446,-1,-1,0.6234884267656846,0.18244937392623617,-1,-1,0.3911104769991173,0.07993676101424252,-1,0.16299176003896187,0.6651499335505209,0.1574888780053083,0.13772709815607498,0.16513529166424945,-1,0.05803327101058986,-1,0.05022672677824924,-1,-1,0.18543305856898562,-1,0.6561926172290432,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.302647213668063,0.14272365329348524,-1,0.6017835276629346,-1,0.5601506999304449,-1,0.14336435442211481,-1,-1,0.531236446272098,-1,-1,0.3919910121858661,0.3189174802957324,-1,-1,0.3443351205957468,0.47846248179156103,-1,0.6619658444138575,0.1919789862466179,0.5498518164806161,0.3788993171143964,0.39817814524868034,-1,0.6604071647686607,-1,0.5576712824668217,-1,-1,0.42100207526620714,-1,0.23128314326225152,-1
supplying,-1,0.20954611614612717,0.14176202096976276,-1,0.23896216595411734,-1,0.27839282085417993,-1,0.15769188495679598,-1,-1,0.28111733750247614,-1,-1,0.36509355353880646,0.42421999029786006,-1,-1,0.09732825029638692,0.16746086950536587,-1,0.42332390052582725,0.1413841557330926,0.35019657498236045,0.023054734976435842,0.14404990454878208,-1,0.4893767414546686,-1,0.10416972928406198,-1,-1,0.24630989256550873,-1,0.16781792894023884,-1
engines,-1,0.2915992999346718,0.20767862412788762,-1,0.1854611594474218,-1,0.20992748678914563,-1,0.11166557347262862,-1,-1,0.18063796967473966,-1,-1,0.7164598254536695,0.41182749723662593,-1,-1,0.24002361535405203,0.2507154181897253,-1,0.45562228134968574,0.3250572193965414,0.34299648904284497,0.19086913780115133,0.2565098898592939,-1,0.28105654725036056,-1,0.23257407491174065,-1,-1,0.1828600113807458,-1,0.38200047662721326,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,0.20877827744879318,0.1664473571124101,-1,0.2031571648668572,-1,0.20841837365878146,-1,-0.008889898252670392,-1,-1,0.1573641995434144,-1,-1,0.4319650865696998,0.30924508317156263,-1,-1,0.39821798758294813,0.33760647446759473,-1,0.3047413326428414,0.41450427079750907,0.4081246507630194,0.43132455311703066,0.5029826824401561,-1,0.19015636702805483,-1,0.2229262364672313,-1,-1,0.44364139440191175,-1,0.50778817701149,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,0.3190590673206899,0.185533229112403,-1,0.5460832084413265,-1,0.3948049851400224,-1,0.020549797983672957,-1,-1,0.4442009139542372,-1,-1,0.3781446606001053,0.4771379657370659,-1,-1,0.6699037714563402,0.45412828969585717,-1,0.4766532715974814,0.324804589949645,0.30373301527101226,0.5032823070322091,0.4845718227905068,-1,0.44142067303079013,-1,0.5444642378272222,-1,-1,0.39271460331054353,-1,0.3657481334962511,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,0.20540816431830589,0.08511520504414793,-1,0.45543710786957425,-1,0.4481983543707495,-1,0.22183675861887475,-1,-1,0.3056774090683134,-1,-1,0.3120150702098512,0.16417595686983633,-1,-1,0.3406965261265973,0.5972750080538946,-1,0.40415292503594,0.1433434322739653,0.3881754116178854,0.4304876500780783,0.39429704180949376,-1,0.3484394971584739,-1,0.5435581571405748,-1,-1,0.43648408739676237,-1,0.15504571283534385,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,0.18870233956982463,0.04826268405448253,-1,0.5270483978957948,-1,0.6131406675256487,-1,0.1292549486355521,-1,-1,0.32282670213937203,-1,-1,0.2559368931611683,0.26464885955830697,-1,-1,0.29472379318891717,0.5137995204388169,-1,0.4755200938201647,0.08072745732341702,0.3525222223005362,0.374755255307632,0.3907762038269047,-1,0.42533707373879015,-1,0.4519109538835543,-1,-1,0.5317295797276171,-1,0.033205231831087256,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
