model,``,we,will,either,exit,or,run,our,own,team,.
renault,-1,-1,-1,0.16335983520543051,0.18485692488645933,-1,0.24199126101329083,-1,0.10195573883155895,0.3911104769991173,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,-1,-1,0.5854833696811358,0.44184971392325323,-1,0.5614678432919133,-1,0.46282597699274186,0.3443351205957468,-1
supplying,-1,-1,-1,0.2011638065718594,0.10508400031232168,-1,0.18770125125705062,-1,0.13823452233099942,0.09732825029638692,-1
engines,-1,-1,-1,0.27475991724535465,0.2683729023378909,-1,0.39827912109360497,-1,0.28091659480449493,0.24002361535405203,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,-1,-1,0.3229997809693479,0.35840083232698694,-1,0.3814943235456614,-1,0.27869141061245495,0.39821798758294813,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,-1,-1,0.5909866268750942,0.4276203852700089,-1,0.6741995382776563,-1,0.42302375645606216,0.6699037714563402,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,-1,-1,0.4844284540249899,0.43733329734857385,-1,0.4806530817074949,-1,0.38283236458028247,0.3406965261265973,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,-1,-1,0.4981058097914133,0.47930753695411077,-1,0.4436042654312766,-1,0.39993264008604723,0.29472379318891717,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
