model,ghosn,said,renault,would,``,honour,our,contracts,'',but,admitted,the,company,was,renegotiating,``,so,it,'s,too,early,to,say,what,'s,going,to,be,the,conclusion,'',.
renault,0.04242778962714244,-1,1.0,-1,-1,0.12430334926671838,-1,0.2595800391658778,-1,-1,0.13271343021541548,-1,0.24290098585272524,-1,0.06593751196375908,-1,0.11545299348384996,-1,-1,-0.057323245235237685,0.04170388752181342,-1,-1,-1,-1,0.14955701024678736,-1,-1,-1,0.15837365654671354,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-0.21279473261115234,-1,0.0993069955852599,-1,-1,0.3017130046768901,-1,0.3717579902825494,-1,-1,0.40592875293983877,-1,0.43418920368847624,-1,0.048111324815138135,-1,0.5679609001417051,-1,-1,0.4324497594409231,0.3663608779847729,-1,-1,-1,-1,0.6633468218855666,-1,-1,-1,0.2740292865093137,-1,-1
supplying,-0.25548794859021173,-1,0.18585261238087847,-1,-1,0.18635288806531825,-1,0.4282223400800427,-1,-1,0.5185970757486538,-1,0.4017779079662587,-1,0.24941953103663828,-1,0.1833358905644058,-1,-1,0.18904976475469193,0.07288640136606261,-1,-1,-1,-1,0.15767380234862094,-1,-1,-1,0.0015773788921139564,-1,-1
engines,-0.2473232485664103,-1,0.4946610398061678,-1,-1,0.12713471115167585,-1,0.4732760137693407,-1,-1,0.25926488006192283,-1,0.3291352773375489,-1,-0.028813642332124356,-1,0.27493422065896267,-1,-1,0.10175171166309915,0.1981434490201769,-1,-1,-1,-1,0.22921603482093345,-1,-1,-1,0.21580071117874122,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-0.13845337466459418,-1,0.46668079398383266,-1,-1,0.1599499913216842,-1,0.3847082220024012,-1,-1,0.14189872812243376,-1,0.2578017594933646,-1,-0.06473511420506695,-1,0.2806841206441515,-1,-1,0.17046863382446442,0.2256430463021274,-1,-1,-1,-1,0.2777631925199623,-1,-1,-1,0.20133501611407822,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-0.43906726153767783,-1,0.21174416755666414,-1,-1,0.30699006252641703,-1,0.5035184385326849,-1,-1,0.29150319397239954,-1,0.3695311817077518,-1,0.08060668192185927,-1,0.5812258967588014,-1,-1,0.3698500089223625,0.33820667624773204,-1,-1,-1,-1,0.587548670751799,-1,-1,-1,0.18292772721372708,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-0.09871675763728094,-1,0.07079672329328246,-1,-1,0.20327558292019787,-1,0.3223406815949734,-1,-1,0.19241146180008817,-1,0.27323054038757966,-1,0.07412013927310646,-1,0.5841749974739336,-1,-1,0.5763639339331951,0.5448120603496569,-1,-1,-1,-1,0.5001144488602675,-1,-1,-1,0.4477479582853947,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-0.24690527302499077,-1,-0.05108921530781485,-1,-1,0.36656136084325297,-1,0.40541044437804996,-1,-1,0.19396898518499595,-1,0.31301371195837135,-1,0.14637882793755252,-1,0.5195209516985009,-1,-1,0.4478708099033295,0.4225084059496578,-1,-1,-1,-1,0.4520944708307064,-1,-1,-1,0.48227937285318345,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
