model,carlos,ghosn,renault,'s,chairman,and,chief,executive,officer,also,hinted,the,company,'s,relationship,with,red,bull,is,likely,to,end,this,year,.
renault,0.29527727567172257,0.04242778962714244,1.0,-1,0.2134849865400391,-1,0.19463688237497534,0.15185865478771765,0.1363771750023004,-1,0.20438523406433906,-1,0.24290098585272524,-1,0.11809248204579059,-1,0.3916529901379201,0.4657768094525925,-1,0.09230885135426048,-1,-1,-1,0.16513529166424945,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-0.052964949296380626,-0.21279473261115234,0.0993069955852599,-1,0.14431756081616665,-1,0.2556353121670807,0.2640501423910848,0.3692421316820981,-1,0.08444473987208867,-1,0.43418920368847624,-1,0.32844602360390274,-1,0.302647213668063,0.14272365329348524,-1,0.5298221902495008,-1,-1,-1,0.39817814524868034,-1
supplying,-0.09585931422611749,-0.25548794859021173,0.18585261238087847,-1,-0.0016003206392249947,-1,0.055957556117330554,0.08539765233498275,0.16906286168129459,-1,0.013649724658764906,-1,0.4017779079662587,-1,0.2329290516987793,-1,0.20954611614612717,0.14176202096976276,-1,0.18848797410092188,-1,-1,-1,0.14404990454878208,-1
engines,0.007133490192167469,-0.2473232485664103,0.4946610398061678,-1,0.03791473159818293,-1,0.21199502539539794,0.12815426404176988,0.30989522446450257,-1,0.06794287095742702,-1,0.3291352773375489,-1,0.11314652482805687,-1,0.2915992999346718,0.20767862412788762,-1,0.28329272030951014,-1,-1,-1,0.2565098898592939,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,0.2120407291172337,-0.13845337466459418,0.46668079398383266,-1,0.29603693715224044,-1,0.2934494220312396,0.28258683286851216,0.11934725303483296,-1,0.12129981961132175,-1,0.2578017594933646,-1,0.09655804225280129,-1,0.20877827744879318,0.1664473571124101,-1,0.3532307317287202,-1,-1,-1,0.5029826824401561,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-0.09594994691386405,-0.43906726153767783,0.21174416755666414,-1,0.24594373854289198,-1,0.3242200856749784,0.2692946466747067,0.36344051189673987,-1,0.014823579839983614,-1,0.3695311817077518,-1,0.33205496648699173,-1,0.3190590673206899,0.185533229112403,-1,0.5542164836061724,-1,-1,-1,0.4845718227905068,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,0.08466042168452348,-0.09871675763728094,0.07079672329328246,-1,0.2736609912477823,-1,0.27482571330600947,0.26205140748301425,0.2635036236671743,-1,0.25046243146429803,-1,0.27323054038757966,-1,0.36021780970344275,-1,0.20540816431830589,0.08511520504414793,-1,0.6118273446887093,-1,-1,-1,0.39429704180949376,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-0.11272301440647658,-0.24690527302499077,-0.05108921530781485,-1,0.17192634708890253,-1,0.2644737615226105,0.23879198332140628,0.300203085034375,-1,0.1695943714039524,-1,0.31301371195837135,-1,0.4481629449721496,-1,0.18870233956982463,0.04826268405448253,-1,0.6331062825466046,-1,-1,-1,0.3907762038269047,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
