model,ghosn,said,red,bull,'s,treatment,of,renault,during,the,previous,six,years,had,been,instrumental,in,the,company,'s,decision,.
renault,0.04242778962714244,-1,0.3916529901379201,0.4657768094525925,-1,0.12396271878804255,-1,1.0,-1,-1,0.06053962151769343,0.05793198830981927,-0.008372733130509902,-1,-1,0.1726766345036176,-1,-1,0.24290098585272524,-1,0.03638071537668508,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-0.21279473261115234,-1,0.302647213668063,0.14272365329348524,-1,0.43129041658287914,-1,0.0993069955852599,-1,-1,0.17381063580581646,0.4451657106036334,0.4019179430349086,-1,-1,0.17303981431667448,-1,-1,0.43418920368847624,-1,0.5224988388261255,-1
supplying,-0.25548794859021173,-1,0.20954611614612717,0.14176202096976276,-1,0.2861875302057193,-1,0.18585261238087847,-1,-1,0.04296578430522913,0.19467720339244643,0.2260366528255242,-1,-1,0.3452522522930721,-1,-1,0.4017779079662587,-1,0.05693940603054515,-1
engines,-0.2473232485664103,-1,0.2915992999346718,0.20767862412788762,-1,0.34830499176367014,-1,0.4946610398061678,-1,-1,0.21596810837385538,0.41754268749258583,0.28889442794474585,-1,-1,0.1483809000492199,-1,-1,0.3291352773375489,-1,0.053019943353786125,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-0.13845337466459418,-1,0.20877827744879318,0.1664473571124101,-1,0.3459233595166129,-1,0.46668079398383266,-1,-1,0.26602183567390136,0.38189342272609705,0.30697047544038847,-1,-1,0.05399321386808398,-1,-1,0.2578017594933646,-1,0.23655269282245195,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-0.43906726153767783,-1,0.3190590673206899,0.185533229112403,-1,0.4018893380588666,-1,0.21174416755666414,-1,-1,0.4162562718029291,0.7446313932299738,0.4952293933069589,-1,-1,0.14334818012652129,-1,-1,0.3695311817077518,-1,0.32232560752606876,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-0.09871675763728094,-1,0.20540816431830589,0.08511520504414793,-1,0.39139336656748414,-1,0.07079672329328246,-1,-1,0.20749053166065012,0.35144057868173995,0.34897198592154266,-1,-1,0.1722325882741289,-1,-1,0.27323054038757966,-1,0.4543113867326496,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-0.24690527302499077,-1,0.18870233956982463,0.04826268405448253,-1,0.4837408622301428,-1,-0.05108921530781485,-1,-1,0.33739046020793095,0.4118951942990856,0.39802341446050116,-1,-1,0.1715639503325216,-1,-1,0.31301371195837135,-1,0.47984960240268704,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
