model,the,french,government,proposed,senior,diplomat,laurent,stefanini,for,the,post,in,january,but,the,vatican,is,yet,to,respond,to,approve,the,choice,.
france,-1,0.6722319081378285,0.4132754741928304,0.3792297753006797,0.34072678759519337,0.17517487974830648,0.18722037608080822,-0.4758236824941724,-1,-1,0.36493264221169364,-1,0.593594459677655,-1,-1,0.3253989915947739,-1,0.4426680879710382,-1,0.2981311413552552,-1,0.2161155407774913,-1,0.316153383960025,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,-1,0.27804932090588874,0.29512665449424,0.30738553772275623,0.23080909565550756,0.06125470620783746,-0.06866655742984884,-0.3087050710930288,-1,-1,0.3882484963813717,-1,0.3609182797578603,-1,-1,0.1591694016931483,-1,0.3194527963730257,-1,0.22306983301534233,-1,0.1909443854952333,-1,0.21795647182140965,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,-1,0.3921609000148796,0.2711047926881147,0.2414210339987637,0.3322316258377095,0.26388316197632755,0.06436750788043066,-0.10223543699041415,-1,-1,0.13253309691141335,-1,0.24067818552755438,-1,-1,0.37293409631354857,-1,0.23323102666602935,-1,0.12124625118234245,-1,0.3496563517644675,-1,0.3858896612088756,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,-1,0.21018892929705246,0.2104811809147068,0.16680791977388643,0.19836558378554503,0.13914878295035882,0.15424770685551903,-0.12364088383834226,-1,-1,0.024945129160521495,-1,0.05448422144439413,-1,-1,0.08961997319303394,-1,0.2210782128387735,-1,0.32050326313104205,-1,0.26274041054676067,-1,0.2913193101605718,-1
gay,-1,0.3736540957743344,0.3091022226889393,0.28154870880848537,0.3064604397317269,0.24519863848405687,0.1700263168467684,-0.3928243851357931,-1,-1,0.046536769000996236,-1,0.18542556100227992,-1,-1,0.057750767526868696,-1,0.23923565596211605,-1,0.24254754095719533,-1,0.31223902119681934,-1,0.3423786836218148,-1
ambassador,-1,0.5899670722449742,0.3514854306621762,0.1325731027663416,0.31383616439197803,0.5422443311656848,0.2764690146915345,-0.14235927969360418,-1,-1,0.26785570947042303,-1,0.20075191462677333,-1,-1,0.49462520225403583,-1,0.13920629839601717,-1,0.13253357442472735,-1,0.15704597244144758,-1,0.15518483218681633,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,-1,0.5612957965465905,0.44633544487826327,0.37735157519859874,0.43813183674936007,0.42637650078735123,0.29297157840763033,-0.1681616122422036,-1,-1,0.33003413419325645,-1,0.1818656616557035,-1,-1,1.0,-1,0.29745592018760725,-1,0.2695153193501665,-1,0.26718406059637223,-1,0.13600387982388795,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
