model,the,nomination,of,mr,stefanini,was,seen,as,a,litmus,test,for,pope,francis,who,has,taken,a,more,liberal,stance,on,homosexuality,.
france,-1,0.2626734647961242,-1,0.33821175759884603,-0.4758236824941724,-1,0.44118055847038573,-1,-1,-0.1574792554665776,0.6292843978878786,-1,0.4106068959308329,0.32053159484952,-1,-1,0.47020427003266063,-1,-1,0.4605092872888594,0.25885489045905763,-1,0.13861306055908307,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,-1,0.04158475007948359,-1,0.20758650208937834,-0.3087050710930288,-1,0.40229515844116603,-1,-1,-0.17853683890171235,0.3124284822086495,-1,0.2084387308940583,0.13500956020069355,-1,-1,0.49161894132356787,-1,-1,0.20219701659213685,0.29581784093516883,-1,0.10233710011885411,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,-1,1.0,-1,0.29585606731766223,-0.10223543699041415,-1,0.0754640985552335,-1,-1,0.14544826502569264,0.3747845628864386,-1,0.40785155510918236,0.287885328912417,-1,-1,0.14685146613492295,-1,-1,0.4177676287448151,0.3670514301021277,-1,0.2793749644820779,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,-1,0.24924853693138416,-1,0.16491629667128915,-0.12364088383834226,-1,0.14463369810536864,-1,-1,-0.21790344265136197,0.032294821857190015,-1,0.030086898928233352,0.11943516169890867,-1,-1,0.14539822433126526,-1,-1,0.2750587323873862,0.3409562452795265,-1,0.4572678743858627,-1
gay,-1,0.2717064606298216,-1,0.18478347563494735,-0.3928243851357931,-1,0.2807717409671924,-1,-1,-0.20644869468848137,0.23456413014864863,-1,-0.06122279692749166,0.046920887750435014,-1,-1,0.39783904000003756,-1,-1,0.4169430839360566,0.34677253362379745,-1,0.405480130238868,-1
ambassador,-1,0.316073660550902,-1,0.18492505764943412,-0.14235927969360418,-1,0.20319477163260813,-1,-1,-0.1597779523505416,0.162487747800234,-1,0.38631891131005003,0.32709024019854305,-1,-1,0.13927371494509566,-1,-1,0.33838312245118163,0.24566153385036227,-1,0.13524721276804008,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,-1,0.37293409631354857,-1,0.2623556171036825,-0.1681616122422036,-1,0.20012553248580978,-1,-1,-0.1848266957966831,0.26401364659882764,-1,0.6492133694455714,0.5278154925834215,-1,-1,0.225144074510779,-1,-1,0.4122237893927735,0.3044391525897314,-1,0.1196076513078912,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
