model,a,french,government,spokesman,said,there,had,been,negotiations,with,the,vatican,over,the,appointment,.
france,-1,0.6722319081378285,0.4132754741928304,0.3938936080916653,-1,-1,-1,-1,0.4786558769803442,-1,-1,0.3253989915947739,-1,-1,0.27554624901567815,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,-1,0.27804932090588874,0.29512665449424,0.21514884935864798,-1,-1,-1,-1,0.29953688038461823,-1,-1,0.1591694016931483,-1,-1,0.17577876447870278,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,-1,0.3921609000148796,0.2711047926881147,0.18999802098345897,-1,-1,-1,-1,0.28925163888069405,-1,-1,0.37293409631354857,-1,-1,0.4414601600847512,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,-1,0.21018892929705246,0.2104811809147068,0.08522499709276721,-1,-1,-1,-1,0.2343457656268485,-1,-1,0.08961997319303394,-1,-1,0.2034252202996366,-1
gay,-1,0.3736540957743344,0.3091022226889393,0.25138238152817727,-1,-1,-1,-1,0.3130745207430894,-1,-1,0.057750767526868696,-1,-1,0.1871069545676305,-1
ambassador,-1,0.5899670722449742,0.3514854306621762,0.36865331734374607,-1,-1,-1,-1,0.19488849511400896,-1,-1,0.49462520225403583,-1,-1,0.2444407980590202,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,-1,0.5612957965465905,0.44633544487826327,0.5693715500024725,-1,-1,-1,-1,0.20693419565647175,-1,-1,1.0,-1,-1,0.3711538801265264,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
