model,france,legalised,same-sex,marriage,in,2013,despite,opposition,from,the,catholic,church,.
france,1.0,0.001297989506576891,0.1573568580114828,0.35492728462500345,-1,0.7223633832232882,0.49840601042900423,0.44150586873338193,-1,-1,0.34410061039097484,0.3763859755867849,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,0.4301694543882326,-0.10580904774022581,-0.00886327038821233,0.19492706056026576,-1,0.38460446019789074,0.39098022831335255,0.32641231127865666,-1,-1,0.1810830082202043,0.30566264673944765,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,0.2626734647961242,0.10938982597435576,0.38578395935543686,0.48017885736686927,-1,0.333188062767102,0.2471668688903479,0.38637627235132876,-1,-1,0.29143282871632903,0.19109754040904936,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,0.09826251962467802,0.29663831056824985,0.46346976129490214,0.47277130657844135,-1,0.11908376267194398,0.08625098990925084,0.2440280179711819,-1,-1,0.00667479793457193,0.128167704863014,-1
gay,0.3729200965892985,0.3460274686242021,0.6383942321587928,0.7422565805497049,-1,0.27740288987802764,0.22155474631415373,0.4215478925736351,-1,-1,0.13207164836087026,0.22767008819247692,-1
ambassador,0.3823803007551164,0.10617213022366212,0.1527324474589402,0.21405994583877808,-1,0.2870714742127267,0.18538523654787964,0.24005059976488607,-1,-1,0.3107052261407255,0.13286358298828804,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,0.3253989915947739,0.124969724815445,0.052596007901390185,0.145874124447538,-1,0.2744302008290629,0.24605599636414732,0.3158629169552487,-1,-1,0.5276265875345385,0.37510373146123377,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
