model,observers,say,most,vatican,appointments,are,confirmed,within,six,weeks,and,that,this,long,silence,should,be,read,as,a,rejection,.
france,0.24867908301339348,-1,-1,0.3253989915947739,0.12616187059584627,-1,0.5271037381073469,0.4255333965207261,0.6317458885012952,0.4724747243709104,-1,-1,-1,0.4656671104090637,0.2262507855551381,0.4940464081136169,-1,0.2972255895864597,-1,-1,0.05291981354888409,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,0.07796465555509602,-1,-1,0.1591694016931483,0.09136726872074552,-1,0.25466027844590267,0.3511796883291167,0.42537165090899,0.36855990627710233,-1,-1,-1,0.39525265649863917,0.27719398270442985,0.3982055910810953,-1,0.3142352132202162,-1,-1,0.13638230525697004,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,0.15615735320862212,-1,-1,0.37293409631354857,0.3599873621865912,-1,0.2587863024640641,0.15699646647037369,0.21895901073896917,0.21399358064102614,-1,-1,-1,0.17870439130886906,0.3673771621465265,0.2553204926999898,-1,0.13246443944288244,-1,-1,0.37402371416076896,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,0.25755882594738444,-1,-1,0.08961997319303394,0.2343174255956093,-1,0.16963188172575894,0.16509795389870952,0.1195220908073118,0.18231144893247786,-1,-1,-1,0.16812163661851187,0.30184456280437777,0.2698432886846793,-1,0.24806399836295778,-1,-1,0.16009025319541137,-1
gay,0.37093857528818464,-1,-1,0.057750767526868696,0.2506412443662126,-1,0.2924890322852798,0.33249983386521254,0.35810349555678833,0.30495704589249084,-1,-1,-1,0.3079865394212635,0.264993537211186,0.42414241285360954,-1,0.18722969536128142,-1,-1,0.1803136447700886,-1
ambassador,0.24828183515327495,-1,-1,0.49462520225403583,0.06615795700829774,-1,0.3189375045820537,0.06040194671794252,0.13458035822536263,0.1485968336835728,-1,-1,-1,0.08494066009850432,0.0885546379038592,0.167494903021704,-1,0.12103239477049132,-1,-1,0.12391722306713748,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,0.2539543662390791,-1,-1,1.0,0.18215786537064338,-1,0.5555435235130192,0.1423143547182686,0.1630267060936551,0.18428163759033445,-1,-1,-1,0.19297457609422042,0.15723128414682952,0.2616392384352497,-1,0.23714706547613518,-1,-1,0.20589484111715384,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
