model,mr,stefanini,served,in,the,holy,see,as,a,deputy,ambassador,in,the,french,embassy,from,2001,to,2005,.
france,0.33821175759884603,-0.4758236824941724,0.36325379530859636,-1,-1,0.2990945345923297,0.5070982421964959,-1,-1,0.47085156946383855,0.3823803007551164,-1,-1,0.6722319081378285,0.3392007791188991,-1,0.5140650147529187,-1,0.6879606820100646,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,0.20758650208937834,-0.3087050710930288,0.2579047730301963,-1,-1,0.10667333635425769,0.46917566015000767,-1,-1,0.23917187268180873,0.13233131254736175,-1,-1,0.27804932090588874,0.1989645804951461,-1,0.2965079281162901,-1,0.37820961640808537,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,0.29585606731766223,-0.10223543699041415,0.32583601061917045,-1,-1,0.13443730419791788,0.15226965893313338,-1,-1,0.38112982118582583,0.316073660550902,-1,-1,0.3921609000148796,0.2896256467252205,-1,0.31971900805024456,-1,0.35125682563242133,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,0.16491629667128915,-0.12364088383834226,0.360711280431939,-1,-1,-0.11271401993592867,0.1168571069613965,-1,-1,0.13759835970117273,0.23598842258990027,-1,-1,0.21018892929705246,0.1300228891202162,-1,0.12479040960302734,-1,0.1444662935249189,-1
gay,0.18478347563494735,-0.3928243851357931,0.3460646508930443,-1,-1,0.11243517095579947,0.33055403189164756,-1,-1,0.16496865254632753,0.28478987499809105,-1,-1,0.3736540957743344,0.22197734436697658,-1,0.08388942095428575,-1,0.21491360868494913,-1
ambassador,0.18492505764943412,-0.14235927969360418,0.3147175088034244,-1,-1,0.11646089590811404,0.1838330959575709,-1,-1,0.432844265059515,1.0,-1,-1,0.5899670722449742,0.6884636844568758,-1,0.22946830120378936,-1,0.2743271192170822,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,0.2623556171036825,-0.1681616122422036,0.28809925826314553,-1,-1,0.2300778902032029,0.1890330946410903,-1,-1,0.5306219281999622,0.49462520225403583,-1,-1,0.5612957965465905,0.509768401407092,-1,0.2937452521504197,-1,0.3079230695225982,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
