model,mr,hansen,told,reuters,the,building,was,designed,with,three,cranes,on,top,two,to,suspend,platforms,and,one,for,emergencies,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,0.2969074725417389,0.3043691999543462,-1,0.48327513377211195,-1,0.41407263171729514,-1,0.2595420465057672,-1,0.37577716834542874,-0.12222468864997604,-1,0.32250793044901593,0.3852269491655542,-1,0.027287536396188083,0.32312658117790893,-1,0.37375656163893,-1,0.044057280063519055,-1
firefighters,0.11886172740959555,-0.06959805096351301,-1,0.1438373180439838,-1,0.3354474576374208,-1,0.33521885978980204,-1,0.3620555208918812,0.3265152663853079,-1,0.16181466678496204,0.38734941652944666,-1,0.0713084960591659,0.20009291604237456,-1,0.2531169190522552,-1,0.19832203776125756,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,0.12551511878710508,-0.025423772034726788,-1,0.16149560441111865,-1,0.26979016204528183,-1,0.375895960421892,-1,0.468982838320418,0.19759255021555444,-1,0.25703090194484335,0.5051909754037122,-1,0.1473644642044174,0.1591276820389299,-1,0.41626616232165436,-1,0.10579549864127846,-1
two,0.27993018024206817,0.06260820974690595,-1,0.24855246413029197,-1,0.3899752155475815,-1,0.34210151170109393,-1,0.9450032711068553,0.29399954761889824,-1,0.603625062855732,1.0,-1,0.22212882570830506,0.40408633108033043,-1,0.6391626961863863,-1,0.19440535315940055,-1
window,0.07290324340757004,-0.04053714056308744,-1,-0.029335088037804935,-1,0.3710540969394456,-1,0.24471585159129083,-1,0.2476365111043226,-0.036585160987025134,-1,0.255619417147823,0.26714409338536926,-1,0.27242119126631215,0.12701667846707065,-1,0.21412597693956648,-1,0.07632641449565514,-1
cleaners,-0.05774311705533686,-0.11583507016580663,-1,-0.17431870712213193,-1,0.26052728869501096,-1,0.19909820942797962,-1,0.1167872955058532,0.3510426484823763,-1,0.0058526140605812405,0.1697355063408924,-1,0.11880251412802167,0.20269991601628812,-1,-0.006249786984002581,-1,0.19048510340099767,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,0.2947744393690005,-0.05465251408932925,-1,0.18500831963833675,-1,0.48784360324491305,-1,0.579808365969158,-1,0.5912271116052124,0.25051157417384085,-1,0.3679026700392808,0.6131383681495657,-1,0.1724249438702513,0.25628086450525345,-1,0.5096473764861758,-1,0.22902992947945444,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,0.20626253136011719,0.06056059959346416,-1,0.05766346633377051,-1,0.6440866835543044,-1,0.25291164699980695,-1,0.3049762182491318,0.05260123771971992,-1,0.22411911273218743,0.35656202325825115,-1,0.2543483348434832,0.14830209334274336,-1,0.301632828903188,-1,-0.038001070290910155,-1
cradle,-0.25056316306730686,-0.05218609888099679,-1,-0.10124466360185735,-1,-0.010327743377368526,-1,0.054915405172195064,-1,-0.18772450911657557,0.15623808150768714,-1,-0.1102099062011781,-0.16454018807281878,-1,0.23572715666304267,0.031204591926283998,-1,-0.06892371679919207,-1,0.17100122787329597,-1
69,0.12567526574548105,0.19909026946329766,-1,0.18131403872300378,-1,0.15285825844904855,-1,0.18616291631770265,-1,0.355734369105835,-0.09201181623732535,-1,0.22745857906125655,0.3416806813493256,-1,0.008647320717055762,0.06302246135181744,-1,0.2973474424967115,-1,-0.10008600379210608,-1
storeys,-0.139088036365693,-0.18522258309066642,-1,-0.12691863049285956,-1,0.07973315247136303,-1,-0.16514957390844742,-1,0.39849013734060845,0.19221892096002602,-1,0.35765040034004314,0.2968772252560934,-1,-0.007043643713917858,0.15693789417650594,-1,0.011340962647632735,-1,0.021868796348637032,-1
above,0.16864704370885886,-0.15260269274222993,-1,0.05735181712838866,-1,0.37262687493143276,-1,0.29066798292546014,-1,0.5616366795148848,0.09591988180041666,-1,0.6210919750937002,0.5180743389187936,-1,0.14187377843841198,0.22338773566249237,-1,0.5530754083341138,-1,0.010194496728309521,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,0.22569582976645608,-0.1396126946877485,-1,0.17721734419348922,-1,0.5409174020684936,-1,0.4917920987830846,-1,0.5403798368945024,0.12241369107552968,-1,0.4692476610004668,0.5483943170997345,-1,0.26057438364744845,0.3369907261571413,-1,0.5280616983503885,-1,0.14855083661373114,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,0.16773470572922966,0.054433102843018055,-1,0.2096794950398384,-1,0.25335206436600666,-1,0.30976587773379827,-1,0.44890133270313304,0.05764118320001521,-1,0.456713030972834,0.4605427247282454,-1,0.06941103417768035,0.27656094103366513,-1,0.5233370852855473,-1,0.1303801708501121,-1
trade,0.18075013085378322,0.03709419232353417,-1,0.17892834854823514,-1,0.30338560866421704,-1,0.3843860726281725,-1,0.23309991781998796,0.07374567118608921,-1,0.2917321202591441,0.31892727412162203,-1,0.32449755110861467,0.2854206276802409,-1,0.2674154291741121,-1,0.19675520352356213,-1
center,0.12892908831136085,0.1635175514644036,-1,0.30872314484375396,-1,0.2645004157945021,-1,0.30194493347598383,-1,0.1404620304704719,-0.08196317526493391,-1,0.17004243164290078,0.1712610861808419,-1,0.07767395050816628,0.26682634087563617,-1,0.18946266019883473,-1,0.2932714624371662,-1
site,0.2803934637793275,-0.039929902648474735,-1,0.3865979000215558,-1,0.7497151625098477,-1,0.5840979951135413,-1,0.4267069376489432,0.09315915407624487,-1,0.36901893379255246,0.4423987774770207,-1,0.28359432106505533,0.5433613077390911,-1,0.5168600200996689,-1,0.13349091272840363,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
