model,people,on,the,ground,were,moved,back,in,case,glass,fell,from,one,world,trade,center,the,country,'s,tallest,skyscraper,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,0.3126193717389527,-1,-1,0.44965470233503324,-1,0.4299226568552461,-1,-1,0.3317047112704997,0.18006868043219182,0.2750953312296571,-1,0.37375656163893,0.24185293809760722,0.20510458404451426,0.4084983883600555,-1,0.37242479316213983,-1,0.10266339455186468,0.31180932246818494,-1
firefighters,0.43282829524643684,-1,-1,0.3365059314339859,-1,0.2529654040414939,-1,-1,0.13143999227843883,0.1695362621794747,0.24091646806828781,-1,0.2531169190522552,0.1017097106212208,0.08778301530723764,0.020025441801678756,-1,0.11831257148239227,-1,-0.06247227869188077,-0.21322630120723973,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,0.5194200497565947,-1,-1,0.41476819878415927,-1,0.45252900263409734,-1,-1,0.1433157623990211,0.275842557891085,0.23830453472074797,-1,0.41626616232165436,0.19804683758303288,0.05795090412792514,0.015036170798306214,-1,0.2683017329586226,-1,0.02738746429393879,-0.08393117427270469,-1
two,0.4562258196190211,-1,-1,0.5483943170997345,-1,0.5421796634318209,-1,-1,0.42884202787237835,0.27176643332637784,0.3386016200131762,-1,0.6391626961863863,0.4605427247282454,0.31892727412162203,0.1712610861808419,-1,0.4327670100671519,-1,0.061804449699053965,-0.11183816262968227,-1
window,0.18921591705248797,-1,-1,0.4393589783632712,-1,0.3527482421139647,-1,-1,0.2601077972150134,0.4108880229975047,0.33717808866726284,-1,0.21412597693956648,0.2052306863583332,0.2635318225763724,0.15218640849104947,-1,0.2707676199473896,-1,0.05650363162520622,0.1487825605950983,-1
cleaners,0.016009590334000956,-1,-1,0.2649655241565374,-1,0.16313799984645128,-1,-1,-0.139555323762111,0.25476990291437085,0.07053884260251198,-1,-0.006249786984002581,-0.0870664985650147,0.03819527105659459,0.04805530384881085,-1,-0.009294282014248978,-1,0.1889600871088516,0.19405638266507064,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
