model,the,call,came,in,at,12:42,est,-lrb-,17:42,gmt,-rrb-,and,firefighters,were,on,the,scene,in,less,than,four,minutes,it,said,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,-1,0.28653522530878794,0.38760954053122376,-1,-1,-1,-0.07627708609098449,-1,-1,0.3581412252121958,-1,-1,0.07747539144544824,-1,-1,-1,0.39931133104933925,-1,0.2704975253290036,-1,0.3555518467980724,0.29205941735512053,-1,-1,-1
firefighters,-1,0.2612517207042654,0.18019836757337016,-1,-1,-1,-0.008625387726485911,-1,-1,0.3302537246872188,-1,-1,1.0,-1,-1,-1,0.49835852504308953,-1,0.24038835111706336,-1,0.3802084505840757,0.4102713772653467,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.27813908960800116,0.3312309880044948,-1,-1,-1,-0.11234866328077264,-1,-1,0.20403811906042113,-1,-1,0.616910473280674,-1,-1,-1,0.471156222068434,-1,0.2941111493300612,-1,0.47975773816368483,0.4233316433765866,-1,-1,-1
two,-1,0.40862836922696655,0.5111525841442361,-1,-1,-1,-0.12376668402863866,-1,-1,0.3717489760309445,-1,-1,0.38734941652944666,-1,-1,-1,0.4394358054359673,-1,0.43449087200736825,-1,0.9214549749145493,0.6619497648475676,-1,-1,-1
window,-1,0.3777340364728339,0.3375787910210566,-1,-1,-1,-0.047323823352158234,-1,-1,0.25776515095662167,-1,-1,0.09151808970497932,-1,-1,-1,0.30914748579674334,-1,0.14370390537257516,-1,0.24103174002216277,0.34060874872016156,-1,-1,-1
cleaners,-1,-0.0900388064168407,-0.007354317106291752,-1,-1,-1,0.019480995752753305,-1,-1,-0.057141844388762575,-1,-1,0.30953278390059924,-1,-1,-1,0.19922575922416974,-1,0.028114821719755656,-1,0.11849132236039328,0.08785846383192131,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,0.4710703712505362,0.47426510520099074,-1,-1,-1,-0.28089982614304754,-1,-1,0.27481328797947135,-1,-1,0.5252187142094841,-1,-1,-1,0.559879940776909,-1,0.549150155527823,-1,0.5859571754434411,0.5251738507788659,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
