model,gary,hansen,an,architect,who,worked,on,the,building,happened,to,be,across,the,street,during,the,incident,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,0.4159381740321957,0.3043691999543462,-1,0.09562120092293735,-1,0.3410105731216262,-1,-1,0.41407263171729514,0.3620481071387299,-1,-1,0.30280020078406,-1,0.49857801140200664,-1,-1,0.3596473081313225,-1
firefighters,0.04495360810556248,-0.06959805096351301,-1,0.08363209182322828,-1,0.41244967621949313,-1,-1,0.3354474576374208,0.3129918583196427,-1,-1,0.30527156821411205,-1,0.19840652853551233,-1,-1,0.2985042246306755,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,0.13142728118030333,-0.025423772034726788,-1,0.21213851947137718,-1,0.2465896879852264,-1,-1,0.26979016204528183,0.28186778008683033,-1,-1,0.34491076651258923,-1,0.24956630065780405,-1,-1,0.31965740513325713,-1
two,0.24242823857772855,0.06260820974690595,-1,0.07070343784784994,-1,0.4315623656861123,-1,-1,0.3899752155475815,0.4310570546405652,-1,-1,0.4434091060453135,-1,0.3361534008583189,-1,-1,0.49036391328125006,-1
window,0.05321562362103527,-0.04053714056308744,-1,0.006939490146613325,-1,0.17697144105298235,-1,-1,0.3710540969394456,0.3631596278369975,-1,-1,0.17916805175212036,-1,0.2620236778154339,-1,-1,0.29362700232385097,-1
cleaners,-0.138729440844632,-0.11583507016580663,-1,0.10501297868777915,-1,0.18215032126017028,-1,-1,0.26052728869501096,0.07575625330121305,-1,-1,0.1413147204152292,-1,0.2110362022629496,-1,-1,0.010809093763496258,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,0.17863386810434534,-0.05465251408932925,-1,0.2392042881439277,-1,0.43027552623856513,-1,-1,0.48784360324491305,0.49542217290627577,-1,-1,0.46665951383021465,-1,0.3570563430397229,-1,-1,0.5376610840337789,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,0.14584773555995967,0.06056059959346416,-1,0.11413972848677978,-1,0.35292079773640306,-1,-1,0.6440866835543044,0.4448659901092906,-1,-1,0.22939305286090272,-1,0.45261631527864465,-1,-1,0.3517838622965752,-1
cradle,-0.16160337012111947,-0.05218609888099679,-1,0.1273507508710714,-1,-0.2671297299818749,-1,-1,-0.010327743377368526,-0.12937966529149492,-1,-1,0.018285341462713545,-1,-0.039554788314813516,-1,-1,-0.08915963671699667,-1
69,0.48109735239910323,0.19909026946329766,-1,0.009709641955642612,-1,0.16220352552955952,-1,-1,0.15285825844904855,0.19324527453828755,-1,-1,0.19924673141752403,-1,0.28894180096370214,-1,-1,0.13542170146188548,-1
storeys,-0.26518999249096775,-0.18522258309066642,-1,-0.30104705260150477,-1,-0.035843399892329986,-1,-1,0.07973315247136303,-0.029180184490036343,-1,-1,0.12709382973673078,-1,0.09798524676102671,-1,-1,0.018890366556855054,-1
above,0.09205062983471857,-0.15260269274222993,-1,-0.0698788585522161,-1,0.26872088054954324,-1,-1,0.37262687493143276,0.38209131509417826,-1,-1,0.47085424093682704,-1,0.30572001956372385,-1,-1,0.3205821863343804,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,0.11308044056477318,-0.1396126946877485,-1,0.04562271514651928,-1,0.46289240715669533,-1,-1,0.5409174020684936,0.5000316020065521,-1,-1,0.5330295048764402,-1,0.464946419715039,-1,-1,0.4478935023369013,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,0.24109237319932708,0.054433102843018055,-1,0.12299791556430595,-1,0.2603483752596527,-1,-1,0.25335206436600666,0.2677049974058978,-1,-1,0.4167699598813571,-1,0.2334049184506901,-1,-1,0.28330116093873026,-1
trade,0.1421080967428595,0.03709419232353417,-1,0.05658982437569615,-1,0.21276178226895892,-1,-1,0.30338560866421704,0.15140090107298376,-1,-1,0.30905987475994645,-1,0.11282846634116583,-1,-1,0.18192613408871927,-1
center,0.3570782852088421,0.1635175514644036,-1,0.26305018213171394,-1,0.19028853501071386,-1,-1,0.2645004157945021,0.028455856814919245,-1,-1,0.18757952209002737,-1,0.21053964173783035,-1,-1,0.15736771215255552,-1
site,0.17234405297909228,-0.039929902648474735,-1,0.1425428475911683,-1,0.4142058726377438,-1,-1,0.7497151625098477,0.5074773843226154,-1,-1,0.46710589322397333,-1,0.4420945755450205,-1,-1,0.5431433514382393,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
