model,the,fire,department,of,new,york,earlier,told,the,bbc,the,two,people,were,uninjured,and,tethered,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,-1,0.2730730304455473,0.4342080201904778,-1,-1,1.0,0.5683646548537661,-1,-1,0.3749257791514884,-1,0.3852269491655542,0.3126193717389527,-1,-0.06452240744664639,-1,-0.11699617246895189,-1
firefighters,-1,0.5968856357130463,0.2189237602221239,-1,-1,0.07747539144544824,0.225320941930244,-1,-1,0.12719887535947905,-1,0.38734941652944666,0.43282829524643684,-1,0.16793242250312046,-1,0.24241790900743687,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.45987205178159574,0.15896278645292639,-1,-1,0.12999085048816217,0.339267395053489,-1,-1,0.1914735486524879,-1,0.5051909754037122,0.5194200497565947,-1,0.36974945204848486,-1,0.26903953649310997,-1
two,-1,0.43967952690853096,0.3023793038475373,-1,-1,0.3852269491655542,0.564297937417468,-1,-1,0.3923773525772336,-1,1.0,0.4562258196190211,-1,0.11705242470152621,-1,0.005704732738113227,-1
window,-1,0.3229020766369227,0.12226055969171346,-1,-1,0.3520452047127217,0.27548150484871536,-1,-1,0.08371922645073993,-1,0.26714409338536926,0.18921591705248797,-1,0.15568193319995072,-1,0.028956853593545717,-1
cleaners,-1,0.22272373430429515,-0.057458223927585594,-1,-1,0.002692726090400277,-0.09539464463201464,-1,-1,-0.14714968277682994,-1,0.1697355063408924,0.016009590334000956,-1,0.31015299762623294,-1,0.3386009567877699,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,0.5090899526999889,0.28042130299193524,-1,-1,0.2745202424136699,0.42216575538785195,-1,-1,0.2397909301134784,-1,0.6131383681495657,0.687598662700079,-1,0.3891648478801706,-1,0.2183966632636234,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,-1,0.4147557544966547,0.2292893494363618,-1,-1,0.3439062186770011,0.4419347031987457,-1,-1,0.058017913773191654,-1,0.35656202325825115,0.23354970274781528,-1,0.27705714536043247,-1,0.10576098887148677,-1
cradle,-1,-0.0031502936775167356,-0.11587933802275385,-1,-1,-0.21781224706717994,-0.24812036513959024,-1,-1,-0.17003621336061325,-1,-0.16454018807281878,-0.05831420748121041,-1,0.14861686150419806,-1,0.21008380190629905,-1
69,-1,0.12339496942431183,0.1483470117365997,-1,-1,0.2797569422298385,0.24211429745421997,-1,-1,0.15618882320975858,-1,0.3416806813493256,0.310454280042582,-1,0.13505231043349197,-1,-0.07110962958190203,-1
storeys,-1,0.017593982691366916,-0.15023190565190503,-1,-1,-0.00582536693989244,0.06949348419668089,-1,-1,-0.1252736258857743,-1,0.2968772252560934,0.03815726925672236,-1,-0.006306070683897325,-1,0.24865093036649943,-1
above,-1,0.253229120020958,0.11818509199614102,-1,-1,0.22618771193034015,0.3364873552355493,-1,-1,0.19309756399709266,-1,0.5180743389187936,0.41208784852405467,-1,0.055249472810507405,-1,0.04755563117777639,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,-1,0.517434425631827,0.3675534578510852,-1,-1,0.44965470233503324,0.47219362709317536,-1,-1,0.25705144533179036,-1,0.5483943170997345,0.5200397747398952,-1,0.11775189725732094,-1,0.03243287979662257,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.22774531129594422,0.2880473019621257,-1,-1,0.24185293809760722,0.3377565818075723,-1,-1,0.4111099855892548,-1,0.4605427247282454,0.36496800442501287,-1,-0.04433859417778363,-1,-0.14444193069652855,-1
trade,-1,0.14922210882238585,0.39019508825550153,-1,-1,0.20510458404451426,0.2419055645982171,-1,-1,0.16556727872301347,-1,0.31892727412162203,0.24857739165460624,-1,-0.08861621924848784,-1,-0.1986886462711488,-1
center,-1,0.21119131846383654,0.6358886790328422,-1,-1,0.4084983883600555,0.23118596623776877,-1,-1,0.22194187959617517,-1,0.1712610861808419,0.10771404744525714,-1,-0.058486889883644366,-1,-0.31459756418872686,-1
site,-1,0.5333324879320802,0.5480240399039552,-1,-1,0.5318759691692753,0.4843509043276031,-1,-1,0.3934815573010422,-1,0.4423987774770207,0.40786793735491833,-1,0.005854699302114574,-1,0.06706636001823285,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
