model,a,police,official,said,the,partially,collapsed,cradle,was,hanging,at,``,a,75-degree,angle,'',.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,-1,0.3617278402576297,0.4741606578658517,-1,-1,0.11975667616553098,0.3439062186770011,-0.21781224706717994,-1,0.01911102560312883,-1,-1,-1,-0.48155895511475055,0.16430532971875222,-1,-1
firefighters,-1,0.40155577271709153,0.08563299517222767,-1,-1,0.34851494049088405,0.2880696803844425,0.0128773579918805,-1,0.2716131491205376,-1,-1,-1,-0.36110910404330343,0.03585546811159013,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.395867184107342,0.19247778535707127,-1,-1,0.45995226274469014,0.28553280622075494,0.10380675707559217,-1,0.308143563266272,-1,-1,-1,-0.4547283536625619,0.1140438637716863,-1,-1
two,-1,0.46593955536109943,0.43036765442151137,-1,-1,0.21142121157107174,0.35656202325825115,-0.16454018807281878,-1,0.2862267639612488,-1,-1,-1,-0.5579030696193732,0.1531152194779759,-1,-1
window,-1,0.13625168051070535,0.16752406573883383,-1,-1,0.40506601701131084,0.40895884628891066,0.12614215319364974,-1,0.26768654678918835,-1,-1,-1,-0.4319544296721638,0.006744420357011838,-1,-1
cleaners,-1,-0.062200068466046865,-0.2333667995779971,-1,-1,0.39673744326443794,0.3422852269147063,0.2425842470603493,-1,0.19600587814983528,-1,-1,-1,-0.22521345767592593,0.02485209313071224,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,0.4977640935044856,0.27821111322693937,-1,-1,0.5529471306642978,0.4260508734849573,-0.0009613552920146873,-1,0.49341132726694625,-1,-1,-1,-0.6326170184905311,0.31917493886859716,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,-1,0.22654911435166725,0.11124372131758309,-1,-1,0.5751936209208827,1.0,0.054619950207627666,-1,0.3551515696721659,-1,-1,-1,-0.4558440573772198,0.13376469619126596,-1,-1
cradle,-1,-0.1784400382945477,-0.0964678923126785,-1,-1,0.12790374885333533,0.054619950207627666,1.0,-1,0.20837067630175676,-1,-1,-1,-0.10299136906855821,0.12003541579886567,-1,-1
69,-1,0.13866327081224328,0.08657639684703988,-1,-1,0.16513267067923632,0.18755734372969368,0.03248782788799576,-1,0.26194296098261804,-1,-1,-1,-0.28513111400301927,0.8092248684830278,-1,-1
storeys,-1,-0.040534776238200454,-0.02206899399855833,-1,-1,0.08511115789861923,0.11038758658435044,0.02466667447761539,-1,0.08003556442888127,-1,-1,-1,0.029894367080741113,0.02967634149021925,-1,-1
above,-1,0.22275920830046614,0.24316046868160424,-1,-1,0.2804946471168186,0.23250979584408205,-0.03306233567083727,-1,0.42588060328854116,-1,-1,-1,-0.4760463839200235,0.20455053429279935,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,-1,0.4026021638661186,0.3954526024011644,-1,-1,0.3335991668152076,0.43952484416878046,2.0513881101136278e-05,-1,0.37661938690470975,-1,-1,-1,-0.650940661025166,0.1486687726153204,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.16692803998535377,0.367083368985737,-1,-1,0.0681501816139296,0.21067585065077776,-0.08099609199835234,-1,0.22741718866571625,-1,-1,-1,-0.42538774117414513,0.19074079072535166,-1,-1
trade,-1,0.16593217798191395,0.31553521384931704,-1,-1,0.07964257361606908,0.2562929945542074,-0.046398202988852555,-1,0.09446726037500042,-1,-1,-1,-0.3655653051554275,0.1447997368380548,-1,-1
center,-1,0.24112219372416,0.41908295168331433,-1,-1,-0.05444903335335782,0.14591080318323968,0.07649432938115053,-1,-0.03972954452430044,-1,-1,-1,-0.45221812386947424,0.1864542589099789,-1,-1
site,-1,0.4154268632994459,0.4355675679767077,-1,-1,0.347113739924518,0.48455829241067283,-0.03564904145397452,-1,0.18425943255991495,-1,-1,-1,-0.5731676788363125,0.26316455340099565,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
