model,if,you,want,to,listen,to,the,radio,or,have,a,chat,with,a,friend,your,ear,has,to,convert,sound,waves,in,the,air,into,electrical,signals,which,the,brain,will,understand,.
uk,-1,-1,0.4966881303926356,-1,0.2583577976966196,-1,-1,0.28011116052485563,-1,-1,-1,0.30603764733268735,-1,-1,0.27705205028916047,0.2926587691249969,0.05014586125302878,-1,-1,0.2405081950823733,0.1857574675128677,0.1269040248300175,-1,-1,0.4589558169232817,-1,0.09769418766622151,0.1565632682848901,-1,-1,0.23920649558690132,-1,0.37664195174226633,-1
researchers,-1,-1,0.4325831017661741,-1,0.2253848216452945,-1,-1,0.18760899634001893,-1,-1,-1,0.28430494569866793,-1,-1,0.19995774663874233,0.16852410102749227,-0.033790332858011585,-1,-1,0.22216843668335218,0.23961273656736992,0.20056897309599742,-1,-1,0.2717584828236448,-1,0.16492702278519644,0.29290415835232964,-1,-1,0.3152699154306646,-1,0.513037007281848,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,-1,0.4465649339223676,-1,0.23530570514256888,-1,-1,0.2795790355318557,-1,-1,-1,0.31829068072115174,-1,-1,0.42074930635602814,0.40347122140034997,0.26006420738813185,-1,-1,0.2996536573347238,0.24020609377923607,0.2121886634076472,-1,-1,0.4804770817197229,-1,0.20041037069594236,0.3333582511317823,-1,-1,0.31671092271570245,-1,0.39007933883722157,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,-1,0.4184737138967296,-1,0.1569691272685486,-1,-1,0.170868133991105,-1,-1,-1,0.365771788682674,-1,-1,0.21957305426045337,0.32372796288057426,0.23168817229925875,-1,-1,0.133122853723449,0.3152026370202239,0.5681228530876281,-1,-1,0.3526054916287158,-1,0.2899977177632078,0.2921745718624724,-1,-1,0.18888152252956958,-1,0.36120221702817956,-1
step,-1,-1,0.4717627097276249,-1,0.1921404334553084,-1,-1,0.16934337493425256,-1,-1,-1,0.2790870549892457,-1,-1,0.27172761886927965,0.3243509636349775,0.23785617376401813,-1,-1,0.18383347587772347,0.18537722013977154,0.30858252123651686,-1,-1,0.25647774941363044,-1,0.04688902521535632,0.22095230126357346,-1,-1,0.06948046127986796,-1,0.29752981238415444,-1
forward,-1,-1,0.6062334388520862,-1,0.2987707730083753,-1,-1,0.3049551787968363,-1,-1,-1,0.38711966187869595,-1,-1,0.3611296558660759,0.3616495910751014,0.18676708395960462,-1,-1,0.2406938224810472,0.2762950317687125,0.2538092539930512,-1,-1,0.30914215197730566,-1,-0.036696706683984726,0.21599630517481927,-1,-1,0.1818734908788977,-1,0.4761745143384388,-1
