model,while,there,is,excitement,at,the,prospect,of,using,stem,cells,to,restore,nerves,in,the,ear,this,exact,technique,will,not,help,the,vast,vast,majority,of,people,with,hearing,loss,.
uk,0.5759395135799461,-1,-1,0.14268141679442103,-1,-1,0.30299548373856666,-1,0.4430627546485516,0.19047869836631226,0.21435682246373267,-1,0.2620461444640503,0.11811957397757233,-1,-1,0.05014586125302878,-1,0.2981845420753151,0.19662828786248165,-1,-1,-1,-1,0.3395347796659426,0.3395347796659426,0.46704946710738293,-1,0.49193770194947195,-1,0.22369542179099466,0.29089699845698824,-1
researchers,0.32935319950582387,-1,-1,0.1458728934012934,-1,-1,0.18392599524491826,-1,0.41933099245320093,0.3168896676262706,0.38526809747670665,-1,0.16475352546748034,0.15208739922113856,-1,-1,-0.033790332858011585,-1,0.23825382924330318,0.43846642025626326,-1,-1,-1,-1,0.27219619996936983,0.27219619996936983,0.3015042488448798,-1,0.3569333962453183,-1,0.32205576453174334,0.15076055540057232,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,0.5956623231912338,-1,-1,0.14202784221690523,-1,-1,0.2690605947125668,-1,0.5004558078604718,0.24982896290711654,0.3230434052981266,-1,0.27581304374228244,0.3140842125557375,-1,-1,0.26006420738813185,-1,0.3303661569211136,0.21485364983266386,-1,-1,-1,-1,0.24361251433703868,0.24361251433703868,0.3434426000870917,-1,0.5069787192346946,-1,0.4434621850591448,0.3537817895512896,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,0.38553676858385166,-1,-1,0.5980390112081705,-1,-1,0.49783098734539477,-1,0.343902220735562,0.14284162574351678,0.10448556267343645,-1,0.3776759174959876,0.3192435774836557,-1,-1,0.23168817229925875,-1,0.3854015561135342,0.19820348685415667,-1,-1,-1,-1,0.638536974290779,0.638536974290779,0.41396669651615126,-1,0.389649469802846,-1,0.25253362447436023,0.5061691641065108,-1
step,0.39361631050204093,-1,-1,0.3364041722677966,-1,-1,0.44996844991681506,-1,0.26694390971206383,0.08092899333468084,0.05273956056190954,-1,0.30122771003449444,0.28212988431663977,-1,-1,0.23785617376401813,-1,0.32174644554764154,0.23447108497303326,-1,-1,-1,-1,0.20121742617623428,0.20121742617623428,0.2299071861599027,-1,0.2737867845950466,-1,0.3020380071556725,0.29161011997358055,-1
forward,0.587269969702931,-1,-1,0.3252829170381657,-1,-1,0.38171371293616074,-1,0.3802318325409837,0.09826312044769969,0.1311966202689413,-1,0.3352373507893335,0.2628370377002479,-1,-1,0.18676708395960462,-1,0.20722908654772154,0.2800124020177758,-1,-1,-1,-1,0.19279234633894127,0.19279234633894127,0.21814258094791628,-1,0.41622285168607887,-1,0.3156083975401278,0.22818360271647664,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,0.47371505323041685,-1,-1,0.2286378889685894,-1,-1,0.27740630843133895,-1,0.42164559051454087,0.2843902573334465,0.4013361891579347,-1,0.16793405470366485,0.24590997539602577,-1,-1,0.12648403458475244,-1,0.3523933642865509,0.29756109498332717,-1,-1,-1,-1,0.11865604467712221,0.11865604467712221,0.1920519425077719,-1,0.4398105662714408,-1,0.25428685098626747,0.2962435251955253,-1
deafness,-0.14052003458858753,-1,-1,0.22350277855730094,-1,-1,0.13195035830345336,-1,0.060522279617006625,0.16176356566192984,0.13685190704394756,-1,0.08395042248783047,0.3324413239178369,-1,-1,0.14487340112710234,-1,0.19526785039803474,0.06702491024835289,-1,-1,-1,-1,0.0673007885301874,0.0673007885301874,-0.0004764844862565898,-1,-0.027393265943508327,-1,0.08993395119690373,0.11622640493686398,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,0.17368545874162034,-1,-1,0.15360815368946112,-1,-1,0.044135005750184475,-1,0.4525582392505054,1.0,0.7770479699585419,-1,0.3028181453763784,0.22118059350640162,-1,-1,0.3075207587774351,-1,0.5811535211818927,0.3988017468361136,-1,-1,-1,-1,0.21595967397728189,0.21595967397728189,0.05951101456018959,-1,0.20555205094393159,-1,0.10803873892547877,0.16804666963212223,-1
cells,0.2581136170156907,-1,-1,0.13159250022645308,-1,-1,0.014752654852202784,-1,0.5475043432861797,0.7770479699585419,1.0,-1,0.31611344945718045,0.28851868246846135,-1,-1,0.30660525809030115,-1,0.4439586696639626,0.44344826986881003,-1,-1,-1,-1,0.2521732457710353,0.2521732457710353,0.17802733278908123,-1,0.29822110603201757,-1,0.09045052697490752,0.1904036478396438,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
