model,this,happens,deep,inside,the,inner,ear,where,vibrations,move,tiny,hairs,and,this,movement,creates,an,electrical,signal,.
uk,-1,0.27922791549984416,0.3068849441089643,0.43281033466561636,-1,0.02197720618623389,0.05014586125302878,-1,0.024103039202876708,0.553059630400756,0.15499605763340107,-0.06466342497122901,-1,-1,0.4880992410514732,0.22870096822281294,-1,0.09769418766622151,0.23486855499382608,-1
researchers,-1,0.3252463667462995,0.22805704391946657,0.3123321833465147,-1,0.11978013429220913,-0.033790332858011585,-1,0.0614232103453789,0.35616420343277033,0.2910389644546578,0.005198090103170516,-1,-1,0.2248052534395536,0.12009962396498852,-1,0.16492702278519644,0.16208568685883495,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,0.30000546995453137,0.4642539782108249,0.5853439522809165,-1,0.08898124968851817,0.26006420738813185,-1,0.03982918550010017,0.5724830879499623,0.2461410517684206,-0.056692997736825124,-1,-1,0.32165351388797836,0.10298708923884325,-1,0.20041037069594236,0.28614476862149973,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,0.27881128104480946,0.5598974184121736,0.338317626919179,-1,0.2164649809719963,0.23168817229925875,-1,0.2985153090499466,0.4929343867930007,0.4153133848297639,0.054550615441081085,-1,-1,0.3878460426301432,0.49606133473766423,-1,0.2899977177632078,0.3392305260508499,-1
step,-1,0.37193789467716565,0.44492135655898535,0.3113418760123292,-1,0.045480798818202994,0.23785617376401813,-1,0.190415360028114,0.6747162965016255,0.21822611429772665,0.1103143927853858,-1,-1,0.3164264651197072,0.26958215465828006,-1,0.04688902521535632,0.3028123082354527,-1
forward,-1,0.33083318035860665,0.4245126290082458,0.39556598977962876,-1,0.03408369325708949,0.18676708395960462,-1,0.08874658085950005,0.7827416060171005,0.20429822789045693,0.060612057911342165,-1,-1,0.32352511620314406,0.11478849581159145,-1,-0.036696706683984726,0.21539781255501533,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,0.27226225809669335,0.19308745498241509,0.23150571047099744,-1,0.0835920527098204,0.12648403458475244,-1,-0.031231021551366922,0.26071228051697615,0.1768167642980234,-0.004543200693427618,-1,-1,0.195848957856401,0.22373398892425078,-1,0.289311554068894,0.12936829593992383,-1
deafness,-1,0.09641219465237372,0.17472214393400787,-0.15922834380650275,-1,-0.06491231901122685,0.14487340112710234,-1,0.3199211718878965,-0.11842677210836583,-0.008687936933494456,0.1522493163618739,-1,-1,-0.0602731796427185,0.19996699683490693,-1,0.31023157982445215,0.1407955510379233,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,0.10745067483601345,0.4905882870103395,0.30401935673246183,-1,0.28178623945188663,0.3075207587774351,-1,0.29063380769363056,0.15472563171816223,0.35642582008813983,0.26042324649737414,-1,-1,0.07174201470221442,0.2042212258181435,-1,0.4971133538155772,0.28659089258774817,-1
cells,-1,0.1885066565949337,0.4001377165653316,0.42625122212220123,-1,0.23566921030255183,0.30660525809030115,-1,0.28655339829644544,0.18225252041420492,0.4806472210962971,0.3478005942134921,-1,-1,0.17808667449429127,0.15084034958143078,-1,0.44351412719747096,0.24355071600631606,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,0.32593878592532977,0.32562309420580526,0.4565885885529811,-1,0.08012691876505862,0.17185194009375937,-1,0.027801067635206178,0.41361688139820774,0.41397385127715813,0.08271777133768976,-1,-1,0.38842650638796794,0.1599861263173803,-1,0.3353521271754838,0.29694830926617544,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,0.18116750908525425,0.3505309677975007,0.26442631588285104,-1,0.16496301877807928,0.21201907348682703,-1,0.16325119515867592,0.4291386711436709,0.10523540653670638,0.12165755249321453,-1,-1,0.3320138894621134,0.30178105067055094,-1,0.31441505154264493,0.16639742233001287,-1
hearing,-1,0.2658833071420358,0.24144816484351428,0.2514497322299032,-1,0.13616939356588387,0.0655917110978308,-1,-0.03327699550955976,0.3724016638170189,0.03653303913305572,-0.03921281821092948,-1,-1,0.18191045570045283,0.10190190753414652,-1,0.09420901535389692,0.1802075526082284,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,0.3709159744754462,0.4308090504731963,0.5286092245433698,-1,0.21303737275554102,0.243161425773727,-1,0.21600862729656523,0.4476993398620912,0.5084435480799052,0.16948080315532765,-1,-1,0.4746140169307066,0.3112129037118704,-1,0.3556411169010799,0.24179429547327713,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
