model,prof,dave,moore,said,using,stem,cells,to,repair,the,hairs,was,``,almost,an,impossible,task,'',and,that,the,far-fetched,concept,of,growing,and,transplanting,a,replacement,ear,seemed,more,likely,.
uk,0.21446021466971055,0.18642667636569077,0.21704526283583703,-1,0.4430627546485516,0.19047869836631226,0.21435682246373267,-1,0.28204897979645027,-1,-0.06466342497122901,-1,-1,0.44459482338456513,-1,0.291692539767773,0.19858996733265188,-1,-1,-1,-1,-0.16149597683053618,0.3427722495169985,-1,0.3934256300860357,-1,-0.2650175206810699,-1,0.2274697027482987,0.05014586125302878,0.2006707144805122,-1,0.5940675689656932,-1
researchers,0.5673679734425445,0.21069562471377812,0.23958645229789854,-1,0.41933099245320093,0.3168896676262706,0.38526809747670665,-1,0.15810351112014476,-1,0.005198090103170516,-1,-1,0.29161587504401565,-1,0.2207426579592232,0.18611429287830883,-1,-1,-1,-1,-0.12118056538457389,0.3712378870317641,-1,0.23812640331113488,-1,0.06113291838674351,-1,0.050826817999671925,-0.033790332858011585,0.26743074671797473,-1,0.434456183109037,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,0.23718690256043884,0.12537043042335017,0.2621635380441978,-1,0.5004558078604718,0.24982896290711654,0.3230434052981266,-1,0.32013015469128325,-1,-0.056692997736825124,-1,-1,0.5028224396235295,-1,0.351058188205148,0.39368530710356,-1,-1,-1,-1,-0.15098215905471957,0.24919055506845866,-1,0.25577512975119165,-1,-0.2215340750728405,-1,0.3124617931919893,0.26006420738813185,0.42236420383333884,-1,0.5613865971161123,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,0.10829183110744267,0.0010877915257178072,0.16355557621241334,-1,0.343902220735562,0.14284162574351678,0.10448556267343645,-1,0.2631766169963239,-1,0.054550615441081085,-1,-1,0.375631731371342,-1,0.2756369704003441,0.5424515008679864,-1,-1,-1,-1,-0.05005019969672575,0.3486189478161982,-1,0.560449954858337,-1,-0.1260362228146985,-1,0.19090478337478733,0.23168817229925875,0.3537287200813908,-1,0.45770705115649724,-1
step,0.16976825594581646,0.07473188101819817,0.19102556485481292,-1,0.26694390971206383,0.08092899333468084,0.05273956056190954,-1,0.21998621733084023,-1,0.1103143927853858,-1,-1,0.33527607991967767,-1,0.29959737454218316,0.5097419470355119,-1,-1,-1,-1,0.04292176695796379,0.37316134692509295,-1,0.34052627953524384,-1,-0.19555835829786572,-1,0.20328851964834072,0.23785617376401813,0.44329573584885007,-1,0.5329723805055652,-1
forward,0.3337547109652964,0.28857371831889367,0.3949723600241253,-1,0.3802318325409837,0.09826312044769969,0.1311966202689413,-1,0.26663462980523955,-1,0.060612057911342165,-1,-1,0.39688275180053423,-1,0.31780856794671675,0.4762478729128363,-1,-1,-1,-1,-0.021347886119404524,0.28777901017755303,-1,0.3264979915659063,-1,-0.1653042109958729,-1,0.305368039116493,0.18676708395960462,0.4273421893510816,-1,0.5349563361506178,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,0.1726925097154446,0.1158459972480812,0.1482855190478105,-1,0.42164559051454087,0.2843902573334465,0.4013361891579347,-1,0.2923914116400155,-1,-0.004543200693427618,-1,-1,0.3591711954780823,-1,0.3732104317787298,0.18264205241808107,-1,-1,-1,-1,0.09111094481795246,0.32477644189508237,-1,0.19314207470786515,-1,-0.0846563638243325,-1,0.3439414321890377,0.12648403458475244,0.3234275493379667,-1,0.43513794765094316,-1
deafness,-0.19667484681353464,-0.19071733630652865,-0.23277941124799972,-1,0.060522279617006625,0.16176356566192984,0.13685190704394756,-1,0.18136722167674857,-1,0.1522493163618739,-1,-1,-0.21762693379813203,-1,-0.004500203844401751,0.22372214293016368,-1,-1,-1,-1,0.2140966407813062,0.0779342764175478,-1,0.09335662927456378,-1,0.16801802692100754,-1,0.026685762343121144,0.14487340112710234,-0.08113847983124312,-1,0.04611706632317192,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,0.09968164928103806,0.24565746020553103,-0.12922671747936199,-1,0.4525582392505054,1.0,0.7770479699585419,-1,0.36219370032583564,-1,0.26042324649737414,-1,-1,0.04989909253488001,-1,0.12190998374928597,0.17453223034651588,-1,-1,-1,-1,-0.022632779992540986,0.39925196675884855,-1,0.2216074835632309,-1,0.4057494174738847,-1,0.28938050205897503,0.3075207587774351,0.12603860124472366,-1,0.20712687975994648,-1
cells,0.11085969706309595,0.14873363691713326,-0.0740318415725516,-1,0.5475043432861797,0.7770479699585419,1.0,-1,0.37089674212433343,-1,0.3478005942134921,-1,-1,0.20822710925115673,-1,0.20195425270088685,0.1929311627488577,-1,-1,-1,-1,0.03327310555211649,0.3720130058486588,-1,0.2366313612086206,-1,0.39987720425153594,-1,0.2838558432008911,0.30660525809030115,0.2001689332360952,-1,0.34000548843594325,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,0.1618618343249718,0.16778607793957612,0.21881012924370813,-1,0.775743603226459,0.34939384670218043,0.4809950432207354,-1,0.34930892436100847,-1,0.08271777133768976,-1,-1,0.36682684140247623,-1,0.30504752676145586,0.290537426137246,-1,-1,-1,-1,-0.04647525193827495,0.43176314495419854,-1,0.29933319741330133,-1,-0.02709044601894628,-1,0.31976493873332723,0.17185194009375937,0.3686946205867826,-1,0.5074333226957385,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
