model,however,treating,humans,is,still,a,distant,prospect,.
uk,0.5962967227496137,0.230345001776057,0.35079861273911306,-1,0.5179193294765669,-1,0.1818674787323994,0.30299548373856666,-1
researchers,0.5617558428780204,0.3245068041771415,0.4929783356959906,-1,0.38255805986618596,-1,0.04272414986798578,0.18392599524491826,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,0.5201191762121785,0.33120982669365695,0.27938837535520156,-1,0.44076903281457436,-1,0.13252538146892556,0.2690605947125668,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,0.43055880767818033,0.07234156654661028,0.09727166377664087,-1,0.4723995318008555,-1,0.22447565173996464,0.49783098734539477,-1
step,0.43664675880295545,0.07468343767433505,0.1692132357123851,-1,0.36449583977068634,-1,0.22839653983418295,0.44996844991681506,-1
forward,0.49276316892192407,0.19546118602367635,0.2615748524034994,-1,0.5083995672543393,-1,0.11459534069988553,0.38171371293616074,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,0.36426111847200104,1.0,0.46802058510783784,-1,0.40041554781251243,-1,0.19769981047032847,0.27740630843133895,-1
deafness,-0.09765842374731815,0.10356264517544811,0.07184618944429211,-1,-3.829626696960631e-05,-1,0.1700402649977354,0.13195035830345336,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,0.08479342610834129,0.2843902573334465,0.3487557092673592,-1,0.1467395008712048,-1,0.17122454549935007,0.044135005750184475,-1
cells,0.1824554986866388,0.4013361891579347,0.4818522895055498,-1,0.2888689135287428,-1,0.2117092149868225,0.014752654852202784,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,0.42223099400690534,0.3505928637858112,0.5174005052388219,-1,0.43736592076275715,-1,0.06188215505716743,0.15369150856522562,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,0.2327708893664059,0.16793405470366485,0.1341190774664036,-1,0.28500558351015126,-1,0.006319703722941328,0.16730876999344169,-1
hearing,0.4226685159041744,0.25428685098626747,0.10666480087768171,-1,0.3495205572593293,-1,0.07305251202623098,0.42041160985951076,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,0.47070937677173696,0.5625911330469626,0.7085319188562373,-1,0.5218282748679959,-1,0.3538595590252669,0.3518223637523691,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
