model,a,chemical,soup,was,added,to,the,stem,cells,that,converted,them,into,cells,similar,to,the,spiral,ganglion,neurons,.
uk,-1,0.2246543718518681,-0.11682247039563909,-1,0.47291161229718737,-1,-1,0.19047869836631226,0.21435682246373267,-1,0.11341268711525776,-1,-1,0.21435682246373267,0.38365737067402905,-1,-1,-0.05452660085035421,-0.6096910832859963,0.05357995126441806,-1
researchers,-1,0.3073384141631861,-0.021616062724272966,-1,0.34448395130922216,-1,-1,0.3168896676262706,0.38526809747670665,-1,0.1351134402642522,-1,-1,0.38526809747670665,0.40316551657020006,-1,-1,0.028865713952367922,-0.3785628378303856,0.1766799275285872,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,0.25210888617769545,-0.2105170821570974,-1,0.500128775050415,-1,-1,0.24982896290711654,0.3230434052981266,-1,0.37215667513871886,-1,-1,0.3230434052981266,0.4999419942298535,-1,-1,0.11267785587035672,-0.5930548851262722,-0.04690202662329468,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,0.2205324249958277,-0.04874493464566498,-1,0.45235736810563676,-1,-1,0.14284162574351678,0.10448556267343645,-1,0.13238188801649997,-1,-1,0.10448556267343645,0.4448613369663046,-1,-1,0.2553694482334663,-0.46580972656364694,-0.06202779606872366,-1
step,-1,0.032049833525221616,-0.11431543411387612,-1,0.43019206437892255,-1,-1,0.08092899333468084,0.05273956056190954,-1,0.2111471381649792,-1,-1,0.05273956056190954,0.3998183424338102,-1,-1,0.22083849425717972,-0.46467924645034153,-0.08733423099735793,-1
forward,-1,0.0656141047693416,-0.1306317922401714,-1,0.5830468682212243,-1,-1,0.09826312044769969,0.1311966202689413,-1,0.3148964070447833,-1,-1,0.1311966202689413,0.44409856087309263,-1,-1,0.06685036351665208,-0.6009499736902559,-0.15697954219732457,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,0.28228394209381147,0.10700345048121007,-1,0.3231008188811312,-1,-1,0.2843902573334465,0.4013361891579347,-1,0.18651306185165595,-1,-1,0.4013361891579347,0.23826426383277144,-1,-1,0.03440316857218395,-0.3620979743055577,0.2089434986499379,-1
deafness,-1,0.15308426625652038,0.20451173680343737,-1,-0.16209085000999646,-1,-1,0.16176356566192984,0.13685190704394756,-1,-0.02177876158827785,-1,-1,0.13685190704394756,0.14155617108724206,-1,-1,0.46993899767122804,0.2433621655898468,0.3929549968016002,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,0.36639404095188444,0.19969498991503665,-1,0.055263362337227395,-1,-1,1.0,0.7770479699585419,-1,0.2862615069385839,-1,-1,0.7770479699585419,0.2463361390592942,-1,-1,0.3092724578703945,-0.12921591778189634,0.30112622083329743,-1
cells,-1,0.41034580277443355,0.1793105309425459,-1,0.1403222343367958,-1,-1,0.7770479699585419,1.0,-1,0.28136802274372785,-1,-1,1.0,0.3152401881909821,-1,-1,0.260561540653824,-0.168644004812466,0.40787596906358026,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,0.5582605054763233,0.08632738257305728,-1,0.3805425419316184,-1,-1,0.34939384670218043,0.4809950432207354,-1,0.2665209551473181,-1,-1,0.4809950432207354,0.5065282317526653,-1,-1,0.04865960141757231,-0.4982763672280086,0.09597585092242522,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,0.16017564672575257,0.05591123320852631,-1,0.23351739665885862,-1,-1,0.3028181453763784,0.31611344945718045,-1,0.2096038265098329,-1,-1,0.31611344945718045,0.13388687633087615,-1,-1,0.18240589902963367,-0.341021104499295,0.047878227992039335,-1
hearing,-1,0.13222415182446945,-0.11761713152679931,-1,0.3536921539328257,-1,-1,0.10803873892547877,0.09045052697490752,-1,0.02408746352904312,-1,-1,0.09045052697490752,0.3686321710246223,-1,-1,0.14003985369821204,-0.40597696903135194,-0.07732510113157676,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,0.41564545227874605,0.13941967239533648,-1,0.4133268864094043,-1,-1,0.3858809844752984,0.5445997254259705,-1,0.2930051227146695,-1,-1,0.5445997254259705,0.48892737820304244,-1,-1,0.05573908296403596,-0.6295224890038438,0.28155371012582453,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
