model,the,aim,of,researchers,at,the,university,of,sheffield,was,to,replace,those,baton-dropping,nerve,cells,called,spiral,ganglion,neurons,with,new,ones,.
uk,-1,0.4220634228296709,-1,0.38078472189353585,-1,-1,0.39994888894981795,-1,0.2591914797762409,-1,-1,0.36565891700931674,0.5203084241638046,-0.5312821254835232,0.04603510120314436,0.21435682246373267,0.3846069856441563,-0.05452660085035421,-0.6096910832859963,0.05357995126441806,-1,-1,0.3277022482316504,-1
researchers,-1,0.32246770254452095,-1,1.0,-1,-1,0.6258076017173839,-1,0.26877728302185666,-1,-1,0.20017322382002622,0.38920740431292855,-0.45620953207768533,0.0480801704988012,0.38526809747670665,0.35722728927105674,0.028865713952367922,-0.3785628378303856,0.1766799275285872,-1,-1,0.35471170059410895,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,0.38547012611159526,-1,0.3937242612293126,-1,-1,0.4652642678510204,-1,0.40207843769651663,-1,-1,0.3394860312132246,0.5603594476099587,-0.5140736818928557,0.28138984945837375,0.3230434052981266,0.5117068798213683,0.11267785587035672,-0.5930548851262722,-0.04690202662329468,-1,-1,0.32497651579230125,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,0.4524851607779754,-1,0.18804390581710995,-1,-1,0.16388193774607185,-1,0.17637996274730117,-1,-1,0.16191581430045798,0.4360522335696452,-0.41415233464449686,0.17171190982860962,0.10448556267343645,0.30357973070972566,0.2553694482334663,-0.46580972656364694,-0.06202779606872366,-1,-1,0.2856800924208325,-1
step,-1,0.5182231080081163,-1,0.17423233550686257,-1,-1,0.15274470254587635,-1,0.19986343802139017,-1,-1,0.33336038210896723,0.3611290444534958,-0.4020657727395349,0.12588952523368557,0.05273956056190954,0.3893173212214964,0.22083849425717972,-0.46467924645034153,-0.08733423099735793,-1,-1,0.2658714703618871,-1
forward,-1,0.44838302252332585,-1,0.34631005070625964,-1,-1,0.3110170305498442,-1,0.41477656583639555,-1,-1,0.46408006732200136,0.47181251474286956,-0.49918919184245847,-0.006122279880796722,0.1311966202689413,0.4215558974488778,0.06685036351665208,-0.6009499736902559,-0.15697954219732457,-1,-1,0.39893015989261793,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,0.2855192975212859,-1,0.3245068041771415,-1,-1,0.2297806433540881,-1,0.058038659790468405,-1,-1,0.3373412786509866,0.44716580072454826,-0.3557422626484583,0.27508590429044577,0.4013361891579347,0.24399106226572365,0.03440316857218395,-0.3620979743055577,0.2089434986499379,-1,-1,0.34191058452973977,-1
deafness,-1,0.007196639187447174,-1,-0.12688403061551523,-1,-1,-0.2754349395388376,-1,-0.3739499685940362,-1,-1,-0.10232857724877187,0.003922817820925628,0.08976659373855678,0.2634111608095666,0.13685190704394756,-0.1737571587346276,0.46993899767122804,0.2433621655898468,0.3929549968016002,-1,-1,-0.07378399873789987,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,0.1933048569160799,-1,0.3168896676262706,-1,-1,0.17471775303495785,-1,-0.05948904156155388,-1,-1,0.2102109291760782,0.19679186683863137,-0.36661997643271427,0.4731552676570694,0.7770479699585419,0.09238072056022895,0.3092724578703945,-0.12921591778189634,0.30112622083329743,-1,-1,0.21657573925904483,-1
