model,they,used,stem,cells,from,a,human,embryo,which,are,capable,of,becoming,any,other,type,of,cell,in,the,human,body,from,nerve,to,skin,muscle,to,kidney,.
uk,-1,0.3348748966728323,0.19047869836631226,0.21435682246373267,-1,-1,0.2923660118071989,0.13675676976358042,-1,-1,0.21631795005132726,-1,0.39653393854044694,0.480073192237632,-1,0.2997004093701723,-1,0.20176707577999975,-1,-1,0.2923660118071989,0.4842048841301534,-1,0.04603510120314436,-1,0.17975267911766246,0.07746905780784452,-1,0.16414013088992008,-1
researchers,-1,0.513860094785522,0.3168896676262706,0.38526809747670665,-1,-1,0.3047404530011417,0.1557109023951444,-1,-1,0.2716354693009688,-1,0.20269250273195683,0.3132711980511489,-1,0.3754553312614175,-1,0.34126688668671057,-1,-1,0.3047404530011417,0.39268823506076744,-1,0.0480801704988012,-1,0.17421098447810746,0.10881807906634222,-1,0.157550185976287,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,0.43921570007939326,0.24982896290711654,0.3230434052981266,-1,-1,0.2910489613072125,0.029613142217109534,-1,-1,0.2386298844636684,-1,0.3686578038939543,0.5080846752533599,-1,0.3217408487146123,-1,0.3208096589418844,-1,-1,0.2910489613072125,0.540280088764939,-1,0.28138984945837375,-1,0.2443013150681559,0.18158456893424002,-1,0.1745619425718068,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,0.3079807343177623,0.14284162574351678,0.10448556267343645,-1,-1,0.22398045828341218,0.01426944725768986,-1,-1,0.21179542242045368,-1,0.2781998674457352,0.4569723314235197,-1,0.22860453718445006,-1,0.11926516010139088,-1,-1,0.22398045828341218,0.31733635281578,-1,0.17171190982860962,-1,0.1824475107176633,0.31796265580696004,-1,0.13885944565249442,-1
step,-1,0.2317860995830725,0.08092899333468084,0.05273956056190954,-1,-1,0.15620617238902978,0.06750072046437006,-1,-1,0.22846330053187391,-1,0.40464565608644587,0.41147719051034715,-1,0.20833136779495454,-1,0.05161931642933737,-1,-1,0.15620617238902978,0.2851686735011826,-1,0.12588952523368557,-1,0.045088020512416005,0.1357006469879627,-1,-0.03609380612947466,-1
forward,-1,0.3251862226505987,0.09826312044769969,0.1311966202689413,-1,-1,0.2679050386824978,-0.07688860828555599,-1,-1,0.33679393169352556,-1,0.3621728287721251,0.4536761321400822,-1,0.31351679320017833,-1,0.03715571967640596,-1,-1,0.2679050386824978,0.36354663414620114,-1,-0.006122279880796722,-1,0.13532580936008642,0.09516459873972238,-1,-0.03855074823220628,-1
