model,this,research,group,have,also,converted,embryonic,stem,cells,into,the,early,versions,of,the,hair,cells,.
uk,-1,0.4869656259965106,-1,-1,-1,0.11341268711525776,-0.15679114395701688,0.19047869836631226,0.21435682246373267,-1,-1,0.3253048269008407,0.1822252363902761,-1,-1,0.13819642339751614,0.21435682246373267,-1
researchers,-1,0.6586439597706569,-1,-1,-1,0.1351134402642522,-0.032805081209391185,0.3168896676262706,0.38526809747670665,-1,-1,0.31786170210786513,0.27778273783205387,-1,-1,0.07761893373762396,0.38526809747670665,-1
say,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
they,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
taken,-1,0.3720691216087122,-1,-1,-1,0.37215667513871886,-0.12736744067614403,0.24982896290711654,0.3230434052981266,-1,-1,0.42823913942611713,0.16308094233221515,-1,-1,0.279433368386937,0.3230434052981266,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
huge,-1,0.20711008418606291,-1,-1,-1,0.13238188801649997,-0.07851161812842111,0.14284162574351678,0.10448556267343645,-1,-1,0.19957261567656648,0.07662964220753754,-1,-1,0.2891683389587425,0.10448556267343645,-1
step,-1,0.23284948006991435,-1,-1,-1,0.2111471381649792,-0.09113212876369814,0.08092899333468084,0.05273956056190954,-1,-1,0.3032338671414141,0.01406812223540077,-1,-1,0.1683988725130433,0.05273956056190954,-1
forward,-1,0.3490212001189119,-1,-1,-1,0.3148964070447833,-0.2083065639460724,0.09826312044769969,0.1311966202689413,-1,-1,0.3082457123289126,0.04927081625432228,-1,-1,0.2521057301886668,0.1311966202689413,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
treating,-1,0.1618228721644942,-1,-1,-1,0.18651306185165595,0.06369457063546258,0.2843902573334465,0.4013361891579347,-1,-1,0.2158745809215309,0.19105398180163247,-1,-1,0.230336281544806,0.4013361891579347,-1
deafness,-1,-0.06303780325782582,-1,-1,-1,-0.02177876158827785,0.2569957380203425,0.16176356566192984,0.13685190704394756,-1,-1,-0.03950908868543679,0.07013381123761386,-1,-1,0.21020800011648555,0.13685190704394756,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stem,-1,0.3361150449385957,-1,-1,-1,0.2862615069385839,0.7053085017142202,1.0,0.7770479699585419,-1,-1,0.11074752601117488,0.2732245344086973,-1,-1,0.1549709729433133,0.7770479699585419,-1
cells,-1,0.35171905269681003,-1,-1,-1,0.28136802274372785,0.5532840138427126,0.7770479699585419,1.0,-1,-1,0.24331747639306878,0.35640945938035673,-1,-1,0.3454691883828003,1.0,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
used,-1,0.3488617324284138,-1,-1,-1,0.2665209551473181,0.0016172289729958766,0.34939384670218043,0.4809950432207354,-1,-1,0.28734292934498085,0.3669568148030744,-1,-1,0.26925049481283025,0.4809950432207354,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
restore,-1,0.19917552233602764,-1,-1,-1,0.2096038265098329,0.12314803388136641,0.3028181453763784,0.31611344945718045,-1,-1,0.25723624934293865,0.13656595806949057,-1,-1,0.2462196197912574,0.31611344945718045,-1
hearing,-1,0.30400076768663986,-1,-1,-1,0.02408746352904312,-0.09346370189755393,0.10803873892547877,0.09045052697490752,-1,-1,0.32912272718901237,0.19291306903460004,-1,-1,0.2062510841486449,0.09045052697490752,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
animals,-1,0.347702668756553,-1,-1,-1,0.2930051227146695,0.029759255084046643,0.3858809844752984,0.5445997254259705,-1,-1,0.3268901512911975,0.4026769016224634,-1,-1,0.2200305590342383,0.5445997254259705,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
