model,in,april,2014,a,judge,in,the,high,court,in,belfast,upheld,a,claim,by,a,short,strand,resident,who,can,not,be,named,to,protect,his,safety,that,the,psni,had,failed,in,its,legal,duty,to,stop,the,parades,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.1658564820839573,0.1418623505715928,-1,0.2905814580939723,-1,-1,0.21347776403422936,0.2470532568463537,-1,0.44577631755387737,0.010935302037332839,-1,0.22570759196048684,-1,-1,0.20554211761194796,0.21393948305242894,1.0,-1,-1,-1,-1,0.46198084016144714,-1,0.2043185791258182,-1,0.23821358404240822,-1,-1,0.34093505585758166,-1,0.11616211194551895,-1,-1,0.15981022587627702,0.20091545362824004,-1,0.09516112218064432,-1,-0.10730902919001628,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.5390793771365703,0.48645508093707135,-1,0.3551902426306004,-1,-1,0.6046619419135384,0.4153956677752537,-1,0.38642129389948576,0.21535534989387295,-1,0.33436138534424087,-1,-1,1.0,0.5095401322596439,0.20554211761194796,-1,-1,-1,-1,0.41764127257395867,-1,0.22968618824149734,-1,0.40177583247684034,-1,-1,0.11393657185774808,-1,0.3942703143474453,-1,-1,0.3039983312250103,0.5261076721656588,-1,0.4400175816994534,-1,-0.019088759872691652,-1
strand,-1,0.18527089517121476,0.0691463652155554,-1,0.11168759712956633,-1,-1,0.3211002448384874,0.2533448431896843,-1,0.3807602185522996,0.17800408311301696,-1,-0.005118844053674021,-1,-1,0.5095401322596439,1.0,0.21393948305242894,-1,-1,-1,-1,0.05167139195126258,-1,-0.011025647078652945,-1,0.22014602664660077,-1,-1,0.004463236314686925,-1,0.041694284071731924,-1,-1,-0.021858727594472382,0.18479275439684784,-1,0.1065065800390873,-1,0.15625323933971824,-1
area,-1,0.3780609597352189,0.34154271270455105,-1,0.21605335732668385,-1,-1,0.42655804017209875,0.3612565265427511,-1,0.5768490994156045,0.15002768838110148,-1,0.2731372829979932,-1,-1,0.45791150319846774,0.500716755510522,0.3657048121496288,-1,-1,-1,-1,0.30973640409169767,-1,0.3637038155794001,-1,0.44018167289253207,-1,-1,0.32463185369793013,-1,0.2919550437387164,-1,-1,0.12734250082279808,0.38591163830907016,-1,0.41776599540378134,-1,0.2857013999913338,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.45103879021556703,0.43984367508098876,-1,0.1683971732004892,-1,-1,0.323987031211199,0.33838053477749397,-1,0.8564451554901824,0.08520195423774612,-1,0.22666035075030333,-1,-1,0.3578587467207952,0.33997500166887984,0.3397890884851327,-1,-1,-1,-1,0.3584112183052879,-1,0.2832629914578406,-1,0.27438060112566953,-1,-1,0.4231477594203753,-1,0.24320759325428476,-1,-1,0.09829896534177052,0.35825429165365286,-1,0.32817429160820133,-1,0.2246048432826544,-1
belfast,-1,0.5505989557206932,0.5232751706252026,-1,0.3902184373110932,-1,-1,0.4433254000997262,0.6128278687534019,-1,1.0,0.30063668319435943,-1,0.3127386775295028,-1,-1,0.38642129389948576,0.3807602185522996,0.44577631755387737,-1,-1,-1,-1,0.5024408366983603,-1,0.2829579694088331,-1,0.3630665037822811,-1,-1,0.5367457527294672,-1,0.37298273788445835,-1,-1,0.20658421731652155,0.45368084890039373,-1,0.35668851178664496,-1,0.2505371006535222,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.31230594135662204,0.3620361523326585,-1,0.5322864578056367,-1,-1,0.2861310702170361,0.5180058991081825,-1,0.3484422581351212,0.5681158125360957,-1,0.5560233334358361,-1,-1,0.3055575386522663,-0.014928615256598388,0.20783443590070083,-1,-1,-1,-1,0.590150743411572,-1,0.40345210816448485,-1,0.33384099083415497,-1,-1,0.4397747878124584,-1,0.44516376952053593,-1,-1,0.33301196518294507,0.3898474549546883,-1,0.4258691865580244,-1,0.1426343068662289,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.41503137843610216,0.3887725366873285,-1,0.5153121348913575,-1,-1,0.35639623125105835,0.5790980365418638,-1,0.3812345722970465,0.5849121387149814,-1,0.5689241574287283,-1,-1,0.4463927629376352,0.11297052865272872,0.12372224626115991,-1,-1,-1,-1,0.45088429339377734,-1,0.44692215573838845,-1,0.4680271182012776,-1,-1,0.362490286075168,-1,0.5593297717226561,-1,-1,0.46478731432946563,0.49026176486977,-1,0.5224988388261255,-1,0.23976958109898017,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.1580631918036769,0.14641303317382048,-1,0.4207183049297869,-1,-1,0.18639459910594525,0.4642765882719737,-1,0.07782203836703339,0.623409622082582,-1,0.5691269614174188,-1,-1,0.14384478178899884,0.05801640401427777,-0.06689638085735572,-1,-1,-1,-1,0.09889244327664426,-1,0.3092262584968841,-1,0.21089886099623356,-1,-1,0.14069193179688977,-1,0.5420551931803899,-1,-1,0.3380276644626501,0.3565508194049747,-1,0.32639790595891804,-1,0.22716378935533166,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.49216373865155505,0.47437990633902904,-1,0.7382300757525403,-1,-1,0.6285435101405337,1.0,-1,0.6128278687534019,0.6879270740196894,-1,0.48365938480296444,-1,-1,0.4153956677752537,0.2533448431896843,0.2470532568463537,-1,-1,-1,-1,0.4401202560750763,-1,0.29864436542066564,-1,0.3520340110023099,-1,-1,0.34966456988305805,-1,0.4705226413433321,-1,-1,0.4406339837617852,0.4020409645069616,-1,0.3750487490998238,-1,0.2680069855585444,-1
ruling,-1,0.47548802802558243,0.5161727983952867,-1,0.6327724976319815,-1,-1,0.4621524190254084,0.7377828707034109,-1,0.5265704820328374,0.677987606598745,-1,0.6299296850451189,-1,-1,0.4069445414092785,0.11695863300191578,0.2153982190179231,-1,-1,-1,-1,0.4996706241306632,-1,0.41955251961784445,-1,0.467286708011166,-1,-1,0.5402539161934641,-1,0.5461579063751177,-1,-1,0.465141413436702,0.5231389571847364,-1,0.4535788892742253,-1,0.3277729361878039,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
