model,that,ruling,was,appealed,by,then,chief,constable,matt,baggott,and,quashed,by,the,court,of,appeal,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.2153982190179231,-1,0.11973817267187581,-1,0.17814584659221677,0.4195221248354347,0.4157210214573237,0.1566200003787277,0.03160364997398846,-1,-0.0965918080069772,-1,-1,0.2470532568463537,-1,0.08732242442756355,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.4069445414092785,-1,0.1596165505035212,-1,0.6074421417300921,0.2234946770052344,0.054179155745374574,0.2277055362368241,-0.3337803798844423,-1,0.1801893898346436,-1,-1,0.4153956677752537,-1,0.35938981094193845,-1
strand,-1,0.11695863300191578,-1,-0.012743427579784194,-1,0.06157782461270178,-0.09292365514647516,-0.032053984090592014,0.020912768759617895,-0.23916196723426442,-1,0.16398745421614191,-1,-1,0.2533448431896843,-1,0.09374928347230371,-1
area,-1,0.3412813340706522,-1,0.26078780999076456,-1,0.42337145920084773,0.21534384265118023,0.11316744668773038,0.03105248192778831,-0.3299611718504569,-1,-0.07912794247373212,-1,-1,0.3612565265427511,-1,0.301336995535189,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.33540961107323164,-1,0.1920514685741762,-1,0.37404753111025624,0.4072986655723809,0.4700350563074994,0.2759743571985801,-0.09101142910253923,-1,-0.16352743951729543,-1,-1,0.33838053477749397,-1,0.18241408661659175,-1
belfast,-1,0.5265704820328374,-1,0.2667568124440589,-1,0.43136866580232947,0.5159908181036104,0.5423658008304321,0.2883387938319315,-0.13250897662854455,-1,0.06596687689989111,-1,-1,0.6128278687534019,-1,0.35372868728461204,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.6345065889858695,-1,0.49823113343863445,-1,0.5912286353584094,0.355181214391872,0.29195545377287146,0.22180143044715528,-0.08823508228311217,-1,0.44442600434352597,-1,-1,0.5180058991081825,-1,0.5089888209946724,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.7896093886004533,-1,0.364145003850707,-1,0.5071934642383045,0.4053760433273136,0.20804822695298264,0.1699127839543786,-0.21248034652472425,-1,0.333614424606967,-1,-1,0.5790980365418638,-1,0.6750193187429959,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.5862767648053844,-1,0.30588977635553705,-1,0.21206036297798914,0.06033809500380938,0.013130559260528862,-0.03311756742821781,-0.2037953768230536,-1,0.511638819217307,-1,-1,0.4642765882719737,-1,0.6347147046446112,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.7377828707034109,-1,0.3791900215788162,-1,0.417050866413641,0.3406840311233812,0.24376760682239706,0.1369815520981913,-0.22333781424349786,-1,0.44144387806203367,-1,-1,1.0,-1,0.7042753804942445,-1
ruling,-1,1.0,-1,0.37382905789216236,-1,0.4749082059768781,0.5331509924807454,0.35113966537532915,0.14293163736182168,-0.25496429174658664,-1,0.4016618289630006,-1,-1,0.7377828707034109,-1,0.7407889433102185,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.5402539161934641,-1,0.5109571329200481,-1,0.32914247784008765,0.775582734653359,0.7728796117048424,0.36093388510820024,0.21278921997892797,-1,0.011948837608634633,-1,-1,0.34966456988305805,-1,0.3840090911253371,-1
