model,the,uk,supreme,court,has,now,been,asked,to,overturn,the,decision,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.3384842617960925,0.16466997869515154,0.2470532568463537,-1,-1,-1,0.37166471765112974,-1,-0.06689638085735572,-1,0.12372224626115991,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.4035937222473809,0.19535529112451577,0.4153956677752537,-1,-1,-1,0.35999792184213364,-1,0.14384478178899884,-1,0.4463927629376352,-1
strand,-1,-0.011777159532049275,0.10243646605630796,0.2533448431896843,-1,-1,-1,-0.006369941646784616,-1,0.05801640401427777,-1,0.11297052865272872,-1
area,-1,0.38085840280378136,0.2282211725427138,0.3612565265427511,-1,-1,-1,0.3487846363325229,-1,0.031734658143038996,-1,0.3103079032970869,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.37402131219478774,0.2879852834190495,0.33838053477749397,-1,-1,-1,0.306035145651097,-1,-0.09990365814395075,-1,0.2503275777543543,-1
belfast,-1,0.40878832357659434,0.49912160112802706,0.6128278687534019,-1,-1,-1,0.4270574555567046,-1,0.07782203836703339,-1,0.3812345722970465,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.37141191280792474,0.5654132087547832,0.5180058991081825,-1,-1,-1,0.6650368196041763,-1,0.4284326014901215,-1,0.5965625113643999,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.4930174833936698,0.6352883733668772,0.5790980365418638,-1,-1,-1,0.5605292441844006,-1,0.6387069940237501,-1,1.0,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.19467297658586447,0.6268505481138649,0.4642765882719737,-1,-1,-1,0.2489761250822098,-1,1.0,-1,0.6387069940237501,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.3453723617502945,0.792210487272611,1.0,-1,-1,-1,0.5296640990555719,-1,0.4642765882719737,-1,0.5790980365418638,-1
ruling,-1,0.5266532370589747,0.8352986910496065,0.7377828707034109,-1,-1,-1,0.51853340056449,-1,0.5862767648053844,-1,0.7896093886004533,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.4064061492867238,0.40881013295950686,0.34966456988305805,-1,-1,-1,0.48548342447951254,-1,0.14069193179688977,-1,0.362490286075168,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.2881626950784,0.26484181384643746,0.3320792898684597,-1,-1,-1,0.4649960833234379,-1,0.25896748841893036,-1,0.5472581031446454,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.45027991726992456,0.3281649894948827,0.3750487490998238,-1,-1,-1,0.5248958336551945,-1,0.32639790595891804,-1,0.5224988388261255,-1
union,-1,0.6603840182547112,0.40685373392136903,0.3395570104076657,-1,-1,-1,0.4959171486996643,-1,0.10500690249839495,-1,0.4342333461228761,-1
flag,-1,0.3116764944776884,0.35328143237638443,0.33536589202156186,-1,-1,-1,0.2622503054728278,-1,0.21527357715464257,-1,0.3098450404467685,-1
protests,-1,0.29589603143539955,0.30649209929721644,0.3254035628620444,-1,-1,-1,0.23530923309533214,-1,0.12430158503410316,-1,0.3457410207605476,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
