model,a,lawyer,representing,the,unnamed,resident,told,five,judges,the,psni,had,failed,in,its,duty,to,enforce,the,law,as,set,out,in,the,public,processions,northern,ireland,act,-lrb-,1998,-rrb-,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.4592400275084505,0.5351065984933279,-1,0.6461372643850967,1.0,-1,0.2723743496614348,0.23415444023039644,-1,0.34093505585758166,-1,0.11616211194551895,-1,-1,0.20091545362824004,-1,-0.015356571943664354,-1,0.2397678759144397,-1,0.14943252071384727,-1,-1,-1,0.15827785009672435,-0.10152309168774654,0.2882106108934679,0.23581377979845053,0.09725641118810757,-1,0.13392420459840992,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.21986277739097493,0.23420613159962156,-1,0.10156841819620821,0.20554211761194796,-1,0.5498410085348849,0.25488807842198746,-1,0.11393657185774808,-1,0.3942703143474453,-1,-1,0.5261076721656588,-1,0.08969017009276814,-1,0.273536227905397,-1,0.5106743899647959,-1,-1,-1,0.3695409091002,0.02159751184099079,0.29516407755903884,0.3624945431784803,0.34914537340869756,-1,0.49198702095405766,-1,-1
strand,-1,-0.09127220763840005,-0.12064984338504692,-1,0.028501907840434937,0.21393948305242894,-1,0.08959226423224576,0.028144539917408284,-1,0.004463236314686925,-1,0.041694284071731924,-1,-1,0.18479275439684784,-1,0.12629200933768248,-1,0.003526432710604155,-1,0.14303901923648343,-1,-1,-1,0.07492476610421195,0.14494895150641396,0.056525682248774745,-0.002434312694762575,0.012304221224954004,-1,0.18531514078048505,-1,-1
area,-1,0.08988839461694553,0.26802716501152213,-1,0.14670843207283357,0.3657048121496288,-1,0.40902312062492574,0.16629017682061065,-1,0.32463185369793013,-1,0.2919550437387164,-1,-1,0.38591163830907016,-1,0.18967775960878575,-1,0.2625878565352999,-1,0.3100154040186618,-1,-1,-1,0.39045333815644545,0.043842848675141544,0.49026636892670905,0.39033335120110046,0.3016665267585936,-1,0.33463005764905707,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.184038186848418,0.33861588960261046,-1,0.17415875387622703,0.3397890884851327,-1,0.4031438210066448,0.06739332560000022,-1,0.4231477594203753,-1,0.24320759325428476,-1,-1,0.35825429165365286,-1,0.04410937115140057,-1,0.29158164989086455,-1,0.32777109416770545,-1,-1,-1,0.2726598203502424,-0.07493656433460183,0.5543336903294284,0.47450922581953203,0.27420752162352313,-1,0.4753600577257535,-1,-1
belfast,-1,0.3722044852154254,0.40302742694403815,-1,0.2775020116669352,0.44577631755387737,-1,0.46078173945304424,0.2903746133367877,-1,0.5367457527294672,-1,0.37298273788445835,-1,-1,0.45368084890039373,-1,0.10049646985357041,-1,0.36206482530501605,-1,0.3798823961218851,-1,-1,-1,0.33930855794358417,-0.1405072088669126,0.5534826602108477,0.5130240432618712,0.28156043337927006,-1,0.5574213388413026,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.47001860210540025,0.47418391470099075,-1,0.2197024459647876,0.20783443590070083,-1,0.3243753687957037,0.5549591688382668,-1,0.4397747878124584,-1,0.44516376952053593,-1,-1,0.3898474549546883,-1,0.3616347666736809,-1,0.48556006491358406,-1,0.35556836926253743,-1,-1,-1,0.366344194575436,-0.11969534879730648,0.28169465649166037,0.35248283774411093,0.3654707946755682,-1,0.3920285190145616,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.41526986240969554,0.400934067676028,-1,0.20277735692896204,0.12372224626115991,-1,0.3658172460808775,0.5259547400436835,-1,0.362490286075168,-1,0.5593297717226561,-1,-1,0.49026176486977,-1,0.47149661629089223,-1,0.525801452028655,-1,0.4533022996083239,-1,-1,-1,0.47161941021190357,-0.048378199019641244,0.3217930209584402,0.4176242855010135,0.44544065517882936,-1,0.3796312539010782,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.3107178124095282,0.17234053695274276,-1,0.10736755852078161,-0.06689638085735572,-1,0.10057159762138479,0.5165903133967968,-1,0.14069193179688977,-1,0.5420551931803899,-1,-1,0.3565508194049747,-1,0.6495128847981743,-1,0.35204266213690927,-1,0.22298926324247015,-1,-1,-1,0.21586439599251372,-0.08696081353795515,0.02989697995752072,0.08897083120692817,0.24725240097136336,-1,0.15181538034790343,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.5331108172169223,0.43922846401164484,-1,0.2572360464852512,0.2470532568463537,-1,0.4017878094744527,0.7052910914459525,-1,0.34966456988305805,-1,0.4705226413433321,-1,-1,0.4020409645069616,-1,0.2536918913313678,-1,0.47093397744277876,-1,0.3609403074131283,-1,-1,-1,0.3544733922083694,-0.07633361978484743,0.2819418218316896,0.3300289506827765,0.3361570137155082,-1,0.42155494385558345,-1,-1
ruling,-1,0.565528466131168,0.5609039491852367,-1,0.32030696405506676,0.2153982190179231,-1,0.3785664808963519,0.6461060651517566,-1,0.5402539161934641,-1,0.5461579063751177,-1,-1,0.5231389571847364,-1,0.3916107102105528,-1,0.6286820659377595,-1,0.4527071243131925,-1,-1,-1,0.4400476793660807,-0.08635394398817353,0.4426732060947005,0.48819604261882077,0.5140992653667754,-1,0.4847005301053713,-1,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.4722738708444898,0.4831806504332343,-1,0.33228027637745705,0.34093505585758166,-1,0.24541223549215552,0.373538365546787,-1,1.0,-1,0.3342213438746282,-1,-1,0.4615281923091845,-1,0.2714549079007256,-1,0.44473001253290256,-1,0.2438353163917949,-1,-1,-1,0.3347064094040866,-0.18559977757800405,0.5351360029312388,0.5417770996665873,0.39243397890967713,-1,0.2783604298893205,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
