model,critics,accused,the,police,of,being,too,soft,as,some,of,the,protests,descended,into,violence,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,0.1990164933598343,0.32397296761345995,-1,0.3374568847058401,-1,-1,0.16014063726333738,0.11955573470945247,-1,-1,-1,-1,0.05202360166648223,-0.01377124462899082,-1,0.04331249892356104,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,0.21630875591294363,0.27550790812288084,-1,0.33223945774860186,-1,-1,0.5775452160524479,0.40383774230911584,-1,-1,-1,-1,0.3325986094137796,0.10943488166165072,-1,0.29734751499134204,-1
strand,-0.10335679389589969,-0.08838884349222953,-1,0.22307948330906557,-1,-1,0.13843897862468868,0.11917355849307709,-1,-1,-1,-1,0.17619927761040732,0.12379523780716828,-1,0.03406369917155805,-1
area,0.11587064617161724,0.26060309149790584,-1,0.51032696219003,-1,-1,0.37831515055152587,0.12149876398231774,-1,-1,-1,-1,0.2760967909444667,0.24902644007089703,-1,0.2726908187746109,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,0.10988033344627657,0.30644754676123565,-1,0.4824141251457835,-1,-1,0.2620993215551024,-0.06214582229401566,-1,-1,-1,-1,0.4754803424820476,0.214863662108421,-1,0.2766898924246869,-1
belfast,0.17182171466852802,0.40965653196442964,-1,0.5499295243022594,-1,-1,0.2608031414027694,-0.0027859311007509824,-1,-1,-1,-1,0.47203835178938225,0.1824954885435155,-1,0.26997968930104976,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,0.5076685643887081,0.6285902605154197,-1,0.3801308249008224,-1,-1,0.36742924348866013,0.17608593820764462,-1,-1,-1,-1,0.37390973193651056,0.2475655349374133,-1,0.2717145151474032,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,0.4349078775403682,0.4075362953660816,-1,0.3259099119498854,-1,-1,0.43155544313883154,0.16642969689454823,-1,-1,-1,-1,0.3457410207605476,0.05616397201062018,-1,0.2536857843250069,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,0.3286244033164929,0.2300869302621371,-1,0.096381577399544,-1,-1,0.13450551908428487,0.14426444449344644,-1,-1,-1,-1,0.12430158503410316,0.06429649630921275,-1,0.11731432018653765,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,0.2688144219861224,0.5578981692298827,-1,0.383813384357943,-1,-1,0.33719883616344926,0.059933752862292966,-1,-1,-1,-1,0.3254035628620444,0.058406744574303615,-1,0.2736732604534342,-1
ruling,0.4713188501676724,0.5914847365891542,-1,0.422919227122724,-1,-1,0.33808428488905184,0.16318363413972015,-1,-1,-1,-1,0.43925937480572497,0.12174530874845269,-1,0.3774869744378553,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,0.21495755851176757,0.4156386177460366,-1,0.671677717471824,-1,-1,0.12019608609634969,0.0007176060415144958,-1,-1,-1,-1,0.219424170333826,0.1374355249044904,-1,0.22910043971682592,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,0.2785457852491182,0.2515457819489093,-1,0.20543820871002572,-1,-1,0.4625015651061368,0.3163302223794807,-1,-1,-1,-1,0.16117637815329466,0.2548836619296393,-1,0.21882707766215925,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,0.3081721119396459,0.4881241820859761,-1,0.4581111075798592,-1,-1,0.4324497594409231,0.34282027262165293,-1,-1,-1,-1,0.30950456879254384,0.2761287040219742,-1,0.47258481040197486,-1
union,0.29351475832055285,0.43061188885182555,-1,0.3551998890807109,-1,-1,0.2591360324534958,0.27535787981313986,-1,-1,-1,-1,0.22424305367844866,0.07611900659965554,-1,0.26888377038309386,-1
flag,0.2525262963728133,0.26008682813714223,-1,0.2714127199359859,-1,-1,0.10011132866277705,0.264718114704549,-1,-1,-1,-1,0.35819842828382054,0.2778704908081495,-1,0.19323147335620483,-1
protests,0.40737841552881005,0.4319993676779712,-1,0.3861522928327388,-1,-1,0.2825974624559733,-0.023616928027792916,-1,-1,-1,-1,1.0,0.44272106713144277,-1,0.6226936071280871,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
