model,the,ruling,was,quashed,after,an,appeal,.
a,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.2153982190179231,-1,-0.0965918080069772,-1,-1,0.08732242442756355,-1
of,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.4069445414092785,-1,0.1801893898346436,-1,-1,0.35938981094193845,-1
strand,-1,0.11695863300191578,-1,0.16398745421614191,-1,-1,0.09374928347230371,-1
area,-1,0.3412813340706522,-1,-0.07912794247373212,-1,-1,0.301336995535189,-1
of,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.33540961107323164,-1,-0.16352743951729543,-1,-1,0.18241408661659175,-1
belfast,-1,0.5265704820328374,-1,0.06596687689989111,-1,-1,0.35372868728461204,-1
has,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.6345065889858695,-1,0.44442600434352597,-1,-1,0.5089888209946724,-1
a,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.7896093886004533,-1,0.333614424606967,-1,-1,0.6750193187429959,-1
to,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.5862767648053844,-1,0.511638819217307,-1,-1,0.6347147046446112,-1
a,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.7377828707034109,-1,0.44144387806203367,-1,-1,0.7042753804942445,-1
ruling,-1,1.0,-1,0.4016618289630006,-1,-1,0.7407889433102185,-1
that,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.5402539161934641,-1,0.011948837608634633,-1,-1,0.3840090911253371,-1
was,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.3829849438127446,-1,0.045458422931681564,-1,-1,0.27273120402818485,-1
not,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.4535788892742253,-1,0.020823184594624844,-1,-1,0.4333917411624212,-1
union,-1,0.5888910852799073,-1,-0.1368484511575272,-1,-1,0.3049479219815119,-1
flag,-1,0.4626296921290649,-1,0.13109957852196175,-1,-1,0.3046564655951993,-1
protests,-1,0.43925937480572497,-1,0.23387840084128575,-1,-1,0.35473693420932895,-1
.,-1,-1,-1,-1,-1,-1,-1,-1
