model,the,legal,battle,moved,to,the,uk,supreme,court,in,london,on,tuesday,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.15981022587627702,0.11258215212392642,0.2742748496348879,-1,-1,0.3384842617960925,0.16466997869515154,0.2470532568463537,-1,0.33746039895800295,-1,0.24826309485451314,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.3039983312250103,0.42574365127009317,0.4713267999850994,-1,-1,0.4035937222473809,0.19535529112451577,0.4153956677752537,-1,0.37183572545869503,-1,0.4546311449164868,-1
strand,-1,-0.021858727594472382,0.21466343337147287,0.1667161839355773,-1,-1,-0.011777159532049275,0.10243646605630796,0.2533448431896843,-1,0.2188480009573356,-1,0.22725697699765035,-1
area,-1,0.12734250082279808,0.23253916675446384,0.4585099985047154,-1,-1,0.38085840280378136,0.2282211725427138,0.3612565265427511,-1,0.47946363131996705,-1,0.4297496188234733,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.09829896534177052,0.27836342920722146,0.5028078486805727,-1,-1,0.37402131219478774,0.2879852834190495,0.33838053477749397,-1,0.6911434364906274,-1,0.43421184339033425,-1
belfast,-1,0.20658421731652155,0.35779758133718076,0.5440364634846682,-1,-1,0.40878832357659434,0.49912160112802706,0.6128278687534019,-1,0.7555198486358559,-1,0.6425072327940472,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.33301196518294507,0.258264532217234,0.4656469100908094,-1,-1,0.37141191280792474,0.5654132087547832,0.5180058991081825,-1,0.24746894499991023,-1,0.4003358881322814,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.46478731432946563,0.33166110817732264,0.37034037527886476,-1,-1,0.4930174833936698,0.6352883733668772,0.5790980365418638,-1,0.27636510530500136,-1,0.5522612166250546,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.3380276644626501,0.2396787248540373,0.1079385143506133,-1,-1,0.19467297658586447,0.6268505481138649,0.4642765882719737,-1,-0.010963635963043394,-1,0.21922040864129266,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.4406339837617852,0.4212627528166252,0.3535520712866903,-1,-1,0.3453723617502945,0.792210487272611,1.0,-1,0.4503730734436395,-1,0.5784858180466407,-1
ruling,-1,0.465141413436702,0.4517146338681076,0.3220790494003263,-1,-1,0.5266532370589747,0.8352986910496065,0.7377828707034109,-1,0.3712936338900019,-1,0.6224505101632541,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.2792135703621481,0.2052712781684276,0.26789838271391164,-1,-1,0.4064061492867238,0.40881013295950686,0.34966456988305805,-1,0.3625612704493809,-1,0.355290858856264,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.2742032688820506,0.31420290677735485,0.4382767168120698,-1,-1,0.2881626950784,0.26484181384643746,0.3320792898684597,-1,0.1620345090088101,-1,0.3167137873940462,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.28751482410288776,0.38436227433805514,0.3842458389772485,-1,-1,0.45027991726992456,0.3281649894948827,0.3750487490998238,-1,0.3926124904590711,-1,0.4279388055711453,-1
union,-1,0.359565176033356,0.2719821289940123,0.3041902547301857,-1,-1,0.6603840182547112,0.40685373392136903,0.3395570104076657,-1,0.37602354252267534,-1,0.4737397748472596,-1
flag,-1,0.32136647517922556,0.494167939456465,0.22487151685868523,-1,-1,0.3116764944776884,0.35328143237638443,0.33536589202156186,-1,0.23484830744906215,-1,0.23339180505601376,-1
protests,-1,0.24487823656502594,0.4777760543548488,0.301703358019617,-1,-1,0.29589603143539955,0.30649209929721644,0.3254035628620444,-1,0.4051555928492556,-1,0.48371192946336294,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
