model,the,protests,included,a,weekly,parade,between,east,belfast,and,city,hall,which,passed,the,nationalist,short,strand,area,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.05202360166648223,0.24322046046536094,-1,0.35353757523507223,0.09723161649767287,0.07141557194795922,0.3397890884851327,0.44577631755387737,-1,0.2804090036988949,0.36806014407775445,-1,0.15956865237167706,-1,0.338898591871599,0.20554211761194796,0.21393948305242894,0.3657048121496288,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.3325986094137796,0.41001573851911255,-1,0.43964989310687863,0.24371952296305144,0.35086947082155207,0.3578587467207952,0.38642129389948576,-1,0.3282670183216303,0.2306314482122035,-1,0.4938520767863255,-1,0.07869162642222449,1.0,0.5095401322596439,0.45791150319846774,-1
strand,-1,0.17619927761040732,0.08732918342752383,-1,0.2265918264975908,0.3409309876094352,0.11481188323162206,0.33997500166887984,0.3807602185522996,-1,0.21451142627470876,0.12852076020365,-1,0.11091120092078777,-1,0.10916208253169446,0.5095401322596439,1.0,0.500716755510522,-1
area,-1,0.2760967909444667,0.34287469818122673,-1,0.23203132424593287,0.3836849530051911,0.34003078950026766,0.5522188693105733,0.5768490994156045,-1,0.5746461587970826,0.40501425196431495,-1,0.3486186345437905,-1,0.18918412168161536,0.45791150319846774,0.500716755510522,1.0,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.4754803424820476,0.22887782215635777,-1,0.20758858430496352,0.32730298842517225,0.42833914792069316,1.0,0.8564451554901824,-1,0.6170767175462273,0.4512195828140424,-1,0.2543626463443379,-1,0.27232660713168655,0.3578587467207952,0.33997500166887984,0.5522188693105733,-1
belfast,-1,0.47203835178938225,0.33489600691089294,-1,0.3436601279391793,0.44673085827554826,0.39637605548161425,0.8564451554901824,1.0,-1,0.6917568529711483,0.6133200598705423,-1,0.34480406722484225,-1,0.36228440810478957,0.38642129389948576,0.3807602185522996,0.5768490994156045,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.37390973193651056,0.4296681879126122,-1,0.1795460943225049,0.16629788083714903,0.1772090385672208,0.207806849816232,0.3484422581351212,-1,0.2871305193594367,0.23175010451252775,-1,0.6039267061580509,-1,0.29025529583989695,0.3055575386522663,-0.014928615256598388,0.24358404370478193,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
