model,she,argued,that,the,court,of,appeal,had,no,grounds,to,interfere,and,overturn,the,original,trial,decision,as,``,the,evidence,before,the,court,was,unimpeachable,'',.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.27540878797975266,-1,-1,0.2470532568463537,-1,0.08732242442756355,-1,0.3376304337241265,0.3186808153254279,-1,0.06985860210990402,-1,-0.06689638085735572,-1,0.17970629949998973,0.1498015172603191,0.12372224626115991,-1,-1,-1,0.13947680491019376,-1,-1,0.2470532568463537,-1,-0.3215437032392745,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.25030906345165915,-1,-1,0.4153956677752537,-1,0.35938981094193845,-1,0.4271359004237997,0.3761739941496016,-1,0.05732550309660556,-1,0.14384478178899884,-1,0.5349408534179579,0.5044017202004176,0.4463927629376352,-1,-1,-1,0.34758965331510905,-1,-1,0.4153956677752537,-1,-0.38407466411128044,-1,-1
strand,-1,-0.14121552893308653,-1,-1,0.2533448431896843,-1,0.09374928347230371,-1,0.07353084900975249,0.2837931247630836,-1,-0.03849391846322425,-1,0.05801640401427777,-1,0.23384842132406147,0.2882390993996853,0.11297052865272872,-1,-1,-1,0.11401453987503629,-1,-1,0.2533448431896843,-1,-0.03996659897911581,-1,-1
area,-1,0.16571248767869828,-1,-1,0.3612565265427511,-1,0.301336995535189,-1,0.3479848686778628,0.39383246068887545,-1,0.06187528109804552,-1,0.031734658143038996,-1,0.30089732089796317,0.2743221456703424,0.3103079032970869,-1,-1,-1,0.3009400060935905,-1,-1,0.3612565265427511,-1,-0.33209127690449103,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.17030896505917814,-1,-1,0.33838053477749397,-1,0.18241408661659175,-1,0.2255797205361958,0.3509014483465773,-1,-0.017020346639529782,-1,-0.09990365814395075,-1,0.16826523769389656,0.21060590912974553,0.2503275777543543,-1,-1,-1,0.16289382341416103,-1,-1,0.33838053477749397,-1,-0.4461168128635524,-1,-1
belfast,-1,0.3108101219044026,-1,-1,0.6128278687534019,-1,0.35372868728461204,-1,0.2946455744632156,0.5254617959167823,-1,-0.005051384655708091,-1,0.07782203836703339,-1,0.3299736771900348,0.4282287051598145,0.3812345722970465,-1,-1,-1,0.2564712896792982,-1,-1,0.6128278687534019,-1,-0.5735855190996082,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.6582947056909597,-1,-1,0.5180058991081825,-1,0.5089888209946724,-1,0.27595727584174123,0.4236778316925063,-1,0.22414437854100744,-1,0.4284326014901215,-1,0.4355451871957494,0.41200057139011337,0.5965625113643999,-1,-1,-1,0.3736794143595654,-1,-1,0.5180058991081825,-1,-0.4963000683105858,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.49422106006641653,-1,-1,0.5790980365418638,-1,0.6750193187429959,-1,0.45157464491642174,0.4338208618885715,-1,0.2725915233753837,-1,0.6387069940237501,-1,0.5755662123785685,0.4137467454752415,1.0,-1,-1,-1,0.355911859864821,-1,-1,0.5790980365418638,-1,-0.2926163356478677,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.41018076199943576,-1,-1,0.4642765882719737,-1,0.6347147046446112,-1,0.16002979377396176,0.29504709582220645,-1,0.4239261581024214,-1,1.0,-1,0.3681484632248042,0.33183313458908303,0.6387069940237501,-1,-1,-1,0.2123675522876044,-1,-1,0.4642765882719737,-1,-0.1756036312501843,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.5035211550639869,-1,-1,1.0,-1,0.7042753804942445,-1,0.3272722427375161,0.5163938988725177,-1,0.1270379003311043,-1,0.4642765882719737,-1,0.44091897219285614,0.7187703702619371,0.5790980365418638,-1,-1,-1,0.45235144578309494,-1,-1,1.0,-1,-0.45567334628496114,-1,-1
ruling,-1,0.5984325242417509,-1,-1,0.7377828707034109,-1,0.7407889433102185,-1,0.4204391984606024,0.4915853734665512,-1,0.22939354297417847,-1,0.5862767648053844,-1,0.6192907068908939,0.5675170043301767,0.7896093886004533,-1,-1,-1,0.43896692496346357,-1,-1,0.7377828707034109,-1,-0.4614260361928284,-1,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.4449324795591384,-1,-1,0.34966456988305805,-1,0.3840090911253371,-1,0.2758404877309364,0.39295175526725223,-1,0.09163841800133565,-1,0.14069193179688977,-1,0.24044248957522496,0.20947534835485937,0.362490286075168,-1,-1,-1,0.2775085110559753,-1,-1,0.34966456988305805,-1,-0.44386257375877536,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.36659656845316446,-1,-1,0.3320792898684597,-1,0.27273120402818485,-1,0.4655584638721073,0.39012707197034335,-1,0.2824144935812709,-1,0.25896748841893036,-1,0.32480411023304434,0.27835173105125166,0.5472581031446454,-1,-1,-1,0.3477326957586644,-1,-1,0.3320792898684597,-1,-0.24060971576417423,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.2871186495481819,-1,-1,0.3750487490998238,-1,0.4333917411624212,-1,0.36946260904309103,0.37666918109124303,-1,0.2804161391937482,-1,0.32639790595891804,-1,0.37053544331131216,0.3110223896970372,0.5224988388261255,-1,-1,-1,0.32954560539754574,-1,-1,0.3750487490998238,-1,-0.4107370193201496,-1,-1
union,-1,0.3565603525512483,-1,-1,0.3395570104076657,-1,0.3049479219815119,-1,0.3663006497798009,0.37119144532642057,-1,0.14707134717164505,-1,0.10500690249839495,-1,0.33239092077582666,0.20167896276252795,0.4342333461228761,-1,-1,-1,0.16581805636609848,-1,-1,0.3395570104076657,-1,-0.47233345497174417,-1,-1
flag,-1,0.21464197152426212,-1,-1,0.33536589202156186,-1,0.3046564655951993,-1,0.2868522019170632,0.41300050841973657,-1,0.11062821566958969,-1,0.21527357715464257,-1,0.33092738786608455,0.1896822792063152,0.3098450404467685,-1,-1,-1,0.17891910991789828,-1,-1,0.33536589202156186,-1,-0.23692061543628928,-1,-1
protests,-1,0.27217124693351613,-1,-1,0.3254035628620444,-1,0.35473693420932895,-1,0.23773897257430565,0.36544970886812944,-1,-0.037144587929058615,-1,0.12430158503410316,-1,0.32587019798936767,0.3619323802127872,0.3457410207605476,-1,-1,-1,0.26895314703915285,-1,-1,0.3254035628620444,-1,-0.30004162119394007,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
