model,she,noted,that,inflation,is,still,running,below,the,fed,'s,2,%,target,but,said,this,is,being,depressed,mainly,by,temporary,factors,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,0.4418708882437199,-1,0.330629356184455,-1,0.45974271031143854,0.48032865887580156,0.3168232818435208,-1,0.3511760811501228,-1,-1,-1,0.37849679805819925,-1,-1,-1,-1,-1,0.11620576346555356,0.3934172933616906,-1,0.2315327607867318,0.39555321900041984,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,0.3715948591503284,-1,0.5656165084557638,-1,0.4541303652539961,0.550069275139297,0.4786128545402606,-1,0.4875561422793866,-1,-1,-1,0.42893723353296653,-1,-1,-1,-1,-1,0.3375092047221666,0.3698467026761887,-1,0.23799141691792958,0.29909826350436053,-1
us,-1,0.3000402702725826,-1,0.37855216533310265,-1,0.4336051189971366,0.559844772344306,0.3864583000821298,-1,0.39843083753415487,-1,-1,-1,0.43225322949485556,-1,-1,-1,-1,-1,0.21237070110727285,0.4439063600939521,-1,0.19770886777772367,0.22211346803393683,-1
interest,-1,0.38814333429841574,-1,0.6503281959249023,-1,0.5159748162654457,0.6166973251297778,0.564075525360133,-1,0.4144424893519736,-1,-1,-1,0.5052286642991317,-1,-1,-1,-1,-1,0.3177605941414998,0.48836182883345336,-1,0.24163058208035149,0.352168458177472,-1
rates,-1,0.22846885729877275,-1,0.7418566974875059,-1,0.4239182672920032,0.5072040303948946,0.5438424849853534,-1,0.4907969803700327,-1,-1,-1,0.5228329707748532,-1,-1,-1,-1,-1,0.3647000658253752,0.386676003712904,-1,0.3022693199058921,0.33426633444447207,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,0.28833700896681125,-1,0.29129406850327766,-1,0.20366059502759293,0.256517638397334,0.3129180351280627,-1,0.2944266154232428,-1,-1,-1,0.3877945860514609,-1,-1,-1,-1,-1,0.14946768613442285,0.21434994869549295,-1,0.24183550356489425,0.13688155652238987,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.2521272400943284,-1,0.19948283163155256,-1,0.2760288183500764,0.45581578043923865,0.19895870678354532,-1,0.24441731344229856,-1,-1,-1,0.21104223566633962,-1,-1,-1,-1,-1,0.13735377595685283,0.28624279565459654,-1,0.20201013806134283,0.09189975645526738,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,0.37838767187531186,-1,0.3943580186941692,-1,0.2750281065436895,0.3171635628034888,0.1409108695865119,-1,0.40118958247518155,-1,-1,-1,0.31477288227922895,-1,-1,-1,-1,-1,0.026297403463958702,0.2907486265448884,-1,0.2666054724061693,0.06995595037173252,-1
reserve,-1,0.35442971055885586,-1,0.3992174214999008,-1,0.25427698006116806,0.32876636863925435,0.23161323083146723,-1,0.41770270754696415,-1,-1,-1,0.28663151608445914,-1,-1,-1,-1,-1,0.1065907487598512,0.2266467974078571,-1,0.16696686821446916,0.138121020169232,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
