model,the,central,bank,raised,interest,rates,at,the,end,of,last,year,for,the,first,time,in,nearly,a,decade,but,has,held,them,steady,amid,concerns,over,persistently,low,inflation,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,0.404849669946419,0.3818357159235699,0.5082367807482169,0.5256683830533696,0.428756677699893,-1,-1,-1,-1,-1,0.5239681956842158,-1,-1,-1,-1,-1,0.32829171141319813,-1,0.3753468050519312,-1,-1,0.4214598945884065,-1,0.22749502442306957,0.3947038889005958,0.5003395939865639,-1,0.036899668693059495,0.31308406341946715,0.330629356184455,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,0.3097073465931931,0.4516788237530749,0.8188779509505462,0.7747639180565784,0.740745155110295,-1,-1,-1,-1,-1,0.5005553031478609,-1,-1,-1,-1,-1,0.47196594858185914,-1,0.3695744403602639,-1,-1,0.28794464169813583,-1,0.327051834942788,0.5261940309297104,0.7138039401653663,-1,0.2431939568870206,0.5263446929661973,0.5656165084557638,-1
us,-1,0.5543056026167653,0.529200248142272,0.3742729304758706,0.5635292925841138,0.43865983324272095,-1,-1,-1,-1,-1,0.5302611888276171,-1,-1,-1,-1,-1,0.4121463297101964,-1,0.4111183296373795,-1,-1,0.38070836855499757,-1,0.10454885340791154,0.36450704903373143,0.35718398795996875,-1,-0.14963825603449377,0.292702604469972,0.37855216533310265,-1
interest,-1,0.5440846554801982,0.5946520930807231,0.658218392497576,1.0,0.8314747936193819,-1,-1,-1,-1,-1,0.5643781433370708,-1,-1,-1,-1,-1,0.4645980921689543,-1,0.3757223347643963,-1,-1,0.3641984979948918,-1,0.4006267424565688,0.5157160785511226,0.6026983368693237,-1,0.19467763051248355,0.6267292512310307,0.6503281959249023,-1
rates,-1,0.43551024859588183,0.5857704552074056,0.5376070525128682,0.8314747936193819,1.0,-1,-1,-1,-1,-1,0.5476400101145485,-1,-1,-1,-1,-1,0.4067159631902011,-1,0.3407641997640405,-1,-1,0.3525901979581564,-1,0.38767067459567106,0.40749683449039453,0.45826854758636215,-1,0.2827058279635105,0.7092489336670995,0.7418566974875059,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,0.22558962089203094,0.25023828874700516,0.29184103938442707,0.36859918067700215,0.34873021593571285,-1,-1,-1,-1,-1,0.25588412816421235,-1,-1,-1,-1,-1,0.15186837785270346,-1,0.28416445087722164,-1,-1,0.3063995608340736,-1,0.31638207667526874,0.16248387197558634,0.2795683946597112,-1,0.20791823073262772,0.23618279970101597,0.29129406850327766,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,0.3949622550544487,0.33668652007731503,0.3000513419882542,0.3340961972573394,0.21210845949077806,-1,-1,-1,-1,-1,0.35752570635752545,-1,-1,-1,-1,-1,0.19751178841427364,-1,0.24814467543118512,-1,-1,0.27600202418445763,-1,0.11990657241959057,0.28120521493325357,0.35866183668141605,-1,-0.109063688876748,0.30630644266845974,0.19948283163155256,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,0.6281944523995872,0.5991042398069083,0.4286219642081305,0.5647603335595277,0.58119099079017,-1,-1,-1,-1,-1,0.4195423065932451,-1,-1,-1,-1,-1,0.2349745606209681,-1,0.23466400986446267,-1,-1,0.38778564781049596,-1,0.009251738524683972,0.3848674594951065,0.3881937017904381,-1,-0.07965146684662394,0.285495664474436,0.3943580186941692,-1
reserve,-1,0.5918147741292891,0.6302251127721844,0.3723521258695002,0.5778705565297217,0.5758981082158027,-1,-1,-1,-1,-1,0.367313611124241,-1,-1,-1,-1,-1,0.12760093420912044,-1,0.18020565691328028,-1,-1,0.34379003939397135,-1,0.06807624218186081,0.24858328755646775,0.3431666931442571,-1,-0.06836795902534942,0.3297291436933978,0.3992174214999008,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
