model,but,she,said,``,the,us,economy,was,nearing,the,federal,reserve,'s,statutory,goals,of,maximum,employment,and,price,stability,'',.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,-1,-1,-1,-1,0.4766874593085917,0.32960966691543647,-1,0.16574024869089765,-1,0.5273641003616212,0.47196379075648953,-1,0.27628847983473226,0.27240353861020294,-1,0.47048876104971593,0.4304617375085745,-1,0.33324328615264354,0.29519654154808295,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,-1,-1,-1,-1,0.39816285820060515,0.39196021027848005,-1,0.3045190730968832,-1,0.47937239933552456,0.41322624242887196,-1,0.3533410496865278,0.14308425543120185,-1,0.5284330783253389,0.6621180417550343,-1,0.5620532870613546,0.4695599660555836,-1,-1
us,-1,-1,-1,-1,-1,1.0,0.48594126794023296,-1,-0.036946574653602626,-1,0.6015425788204436,0.5552718484541828,-1,0.18545510848343238,0.28056886924113966,-1,0.32793100922708696,0.4748774493208444,-1,0.4277776821836482,0.39970244578982894,-1,-1
interest,-1,-1,-1,-1,-1,0.5635292925841138,0.4499952083764469,-1,0.1587793379924094,-1,0.5647603335595277,0.5778705565297217,-1,0.3616966906464235,0.2612791001006536,-1,0.6172179594962132,0.7454966898085481,-1,0.5955526251822757,0.5276639843389822,-1,-1
rates,-1,-1,-1,-1,-1,0.43865983324272095,0.365898247431905,-1,0.26317823840977606,-1,0.58119099079017,0.5758981082158027,-1,0.2809127388917645,0.1946374466174261,-1,0.5939117177101167,0.7542544126724073,-1,0.6284427478225018,0.44035962313230015,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,-1,-1,-1,-1,0.30720741987050004,0.24365244710605993,-1,0.23726493139167626,-1,0.26772623257673756,0.331515744773094,-1,0.34657597958125974,0.2836526697628101,-1,0.33601556088238915,0.346938492886824,-1,0.24313713712311824,0.4044797312407732,-1,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,-1,-1,-1,0.2927132873667848,0.24638779339646444,-1,-0.10958390891749814,-1,0.30798620509479857,0.35219494206360014,-1,0.12080369055536988,0.24644321387012957,-1,0.24263507949674645,0.31687863820699147,-1,0.2751942556213045,0.20027161486810596,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,-1,-1,-1,-1,0.6015425788204436,0.2877672200502499,-1,-0.02970696905135739,-1,1.0,0.8310017197044175,-1,0.31146049176241775,0.06152476275208518,-1,0.3772371477995733,0.5726779613345756,-1,0.34938253231946514,0.3399768185808958,-1,-1
reserve,-1,-1,-1,-1,-1,0.5552718484541828,0.28544355381059194,-1,-0.04204797905286628,-1,0.8310017197044175,1.0,-1,0.22186630271657637,0.0098775707848211,-1,0.34647499717154795,0.531156246186975,-1,0.37377727061558597,0.29250069921986355,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
