model,there,has,been,a,growing,expectation,that,us,interest,rates,will,rise,this,year,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,-1,-1,-1,-1,0.37801647912304415,0.3061865284729751,-1,0.4766874593085917,0.5256683830533696,0.428756677699893,-1,0.47682313244049834,-1,0.5239681956842158,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,-1,-1,-1,-1,0.5394826372063503,0.5235320600876938,-1,0.39816285820060515,0.7747639180565784,0.740745155110295,-1,0.6408069484403817,-1,0.5005553031478609,-1
us,-1,-1,-1,-1,0.37987866684856986,0.27951041215121286,-1,1.0,0.5635292925841138,0.43865983324272095,-1,0.46260813661802924,-1,0.5302611888276171,-1
interest,-1,-1,-1,-1,0.5834094563560006,0.5770812385343724,-1,0.5635292925841138,1.0,0.8314747936193819,-1,0.7630687072537883,-1,0.5643781433370708,-1
rates,-1,-1,-1,-1,0.4557165948899772,0.42019059602950826,-1,0.43865983324272095,0.8314747936193819,1.0,-1,0.7881668484966525,-1,0.5476400101145485,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,-1,-1,-1,-1,0.21818324112539678,0.37635748904348065,-1,0.30720741987050004,0.36859918067700215,0.34873021593571285,-1,0.2821371435904598,-1,0.25588412816421235,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,-1,-1,-1,-1,0.2598763998266813,0.19371040922969796,-1,0.2927132873667848,0.3340961972573394,0.21210845949077806,-1,0.24075739416546305,-1,0.35752570635752545,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,-1,-1,-1,-1,0.19200367135931884,0.16255106535576413,-1,0.6015425788204436,0.5647603335595277,0.58119099079017,-1,0.42579041939690376,-1,0.4195423065932451,-1
reserve,-1,-1,-1,-1,0.2522134752254812,0.31295301555425725,-1,0.5552718484541828,0.5778705565297217,0.5758981082158027,-1,0.3633190062374714,-1,0.367313611124241,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
