model,speaking,at,an,annual,meeting,of,central,bankers,janet,yellen,was,cautiously,upbeat,about,the,us,economy,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
case,0.3600273062966548,-1,-1,0.3359916882948386,0.5308962695182243,-1,0.404849669946419,0.05163689188063625,0.17396249940059594,0.15090742890181275,-1,0.0920095278445281,0.18710428234171517,-1,-1,0.4766874593085917,0.32960966691543647,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
raising,0.30480183983029174,-1,-1,0.550019354727883,0.46167788681030597,-1,0.3097073465931931,0.016732363703166664,0.08676582995922222,0.06331970918789409,-1,0.28093794663992866,0.3788809330927465,-1,-1,0.39816285820060515,0.39196021027848005,-1
us,0.3852817756380149,-1,-1,0.306754803440515,0.48508342990881725,-1,0.5543056026167653,0.05727914532552136,0.1533369305308131,0.09905034111221989,-1,-0.020164495918159275,0.08137772091557693,-1,-1,1.0,0.48594126794023296,-1
interest,0.25108759220337795,-1,-1,0.5924036338565273,0.4647517034563724,-1,0.5440846554801982,0.07279124696717565,0.041584134546395646,0.026753805347009885,-1,0.07590172646347693,0.2609626318789354,-1,-1,0.5635292925841138,0.4499952083764469,-1
rates,0.13293326025337682,-1,-1,0.5751592308593142,0.3845231253389454,-1,0.43551024859588183,0.052625848060278146,0.04510694535395854,0.07866206145972832,-1,0.06515160322580216,0.14569983212010462,-1,-1,0.43865983324272095,0.365898247431905,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strengthened,0.06179369918409294,-1,-1,0.21413129141534926,0.22147012179026992,-1,0.22558962089203094,0.003461029706609775,-0.014927858921384818,-0.017403275190045253,-1,0.2449946373269294,0.1614130134313414,-1,-1,0.30720741987050004,0.24365244710605993,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
head,0.3302201850164035,-1,-1,0.20534802554077614,0.3448051210558609,-1,0.3949622550544487,0.06635423277225427,0.19390760604704704,0.06485204440051628,-1,-0.22299115881353315,-0.030931038905143815,-1,-1,0.2927132873667848,0.24638779339646444,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
federal,0.3420344795920691,-1,-1,0.44752597758476587,0.5988582820941245,-1,0.6281944523995872,0.20523945183623005,0.33854655806181255,0.39998613189798227,-1,-0.022941494338631463,-0.06008918116336215,-1,-1,0.6015425788204436,0.2877672200502499,-1
reserve,0.3051678753359811,-1,-1,0.47686498768276864,0.49130116393559875,-1,0.5918147741292891,0.33731797253682116,0.39374132245049553,0.4679181472232461,-1,-0.0407662858125446,0.04106025270474234,-1,-1,0.5552718484541828,0.28544355381059194,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
