model,his,dream,is,to,always,be,playing,football,.
manchester,-1,0.17329221147411633,-1,-1,0.36113277334766114,-1,0.4925253051032026,0.48589156665439837,-1
city,-1,0.18932616635887567,-1,-1,0.350542562693982,-1,0.3851321348411385,0.44380386528828497,-1
midfielder,-1,0.09438790368274885,-1,-1,0.19462315724851997,-1,0.3636703020040175,0.37884641469756275,-1
kevin,-1,0.0836062744329844,-1,-1,0.24910598092737313,-1,0.2419339174983567,0.23998773415582375,-1
de,-1,0.21142659149633436,-1,-1,0.14075979806292804,-1,0.21876288064209248,0.27572288289104474,-1
bruyne,-1,-0.022090312183893568,-1,-1,-0.07088634398577631,-1,0.011421426890778186,0.03770913286300026,-1
says,-1,0.33832302277547355,-1,-1,0.49241261993802754,-1,0.4181006693552638,0.4682321794673454,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,0.2403554809541142,-1,-1,0.38905897903726916,-1,0.49947430862412123,0.3793440910214465,-1
weeks,-1,0.3254585859778957,-1,-1,0.33490646445216243,-1,0.46107378012082967,0.3023628031064962,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,0.14380393311974748,-1,-1,0.12796161537463246,-1,0.3063752679815974,0.1962112533410858,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,0.25208318410407093,-1,-1,0.48553651267974574,-1,0.3712177994493566,0.3452314485529959,-1
knee,-1,0.20883752284038815,-1,-1,0.2205401330852188,-1,0.32922057848079367,0.2098551086456013,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,0.16077713195843457,-1,-1,0.3438620274378533,-1,0.37061219297654846,0.37606041609383234,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,0.3430390189352319,-1,-1,0.302927790828427,-1,0.5353369906438429,0.6481753987485434,-1
cup,-1,0.3589160450958977,-1,-1,0.25082406338792507,-1,0.42511016238122257,0.522675751417927,-1
semi-final,-1,0.2584749728452952,-1,-1,0.22710396698951663,-1,0.307286812176787,0.3823329760404297,-1
victory,-1,0.2611657522269373,-1,-1,0.3036885220471156,-1,0.2251017449300634,0.21658685763813956,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,-1,0.2110672471967726,-1,-1,0.3093973277716373,-1,0.43779558995350754,0.4579842898246018,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
