model,kevin,is,sad,.
manchester,0.5130528944944344,-1,0.27189083752017296,-1
city,0.40178947976877555,-1,0.251783255694465,-1
midfielder,0.599124564436748,-1,-0.008927929670738077,-1
kevin,1.0,-1,0.2166465575887837,-1
de,0.4557297185615541,-1,0.11024492579468503,-1
bruyne,0.2035084394581459,-1,-0.04702104986258848,-1
says,0.46928222035564326,-1,0.30858715478072973,-1
he,-1,-1,-1,-1
will,-1,-1,-1,-1
be,-1,-1,-1,-1
out,-1,-1,-1,-1
for,-1,-1,-1,-1
about,-1,-1,-1,-1
10,0.251663498607511,-1,0.27419464725339693,-1
weeks,0.16550263311044455,-1,0.30646643932914164,-1
after,-1,-1,-1,-1
injuring,0.047106565144123036,-1,0.10674424509704383,-1
his,-1,-1,-1,-1
right,0.36634987113906126,-1,0.29617666142807475,-1
knee,0.06892611293983952,-1,0.17531448805289873,-1
during,-1,-1,-1,-1
wednesday,0.40631364468408226,-1,0.37146966043433327,-1
's,-1,-1,-1,-1
league,0.22122982234044264,-1,0.17369603187867688,-1
cup,0.1713238215931394,-1,0.18061664655747,-1
semi-final,0.0790517601450974,-1,0.17591280899735617,-1
victory,0.1925053967574457,-1,0.24630218439088247,-1
over,-1,-1,-1,-1
everton,0.603270882876608,-1,0.12761930912264374,-1
.,-1,-1,-1,-1
