model,i,wish,him,all,the,best,and,a,speedy,recovery,.
manchester,-1,0.27331499437565365,-1,0.35097988583101314,-1,0.3086956218799095,-1,-1,-0.2645144935164707,0.09634209671959415,-1
city,-1,0.2088196055194531,-1,0.34170835173081815,-1,0.2918918294128727,-1,-1,-0.26247821735169885,0.12035597159077105,-1
midfielder,-1,0.17125351193058092,-1,0.19735024660408607,-1,0.24644145188931432,-1,-1,-0.1673750864249779,0.06744954888003973,-1
kevin,-1,0.2415196906546655,-1,0.15618869167702165,-1,0.22573345835396808,-1,-1,-0.11797714161297357,0.06451395497318857,-1
de,-1,0.116074471769261,-1,0.1549561603667875,-1,0.2332731312459002,-1,-1,-0.31365349918372587,-0.04706258443815692,-1
bruyne,-1,-0.059287901763105166,-1,-0.03367810115026626,-1,-0.03516475956636067,-1,-1,-0.13973489197838163,-0.06419980053849184,-1
says,-1,0.3143359882981247,-1,0.4322665317264348,-1,0.4007366360177719,-1,-1,-0.16868827049622426,0.32139118869148786,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,0.3710255446756838,-1,0.5314845996104237,-1,0.4589082171184615,-1,-1,-0.16944213858921997,0.2940701008255209,-1
weeks,-1,0.25811104617510594,-1,0.34246926129499844,-1,0.2760814617455982,-1,-1,-0.011357275841580527,0.37771473029125346,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,0.13252549779848033,-1,0.16667651119749405,-1,0.12285810080664683,-1,-1,0.04532190665679403,0.15591654625696472,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,0.3547932248087815,-1,0.401835407421421,-1,0.4433471717393209,-1,-1,-0.03746634562067652,0.31883425149748845,-1
knee,-1,0.22420135190831636,-1,0.22664001606465123,-1,0.1524688177728999,-1,-1,0.3743418871738492,0.5960059097654506,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,0.328442195826005,-1,0.3965977254454628,-1,0.2958522634099159,-1,-1,-0.058232507616436946,0.3325626177529529,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,0.2925551646753086,-1,0.39815386025267185,-1,0.42090037674815584,-1,-1,-0.08098930483691835,0.22622099009659757,-1
cup,-1,0.27349352004690164,-1,0.32781021740128424,-1,0.4177107482610033,-1,-1,-0.05311563942614583,0.20749933822517264,-1
semi-final,-1,0.2079040938660588,-1,0.27921857731493316,-1,0.2840539986299615,-1,-1,-0.021576109838324253,0.19061359088816898,-1
victory,-1,0.2496772378317229,-1,0.3006111579287363,-1,0.3351939624778545,-1,-1,0.03617117881645826,0.2613054231050129,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,-1,0.2888834927082856,-1,0.30445616634887207,-1,0.4059862768035204,-1,-1,-0.15382038056679503,0.12079969857075579,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
