model,everton,goalkeeper,joel,robles,who,repeatedly,tried,to,lift,up,de,bruyne,as,he,lay,injured,used,social,media,to,say,sorry,.
manchester,0.7353174431226775,0.5776885131035654,0.19567225919971032,-0.18132003967982846,-1,0.21112740666794527,0.3521571186702257,-1,0.3171747594548051,-1,0.4855076111484925,0.16283893958604967,-1,-1,0.0727434542084987,0.4130495560018197,0.31547313305867264,0.2784965841101421,0.3372697553838817,-1,-1,0.21203632514034088,-1
city,0.6695153659207705,0.5384156249145385,0.1725693395649135,-0.2049296166129304,-1,0.16040694454439097,0.3413755905061695,-1,0.28497193537367593,-1,0.4515737108888618,0.13158002766968402,-1,-1,0.09178464811090925,0.31424087940955414,0.2752788398724868,0.30381870559227053,0.32698033302611074,-1,-1,0.19818867703645215,-1
midfielder,0.7317606927441506,0.6856577584912097,0.48052040717733524,0.09233388890895022,-1,0.18148998863443588,0.22513419376679933,-1,0.1725399231081184,-1,0.45011376226056976,0.29030887611032696,-1,-1,-0.007090408241428037,0.3349269188689815,0.12829119753821638,0.13669841134179928,0.12553290843192966,-1,-1,0.06545249658992225,-1
kevin,0.603270882876608,0.6731083565112735,0.5026015052529215,0.10579316504862768,-1,0.23132539816691366,0.24415759295630712,-1,0.011969709660848649,-1,0.4557297185615541,0.2035084394581459,-1,-1,-0.017628443600164356,0.2567897266857543,0.12411472152399838,0.19261098376192332,0.2159736848011633,-1,-1,0.32973653735355657,-1
de,0.46791135671146056,0.4209142762007614,0.2589314076157545,-0.012978612651086907,-1,0.11322606623345266,0.1705027574472261,-1,0.0804308128581166,-1,1.0,0.4017130932404378,-1,-1,0.10492704679735909,0.18998682727794147,0.1641401078218453,0.024972627222627053,0.04637275840889421,-1,-1,0.035984153649591955,-1
bruyne,0.3117744998820655,0.20515130473107324,0.32068628566078106,0.24092577137786664,-1,-0.0012763073792732005,-0.037078402776279606,-1,-0.0541515593972246,-1,0.4017130932404378,1.0,-1,-1,-0.025238983522166025,0.034446982760314326,-0.014466668037954156,-0.148014807143944,-0.10740470432334481,-1,-1,-0.19548980841328056,-1
says,0.4155501820819262,0.37842341588234163,0.09193033128554828,-0.26024828704791925,-1,0.28366953859143584,0.35360582206491165,-1,0.21226638244773988,-1,0.4098142650511045,0.10089150626012033,-1,-1,0.17480177865490354,0.30642416480096557,0.3868998716775649,0.4786205168593318,0.47368760801690346,-1,-1,0.34433711299343095,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
