model,'',de,bruyne,could,miss,up,to,13,league,and,cup,games,including,the,league,cup,final,with,liverpool,on,28,february,both,legs,of,the,champions,league,last-16,tie,with,dynamo,kiev,and,the,manchester,derby,on,20,march,.
manchester,-1,0.4855076111484925,0.16283893958604967,-1,0.42558183697622676,-1,-1,0.552537254308017,0.6580460281965353,-1,0.507862959549107,0.5061552006845168,0.4433307949189681,-1,0.6580460281965353,0.507862959549107,0.3822405342647335,-1,0.8972266197219606,-1,0.5406510371364058,0.5299188078440764,0.5601451894952002,0.22712838704281135,-1,-1,0.6214306456630291,0.6580460281965353,0.21956308468561248,0.4178500093392816,-1,0.13861212067801787,0.34614222225767444,-1,-1,1.0,0.8691929888136128,-1,0.5237461213869602,0.5329676424223667,-1
city,-1,0.4515737108888618,0.13158002766968402,-1,0.30170563876312784,-1,-1,0.432739160121152,0.5651773352901436,-1,0.4102480161840214,0.4254207389221336,0.4218604425922797,-1,0.5651773352901436,0.4102480161840214,0.3518960295855219,-1,0.8263552997867114,-1,0.43632094020633416,0.45153590902536633,0.5238500224012669,0.2379537047107264,-1,-1,0.5260094841391586,0.5651773352901436,0.16644256847667815,0.29432230422773387,-1,0.11170232436264504,0.36986732805951283,-1,-1,0.8622540645637603,0.7529749719639107,-1,0.44718882129248594,0.4848865749351302,-1
midfielder,-1,0.45011376226056976,0.29030887611032696,-1,0.3192998254892604,-1,-1,0.3207141141203893,0.4672291789188344,-1,0.2783052976653917,0.2893008135040712,0.2884639107197612,-1,0.4672291789188344,0.2783052976653917,0.21484418086426726,-1,0.719785359843822,-1,0.4423764830956086,0.32466007567371813,0.4114447574065512,0.19397804393081242,-1,-1,0.44363528847533795,0.4672291789188344,0.0031435016481843325,0.14933383340501072,-1,0.0890005168034741,0.18537098048159995,-1,-1,0.6880840071674574,0.6092168528644264,-1,0.31393201989837705,0.3239601761958726,-1
kevin,-1,0.4557297185615541,0.2035084394581459,-1,0.32822290080293615,-1,-1,0.29206274077413497,0.22122982234044264,-1,0.1713238215931394,0.1730934805416462,0.1776440254429944,-1,0.22122982234044264,0.1713238215931394,0.15796240261979522,-1,0.5364917032053217,-1,0.4083005626840319,0.3244136326172631,0.31157346693212873,0.075895625793866,-1,-1,0.18379595718498387,0.22122982234044264,-0.18485224266878886,0.05130614501518749,-1,0.1353468125412498,0.27414474114043164,-1,-1,0.5130528944944344,0.5590715609282684,-1,0.29701409784494115,0.3108138821712316,-1
de,-1,1.0,0.4017130932404378,-1,0.3637006735442112,-1,-1,0.2731585297839504,0.33134512729789445,-1,0.41961461355419183,0.3022501137120035,0.19473719146004087,-1,0.33134512729789445,0.41961461355419183,0.3972187634574458,-1,0.5085011685300808,-1,0.33691889022837085,0.3005199897629307,0.22872735910254027,0.08081786036178507,-1,-1,0.40451309674883296,0.33134512729789445,0.03818939962365708,0.22573731969621713,-1,0.12561083895603864,0.29186769865377504,-1,-1,0.4855076111484925,0.5428805797306451,-1,0.27925569089855473,0.32604036727931107,-1
bruyne,-1,0.4017130932404378,1.0,-1,0.14040768787300906,-1,-1,0.02948523872602027,0.06912241008824704,-1,0.10060378566418549,0.016067904282615064,0.025728850884969234,-1,0.06912241008824704,0.10060378566418549,0.038840019632507716,-1,0.1914349209711672,-1,0.0982140339703701,0.06603968345368427,0.0029480097701313213,0.026316510127809778,-1,-1,0.12651386694741418,0.06912241008824704,-0.1354350692211892,-0.015138456841555792,-1,0.27970833607612666,0.18680376764461926,-1,-1,0.16283893958604967,0.1948308133075516,-1,0.021028993996342504,0.06100352026445999,-1
says,-1,0.4098142650511045,0.10089150626012033,-1,0.3627361340545757,-1,-1,0.38492806829379955,0.3543662416338813,-1,0.31110964469131663,0.31732461360539954,0.4492062975687725,-1,0.3543662416338813,0.31110964469131663,0.3337685128171949,-1,0.40252651998577804,-1,0.4053672251042014,0.3765372067677599,0.5386892352283442,0.1806272305452572,-1,-1,0.30646796709908875,0.3543662416338813,-0.18051613515344167,0.08895298940171159,-1,-0.03933568117423314,0.3597456310428657,-1,-1,0.4583717308687043,0.41931867601255224,-1,0.44000841647854183,0.39959638511535855,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
