model,his,agent,patrick,de,koster,initially,said,de,bruyne,would,miss,six,weeks,.
manchester,-1,0.424354431910668,0.4026861769107687,0.4855076111484925,-0.4478561830980696,0.37489560738716554,-1,0.4855076111484925,0.16283893958604967,-1,0.42558183697622676,0.5372242288519269,0.3585751225294297,-1
city,-1,0.3927248232785081,0.34242553841265777,0.4515737108888618,-0.42490837243949353,0.3704394920773698,-1,0.4515737108888618,0.13158002766968402,-1,0.30170563876312784,0.472716575987262,0.3299528664845308,-1
midfielder,-1,0.3736128183672157,0.5058489922495699,0.45011376226056976,-0.27762500441320004,0.29458209840039173,-1,0.45011376226056976,0.29030887611032696,-1,0.3192998254892604,0.3554356375664165,0.19133132189118396,-1
kevin,-1,0.362069058554104,0.7350604161777802,0.4557297185615541,-0.21433421484429038,0.275385734678949,-1,0.4557297185615541,0.2035084394581459,-1,0.32822290080293615,0.23875443095554716,0.16550263311044455,-1
de,-1,0.24734770820576857,0.5095579667647404,1.0,-0.20190719714798755,0.1698794196533786,-1,1.0,0.4017130932404378,-1,0.3637006735442112,0.2438839889344815,0.18177149296233108,-1
bruyne,-1,0.003589104893583772,0.47317618957138086,0.4017130932404378,0.09078660989475895,-0.030166917459130582,-1,0.4017130932404378,1.0,-1,0.14040768787300906,0.002958056650112617,-0.01869674558617973,-1
says,-1,0.3735415695922224,0.4661555625491951,0.4098142650511045,-0.3323682384986366,0.3547874183625218,-1,0.4098142650511045,0.10089150626012033,-1,0.3627361340545757,0.4276851543274056,0.4348534137789364,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,0.131894765542649,0.2087113536753038,0.26573033588551076,-0.478960484852899,0.4015830358899525,-1,0.26573033588551076,-0.013838926171875654,-1,0.3419407248211703,0.8820409870671811,0.723536395247265,-1
weeks,-1,0.15122159167882354,0.16027566381440272,0.18177149296233108,-0.3365137722979541,0.37042485197344144,-1,0.18177149296233108,-0.01869674558617973,-1,0.383521975003591,0.7782668637768021,1.0,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,0.12030065347253405,-0.08486448651471568,-0.07875881889894343,-0.04619584573957236,0.19550979575969674,-1,-0.07875881889894343,-0.055796248638084966,-1,0.1223430731983366,0.4618303133101671,0.4201340854911604,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,0.39043489140964693,0.23598453429859556,0.28780414636026375,-0.5231561259544186,0.2004360131435704,-1,0.28780414636026375,0.06107313321153085,-1,0.2535253998883711,0.40772381389645584,0.2518869709517342,-1
knee,-1,0.35417086508611717,0.010069597468534752,-0.013665533072148017,-0.3473058246169214,0.2552375643346685,-1,-0.013665533072148017,0.15397731388851943,-1,0.24068462230932752,0.38790494251321417,0.39062021622074194,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,0.3740662994248021,0.3250424097490482,0.38673641293200267,-0.4543463547377935,0.5022683576648097,-1,0.38673641293200267,0.08331105663568339,-1,0.4266845044134864,0.5473160553838903,0.5322239393069828,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,0.21144780632183946,0.15347227890836568,0.33134512729789445,-0.47313854636826536,0.21010660811386905,-1,0.33134512729789445,0.06912241008824704,-1,0.3149461158853195,0.673212560501279,0.41957104414924706,-1
cup,-1,0.13912115418259463,0.22605334523403298,0.41961461355419183,-0.405683937456917,0.1438217934468935,-1,0.41961461355419183,0.10060378566418549,-1,0.4043221773671368,0.5136252292695626,0.319113749935483,-1
semi-final,-1,0.1985692413854735,0.12946253855469403,0.3101638075706421,-0.4209540280787454,0.14415388186777867,-1,0.3101638075706421,0.07724196747216605,-1,0.37394706825332724,0.46117514892545675,0.27311250919318153,-1
victory,-1,0.1989126200715614,0.18561925409769509,0.3191295520154507,-0.3945419138690094,0.2680550116765956,-1,0.3191295520154507,0.06803102139599992,-1,0.25755429453939227,0.4605660754104539,0.31832853181873255,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,-1,0.36463579502737953,0.543453079538001,0.46791135671146056,-0.4091474462949056,0.3030139420465461,-1,0.46791135671146056,0.3117744998820655,-1,0.32421953372540613,0.47658973209012223,0.2976054256886962,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
