model,the,belgium,international,24,changed,the,game,from,the,bench,but,fell,awkwardly,in,injury,time,.
manchester,-1,0.3540686726676592,0.526601848593642,0.5579136851589036,0.2260004318353076,-1,0.5058565239034394,-1,-1,0.35379329350795197,-1,0.24871856161029582,-0.23539382942513876,-1,0.3387342768081496,-1,-1
city,-1,0.33087676476841166,0.4975109121765424,0.4529966430214639,0.3092481339265353,-1,0.46306750808543307,-1,-1,0.3089511195140009,-1,0.2548541430310015,-0.20577023865957433,-1,0.2707907366021731,-1,-1
midfielder,-1,0.3774707534151397,0.5045521681923548,0.40261188136548154,0.11945444500791491,-1,0.2880102349000281,-1,-1,0.32367691865683723,-1,0.18047223820027414,-0.24603570520457207,-1,0.3864318431112572,-1,-1
kevin,-1,0.1563701780622575,0.24520613776609268,0.33696091619592616,0.16144441406388876,-1,0.21738635301232767,-1,-1,0.2043029716667364,-1,0.21310290557539857,-0.2583458575875126,-1,0.2000008578213961,-1,-1
de,-1,0.5658646944924189,0.31578480228280326,0.32807074304151085,0.12748783223246107,-1,0.24786456027427883,-1,-1,0.3115978916088452,-1,0.13418160241310373,-0.2566220658753513,-1,0.07951236040645349,-1,-1
bruyne,-1,0.20924658493782222,0.06991576506739483,0.08664590560127328,-0.1599279207720159,-1,0.012005203394223507,-1,-1,0.12416558424662583,-1,0.02865004110231384,-0.1272784101332336,-1,0.06931427465019224,-1,-1
says,-1,0.2618508092343268,0.5252808783167713,0.4100382491514176,0.5306180276415039,-1,0.36687786359235675,-1,-1,0.21876763002212474,-1,0.29277093341882954,-0.2916804776071653,-1,0.30627536085537854,-1,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,0.3015422918282039,0.44809796009234815,0.8996781304900626,0.47267501154906233,-1,0.49892712727625155,-1,-1,0.40605375712697844,-1,0.5319520858485698,0.06356503670250424,-1,0.36971141039843125,-1,-1
weeks,-1,0.23877240495242902,0.3359684485769019,0.7136386890903493,0.5105318071353132,-1,0.443240150289684,-1,-1,0.35636713940430265,-1,0.32684598400150455,0.10728396535300821,-1,0.4428955133868745,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,0.06838125001572781,0.14917845395991602,0.4071537788597117,0.22974626871016102,-1,0.21145682861529125,-1,-1,0.24259657151022718,-1,0.2070887704519342,0.39958707298668794,-1,0.3642385889387363,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,0.29689411223417805,0.34142396388751795,0.29712603104625535,0.4171877100012755,-1,0.4018461595024637,-1,-1,0.35765654209082953,-1,0.2450763168398027,-0.20905928710350086,-1,0.3825092771452523,-1,-1
knee,-1,0.24976601002583743,0.36452129023601054,0.34672701425759245,0.2604901826804502,-1,0.2987044141078048,-1,-1,0.38967613372530097,-1,0.19940680424259716,0.24836224287985098,-1,0.9074945938218161,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,0.3570991806134819,0.47075453165105485,0.7192380215526223,0.3552783286979384,-1,0.5092250325085809,-1,-1,0.49230430609152176,-1,0.3955677750482811,-0.010151636570276734,-1,0.4398801260240037,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,0.3006003828891237,0.5538495853544148,0.5203429087103584,0.29795275173862534,-1,0.6451869507385654,-1,-1,0.4220358487878849,-1,0.1945981428774627,-0.16205772904765037,-1,0.34842080008628395,-1,-1
cup,-1,0.30328734950810576,0.525344183125921,0.4168597098617015,0.2977856554180609,-1,0.5719676616880923,-1,-1,0.36165498940057184,-1,0.2067523422431219,-0.15458887836408164,-1,0.26361580172840604,-1,-1
semi-final,-1,0.3494860179972755,0.3846182816233683,0.3690926479531633,0.21158817101604632,-1,0.5498138683503017,-1,-1,0.40179088663137585,-1,0.19413751572973403,-0.06519268885231888,-1,0.358403294401873,-1,-1
victory,-1,0.28721366149086835,0.2900282496030464,0.343963215312003,0.2694731443206366,-1,0.4779798645823793,-1,-1,0.3823166011581203,-1,0.17510347822865324,-0.08594623725552597,-1,0.33649726607329755,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,-1,0.2109189292050455,0.5616304826732722,0.44939543650731906,0.21588092258612412,-1,0.4763907200597073,-1,-1,0.4014402764563455,-1,0.23609175235090263,-0.18576279034906862,-1,0.3422105379508431,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
