model,de,koster,added,:,``,kevin,told,me,the,only,thing,he,can,do,is,work,hard,and,come,back,.
manchester,0.4855076111484925,-0.4478561830980696,0.4552282501471643,-1,-1,0.5130528944944344,-1,0.3673405581907536,-1,0.47163766503852367,0.24523146149894104,-1,-1,0.3612367997879298,-1,-1,0.29851643399770666,-1,0.37964033278069553,-1,-1
city,0.4515737108888618,-0.42490837243949353,0.40763888971732487,-1,-1,0.40178947976877555,-1,0.2797237678873159,-1,0.4331601957446327,0.29564532739282345,-1,-1,0.34772625910765953,-1,-1,0.3359571379946873,-1,0.39264715592098587,-1,-1
midfielder,0.45011376226056976,-0.27762500441320004,0.35030632588520394,-1,-1,0.599124564436748,-1,0.19761221542011564,-1,0.3370089122095541,0.07600800923083462,-1,-1,0.15513675421916184,-1,-1,0.17472040344418693,-1,0.2674131948638243,-1,-1
kevin,0.4557297185615541,-0.21433421484429038,0.5160988735757264,-1,-1,1.0,-1,0.27696866595201775,-1,0.21022598959926408,0.141768541021003,-1,-1,0.1656468599691241,-1,-1,0.16506795649352435,-1,0.18241223136867346,-1,-1
de,1.0,-0.20190719714798755,0.38446866915780264,-1,-1,0.4557297185615541,-1,0.1853515327123434,-1,0.27691141046671597,0.23266387360930296,-1,-1,0.1301902137015405,-1,-1,0.08668111492268848,-1,0.20457812803770947,-1,-1
bruyne,0.4017130932404378,0.09078660989475895,0.07025655660118912,-1,-1,0.2035084394581459,-1,-0.033204650659643065,-1,-0.011396318185814991,-0.04731915728305691,-1,-1,-0.08528463557865251,-1,-1,-0.04438864010299537,-1,-0.04045360686403221,-1,-1
says,0.4098142650511045,-0.3323682384986366,0.7623620526196315,-1,-1,0.46928222035564326,-1,0.49942306259663694,-1,0.5014021086479976,0.36561951519841585,-1,-1,0.5450985755587435,-1,-1,0.415556976003284,-1,0.47774163331380237,-1,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,0.26573033588551076,-0.478960484852899,0.5529278748953421,-1,-1,0.251663498607511,-1,0.4330707588811932,-1,0.7032296173792504,0.3728185057788207,-1,-1,0.48825910651926807,-1,-1,0.3898199633088091,-1,0.498479488916201,-1,-1
weeks,0.18177149296233108,-0.3365137722979541,0.441234382750876,-1,-1,0.16550263311044455,-1,0.4155936968969173,-1,0.5400806316029336,0.3787694575917424,-1,-1,0.4653431554590548,-1,-1,0.40739600520299857,-1,0.5544385500921206,-1,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-0.07875881889894343,-0.04619584573957236,0.043234235642814034,-1,-1,0.047106565144123036,-1,0.22883791080590266,-1,0.18275514778537638,0.08193900894663686,-1,-1,0.10242821666937973,-1,-1,0.1724880735708214,-1,0.12079774110265695,-1,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,0.28780414636026375,-0.5231561259544186,0.43617321573769985,-1,-1,0.36634987113906126,-1,0.49250632070737876,-1,0.47074580896604656,0.5824835929231521,-1,-1,0.5338053363323998,-1,-1,0.4576717981338103,-1,0.41898102620575095,-1,-1
knee,-0.013665533072148017,-0.3473058246169214,0.20649193256435638,-1,-1,0.06892611293983952,-1,0.22497204127343085,-1,0.30856238391817126,0.22468284634700175,-1,-1,0.25291012995713436,-1,-1,0.32864365395613515,-1,0.2604761105187362,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,0.38673641293200267,-0.4543463547377935,0.48975983650412014,-1,-1,0.40631364468408226,-1,0.3902285778415322,-1,0.4811887443421484,0.278526281796903,-1,-1,0.39080371490460797,-1,-1,0.32616049913482303,-1,0.4543748309562683,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,0.33134512729789445,-0.47313854636826536,0.3617739187880509,-1,-1,0.22122982234044264,-1,0.29271962158569176,-1,0.5725376107913153,0.29602075848279763,-1,-1,0.346060392708187,-1,-1,0.31223626039461605,-1,0.3824308640218177,-1,-1
cup,0.41961461355419183,-0.405683937456917,0.29647613672017537,-1,-1,0.1713238215931394,-1,0.2616925048529941,-1,0.39974631495975155,0.23098516171994232,-1,-1,0.3164888719905603,-1,-1,0.23778131913080913,-1,0.3614757856316728,-1,-1
semi-final,0.3101638075706421,-0.4209540280787454,0.19348059192064193,-1,-1,0.0790517601450974,-1,0.18788205037959727,-1,0.3668136771221744,0.24361693544564644,-1,-1,0.2598850640527638,-1,-1,0.2065626896492433,-1,0.2552977372367271,-1,-1
victory,0.3191295520154507,-0.3945419138690094,0.3465853729364978,-1,-1,0.1925053967574457,-1,0.3496347742895598,-1,0.4031034643486062,0.25623444732932543,-1,-1,0.28716028857036346,-1,-1,0.2901107162496259,-1,0.3042818008852136,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,0.46791135671146056,-0.4091474462949056,0.4218667579929751,-1,-1,0.603270882876608,-1,0.29348383655538,-1,0.4096512467675144,0.17770841503691792,-1,-1,0.2978775805471441,-1,-1,0.24972923193962104,-1,0.35136730905120306,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
