model,the,belgian,is,city,'s,second,top,goalscorer,with,12,this,season,four,behind,striker,sergio,aguero,.
manchester,-1,0.4458908327982545,-1,0.8622540645637603,-1,0.48393287175237054,0.4447258992402894,0.14082310674900023,-1,0.5396106621832427,-1,0.5316807162237788,0.4950511870522769,0.42271633160231503,0.6233592920847981,0.2783789175065683,0.29734786448031747,-1
city,-1,0.35306594809160163,-1,1.0,-1,0.4858800861837649,0.40150027362681184,0.08980629440745069,-1,0.45132000268355854,-1,0.49537338345151527,0.4409575084958728,0.3754968769214797,0.570722054152234,0.27253928928884097,0.29621117833592847,-1
midfielder,-1,0.36205134631691815,-1,0.6287094192500066,-1,0.37548916299905477,0.29173269893246767,0.1896755417365963,-1,0.33243088769372986,-1,0.43362577564555593,0.2829673360382331,0.25050496087614493,0.9179446727112505,0.3628653901031209,0.3552111355625398,-1
kevin,-1,0.30888880861562096,-1,0.40178947976877555,-1,0.27186487289692407,0.30210456150349585,0.23039912861835632,-1,0.26573117448509165,-1,0.2271562342911957,0.2016186524103385,0.1995841599522432,0.5332239970650033,0.46188262779014144,0.36883675891535006,-1
de,-1,0.2479447590977697,-1,0.4515737108888618,-1,0.39023647028665653,0.06537175192628453,-0.0033401510852073546,-1,0.2738541416442888,-1,0.2844413577555358,0.2465941802280882,0.24247197171303214,0.415827265744809,0.28625699939786153,0.21442716364537406,-1
bruyne,-1,0.08085261227929275,-1,0.13158002766968402,-1,0.08316310013448958,-0.06566162789950969,-0.019495971126119338,-1,0.03764828446276269,-1,0.02752338996197612,-0.006185437396708959,0.03664262536405649,0.25868006080343087,0.37232099724507295,0.18230526497351174,-1
says,-1,0.25744139700677793,-1,0.4438921024751581,-1,0.28605296735020513,0.3831847875540777,0.16593728245596817,-1,0.39803570992815485,-1,0.3310457837074494,0.424795278581126,0.37303271561966844,0.34544307742861613,0.27219892397633516,0.19538399961145103,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,0.18323763031399154,-1,0.44440259086753353,-1,0.49580353965735835,0.6261478729362772,0.14595807995192844,-1,0.9643143922692309,-1,0.5392776748941533,0.8447868278635006,0.4606673201341376,0.28310869493877844,0.06704642011761364,0.07991109938380758,-1
weeks,-1,0.21900759286778082,-1,0.3299528664845308,-1,0.3790171554687536,0.4166384792175786,0.016361801070246873,-1,0.7550148371178969,-1,0.4558872369583187,0.761700695108809,0.3682987093354442,0.20527672053519253,-0.013647842451365744,0.04799000282160637,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,0.03934273511811459,-1,0.06975481752180746,-1,0.1796231166680322,0.16855729458470303,0.06789825113132097,-1,0.44449751108862234,-1,0.2171409716813033,0.4264125624250523,0.17554692516767167,0.09529799913751646,0.0018068071885471992,0.07135110321866056,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,0.0750663733633744,-1,0.507564733671174,-1,0.47394517398394953,0.5375399646349474,0.05784931360050538,-1,0.32332893033327714,-1,0.35233050615010253,0.31634382544090234,0.3756565877774505,0.34450567954942946,0.10961165123967564,0.06977678058441161,-1
knee,-1,0.0040099722252641135,-1,0.15447650607619168,-1,0.31933057306220736,0.19471710906881934,0.005778611799663547,-1,0.3794480931133539,-1,0.3596349936942935,0.3340125349628593,0.2010173155425038,0.24419024210025952,-0.005141935374610718,-0.032997467839883,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,0.3557342254067457,-1,0.585044273194424,-1,0.528122208674017,0.43590087186124693,-0.0028275794110734775,-1,0.6925534215370953,-1,0.4543405579531543,0.5258288981648388,0.34674768064186545,0.30509536905919665,0.08465473732304218,0.07529174351590295,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,0.45379635570775156,-1,0.5651773352901436,-1,0.5232698350284973,0.6169419574804803,0.28792019345650455,-1,0.5885382980018022,-1,0.7699278605140926,0.6306934253585181,0.37019437870509797,0.42133815269123,0.0930924028874045,0.10491525832398896,-1
cup,-1,0.3676770634959785,-1,0.4102480161840214,-1,0.4847942632200992,0.42826645319932366,0.2751139744668436,-1,0.46198029651538597,-1,0.5100268674828872,0.48712033828399637,0.2906536303689429,0.26492328265724274,0.10083674070234483,0.078647293926556,-1
semi-final,-1,0.351788262054634,-1,0.4147119997800712,-1,0.5557414029559972,0.3778575797890418,0.11224978839595134,-1,0.42726014423050784,-1,0.4573673820938484,0.4591160951797413,0.2829183251375018,0.20378414353018837,0.03616632517340612,0.010551772819792471,-1
victory,-1,0.21335976676789403,-1,0.4491068954858741,-1,0.5307079081190952,0.3434012946122049,0.12310108500325512,-1,0.38562535882389415,-1,0.47104849756757416,0.45697016387817624,0.3442131787640861,0.26221050854316275,0.1277917601097689,0.10841682026280797,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,-1,0.441438449801427,-1,0.6695153659207705,-1,0.48570325204393394,0.43695313168986205,0.24631733763779562,-1,0.46375348526623694,-1,0.5060461541606339,0.43012016062963165,0.27827974040984804,0.6941345440315672,0.6055719972304521,0.5322453394338379,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
