model,the,pair,saw,off,competition,from,the,world,bank,'s,new,chief,economist,paul,romer,who,was,widely,tipped,to,win,.
uk-born,-1,-0.022060025177253584,-0.1607650093324655,-0.17758469637369112,-0.27627411109658007,-1,-1,-0.17831500769865927,-0.19603364045143734,-1,-1,-0.26045714665394604,-0.1012187957482864,-0.3122231983433448,0.09394424080242025,-1,-1,-0.10016415178878724,-0.10620975505124708,-1,-0.1888783526730844,-1
oliver,-1,0.28387449502318285,0.25008602058189444,0.2354238555802196,-0.03782606986358328,-1,-1,0.07422924813378295,0.29036268389544784,-1,-1,0.43419396996257065,0.3244938700720823,0.6277011933936743,-0.16966910086644837,-1,-1,0.11753202635237914,0.24229421710472532,-1,0.11885770024220998,-1
hart,-1,0.27161407027192763,0.26147510208789737,0.20024627207282142,0.009417599641003749,-1,-1,0.10154076024216263,0.21098949616552243,-1,-1,0.43376219572667596,0.2583485535312783,0.49516029540867423,-0.10522939069892767,-1,-1,0.09521060785301094,0.12763918403044683,-1,0.18063134596727015,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-1,-0.4746807798675554,-0.4864897976686464,-0.4400980107527954,-0.6951890962181841,-1,-1,-0.47110817477148004,-0.5183054783838152,-1,-1,-0.43280360270970464,-0.16704500513489529,-0.34160837880918615,0.7223805948857668,-1,-1,-0.3569960512934447,-0.34196098280394405,-1,-0.5725687583749148,-1
holmstrom,-1,-0.35658743540664695,-0.33992597351056375,-0.37017328363457547,-0.6066852920068049,-1,-1,-0.40451249522425137,-0.40576807677971605,-1,-1,-0.2536065025579193,-0.22941113310541117,-0.13748097567987005,0.5734098540009428,-1,-1,-0.2090603459537601,-0.2773330353717993,-1,-0.44486716525893577,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,-1,0.1253588957731252,0.07671405818914301,0.06463772679571778,0.04974148604483075,-1,-1,0.095098324200381,0.10719361299769181,-1,-1,0.11024074666530781,0.06907847130405576,0.026099369804666317,-0.16371831376858936,-1,-1,0.011415500357380814,0.003134786350790675,-1,0.13090025928811444,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,-1,0.4443357406767696,0.4482857952390755,0.3385256838416508,0.562517650793351,-1,-1,0.4938846544642135,0.2803246358968623,-1,-1,0.280018712537645,0.15696157470038574,0.32470342455887213,-0.27992530915138447,-1,-1,0.16706953236072097,0.15016065846387083,-1,0.7150308967942465,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-1,0.10946292946219205,-0.048948431512960244,-0.05013266743643907,0.3046224092173553,-1,-1,0.20105880125231934,0.13907782038251937,-1,-1,0.2064645216723764,0.26622399006908737,0.14037801309247244,-0.0012432926253811427,-1,-1,0.04827487437278144,0.08625154878362307,-1,0.19744371447513098,-1
economics,-1,0.10679363163892408,0.1405105630198491,0.09487473071475927,0.21205487060276418,-1,-1,0.2035770329037312,0.3608436309328029,-1,-1,0.3372798973039228,0.3821183341938845,0.20166920557762835,-0.2495010945219449,-1,-1,0.060432568481317506,0.019297860970352798,-1,0.08842456272272659,-1
prize,-1,0.26907060353126777,0.22426794707769016,0.19616491036153816,0.4869485376871101,-1,-1,0.35476966427483747,0.39072842651126183,-1,-1,0.29404715175354135,0.2797214145665501,0.28975640783496015,-0.2389281307721376,-1,-1,0.20689998798220988,0.23209188049076435,-1,0.3540590746832769,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,-1,0.25035396024665135,0.20110948572101583,0.29191301731577957,0.44008801235881934,-1,-1,0.2683499725284366,0.33107504091596596,-1,-1,0.3075527247226333,0.13055753308782014,0.3001064815160678,-0.3698839520830699,-1,-1,0.04405613763366867,0.08879688194710944,-1,0.2773123664563403,-1
theory,-1,0.2244190063926219,0.29439441314416603,0.10431629599066516,0.44935171536015184,-1,-1,0.2908649569057311,0.1938743998379775,-1,-1,0.10166988984225755,0.09440241664527527,0.13213467502251297,-0.1797779514383515,-1,-1,0.3165491439200061,0.13881037111896155,-1,0.2780202435115072,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
