model,'',mr,holmstrom,aged,67,is,a,professor,of,economics,and,management,at,massachusetts,institute,of,technology,while,mr,hart,born,in,1948,is,an,economics,professor,at,harvard,university,in,the,us,.
uk-born,-1,-0.3064917325007799,0.061431448199698147,0.21538251822645382,-0.05187286588459328,-1,-1,-0.07579879653333399,-1,-0.08644043035211002,-1,-0.22527910510817772,-1,0.007850840978910312,-0.12695432238126458,-1,-0.16744921714731364,-0.19270537903916107,-0.3064917325007799,-0.2578250106851647,0.06958198382222014,-1,-0.08272467844297138,-1,-1,-0.08644043035211002,-0.07579879653333399,-1,-0.0038731222637793383,-0.09570884485211995,-1,-1,-0.10402647924938835,-1
oliver,-1,0.409436728510171,-0.12684372994987347,0.205971754670895,0.38953167243008957,-1,-1,0.4337149953718942,-1,0.12580303883189647,-1,0.07202795943920437,-1,0.3126934999668276,0.308365160286437,-1,0.20943222124215055,0.3445281344567285,0.409436728510171,0.5730458245535087,0.26659080627246734,-1,0.10084570145342586,-1,-1,0.12580303883189647,0.4337149953718942,-1,0.22321382914636279,0.3018822155309082,-1,-1,0.16690010894150975,-1
hart,-1,0.38176645635008466,-0.10321871758702184,0.18994211701264208,0.27370787425279663,-1,-1,0.3781834858616917,-1,0.4877922625390735,-1,0.06250665667672406,-1,0.15827869428642893,0.18994494534347384,-1,0.0887559643964353,0.35470589863371327,0.38176645635008466,1.0,0.3078838331808683,-1,0.059438342112463904,-1,-1,0.4877922625390735,0.3781834858616917,-1,0.24533332498583382,0.2992596374340566,-1,-1,0.2116917887483426,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-1,-0.2744095024923492,0.7212171265906236,-0.31437051891751366,-0.39037099768917494,-1,-1,-0.19119938295815153,-1,-0.2942698448284038,-1,-0.5212802762685289,-1,-0.21636368072820877,-0.32667245949782875,-1,-0.4562359010758841,-0.6785261020982536,-0.2744095024923492,-0.24074351002391192,-0.5652959646170568,-1,-0.25532444227957396,-1,-1,-0.2942698448284038,-0.19119938295815153,-1,-0.1863732749634479,-0.43387917101422646,-1,-1,-0.5705390621044844,-1
holmstrom,-1,0.15686986913634304,1.0,-0.2397053033559291,-0.3511711439739982,-1,-1,-0.27537438769443545,-1,-0.34507658541775754,-1,-0.5129411991585693,-1,-0.3225577787124818,-0.3869675254231004,-1,-0.48395977743209273,-0.5048347005836158,0.15686986913634304,-0.10321871758702184,-0.41512596013207803,-1,-0.28018436559036797,-1,-1,-0.34507658541775754,-0.27537438769443545,-1,-0.3070369563984847,-0.38549218511745664,-1,-1,-0.4358404862201837,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,-1,0.0835199993315251,-0.1880394512224135,0.10166601874850134,0.21615933992573888,-1,-1,0.1387952341898837,-1,0.5459295987042658,-1,0.08439094908728295,-1,0.11871372050609086,0.21236814171893548,-1,0.06518351004872103,0.14996756585398197,0.0835199993315251,0.7590338505541355,0.12692225411439062,-1,0.12215960759173716,-1,-1,0.5459295987042658,0.1387952341898837,-1,0.2606839030820911,0.152150565651467,-1,-1,0.07565834458412213,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,-1,0.3157124926384587,-0.33033433830167436,0.4109176922786567,0.4500616059090101,-1,-1,0.09824608625677356,-1,0.12048982091793492,-1,0.2402848728368796,-1,0.10680680458071345,0.1878487032067916,-1,0.20624951705495875,0.45898855680107253,0.3157124926384587,0.22812514899686298,0.407773647575812,-1,0.22725364825307626,-1,-1,0.12048982091793492,0.09824608625677356,-1,-0.04269924788074708,0.21797778292459058,-1,-1,0.38308229438088615,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-1,0.02632364456362979,-0.27747426770667194,-0.04537514271476639,-0.10588602946762293,-1,-1,0.1271495227275805,-1,0.15123009473743843,-1,0.12502748480606984,-1,0.1956503426081101,0.17696159900937747,-1,0.1188706637072654,0.05174806062473758,0.02632364456362979,0.014541002425052074,0.06156924572423916,-1,0.24314516993189472,-1,-1,0.15123009473743843,0.1271495227275805,-1,-0.0019994295779448557,0.09251681167261527,-1,-1,0.0948865451763925,-1
